time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-2.4,-8.0,4.0,,324.0,7.9,1025.4
2021-01-02,-1.8,-5.0,2.0,,312.0,11.6,1026.5
2021-01-03,-1.3,-4.0,2.0,0.0,302.0,19.7,1032.0
2021-01-04,-1.0,-7.0,6.0,0.0,339.0,6.0,1030.8
2021-01-05,-0.9,-5.0,3.0,0.0,316.0,14.7,1027.0
2021-01-06,-4.7,-10.0,1.0,0.1,326.0,12.6,1024.0
2021-01-07,-7.7,-12.0,-1.0,0.9,308.0,25.7,1022.4
2021-01-08,-10.0,-14.0,-6.0,0.0,302.0,20.0,1023.5
2021-01-09,-8.2,-13.0,-3.0,0.0,306.0,16.9,1023.1
2021-01-10,-5.8,-12.0,1.0,0.0,311.0,9.1,1026.5
2021-01-11,-4.8,-10.0,0.0,0.0,326.0,4.3,1026.0
2021-01-12,-3.1,-10.0,4.0,0.0,298.0,5.4,1018.4
2021-01-13,2.5,-7.0,12.0,0.0,285.0,5.3,1016.0
2021-01-14,3.4,-4.0,13.0,0.0,290.0,4.7,1021.1
2021-01-15,7.9,1.0,16.0,0.0,265.0,7.3,1016.3
2021-01-16,2.6,-4.0,9.0,0.0,312.0,18.3,1021.0
2021-01-17,-2.5,-5.0,1.0,0.0,315.0,17.3,1026.8
2021-01-18,-2.3,-8.0,4.0,0.7,343.0,11.8,1020.8
2021-01-19,-3.0,-8.0,3.0,0.0,321.0,8.1,1030.2
2021-01-20,-1.6,-9.0,8.0,0.0,80.0,3.8,1030.5
2021-01-21,3.3,-5.0,12.0,2.0,341.0,3.6,1024.6
2021-01-22,8.1,6.0,11.0,2.0,143.0,4.4,1018.5
2021-01-23,9.8,8.0,12.0,1.5,114.0,11.7,1018.8
2021-01-24,8.4,6.0,11.0,0.0,128.0,6.7,1024.8
2021-01-25,7.6,2.0,13.0,0.0,68.0,8.5,1026.9
2021-01-26,6.0,4.0,7.0,6.5,319.0,6.0,1019.5
2021-01-27,6.0,2.0,10.0,0.0,303.0,11.5,1021.4
2021-01-28,2.0,-4.0,11.0,0.8,329.0,17.4,1015.8
2021-01-29,-4.0,-7.0,0.0,0.0,307.0,25.7,1023.9
2021-01-30,-0.3,-9.0,9.0,0.0,312.0,8.4,1025.9
2021-01-31,3.1,-6.0,12.0,0.0,124.0,4.7,1028.3
2021-02-01,7.4,4.0,10.0,5.9,314.0,5.7,1016.4
