time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.1,24.0,31.9,0.0,151.0,9.2,1013.3
2021-01-02,27.8,24.0,30.0,0.0,141.0,8.3,1014.0
2021-01-03,26.7,23.0,31.2,0.0,98.0,14.3,1014.0
2021-01-04,27.8,23.1,31.6,0.0,104.0,15.3,1014.1
2021-01-05,26.3,24.0,31.0,2.0,130.0,8.7,1015.3
2021-01-06,27.5,23.4,31.2,6.1,111.0,5.9,1013.8
2021-01-07,27.4,23.9,30.7,0.0,147.0,7.5,1012.2
2021-01-08,27.4,23.8,31.3,5.1,86.0,10.4,1011.7
2021-01-09,27.0,23.6,30.5,0.0,70.0,13.8,1012.8
2021-01-10,27.4,24.0,31.0,0.0,96.0,13.4,1014.9
2021-01-11,26.5,23.0,31.4,0.0,159.0,9.5,1015.0
2021-01-12,27.2,23.2,30.3,7.1,154.0,6.7,1015.0
2021-01-13,27.4,24.0,31.1,0.0,85.0,8.2,1014.8
2021-01-14,27.9,24.4,31.0,0.8,173.0,6.6,1013.8
2021-01-15,27.7,24.4,31.7,0.0,110.0,7.5,1013.1
2021-01-16,28.1,24.7,31.1,1.0,100.0,8.1,1012.9
2021-01-17,28.1,25.0,31.0,0.8,90.0,11.2,1014.3
2021-01-18,27.8,24.0,31.9,0.0,122.0,8.9,1013.9
2021-01-19,28.2,24.1,31.5,0.0,87.0,10.6,1013.2
2021-01-20,28.1,24.0,31.2,0.0,135.0,7.4,1012.3
2021-01-21,27.9,24.2,32.3,0.0,131.0,10.4,1012.5
2021-01-22,27.1,23.0,31.1,0.3,85.0,17.9,1013.4
2021-01-23,27.8,23.3,31.6,2.0,153.0,6.0,1012.5
2021-01-24,27.5,23.9,31.0,0.0,88.0,14.6,1012.6
2021-01-25,27.1,6.0,31.0,0.0,131.0,9.5,1013.1
2021-01-26,27.4,24.0,31.8,0.3,117.0,5.0,1012.7
2021-01-27,26.4,24.0,30.0,0.3,137.0,7.7,1010.8
2021-01-28,27.5,23.5,31.1,0.8,107.0,6.5,1011.3
2021-01-29,26.4,23.3,31.0,0.5,77.0,11.6,1011.5
2021-01-30,27.5,23.1,30.7,0.0,91.0,13.2,1012.1
2021-01-31,26.7,24.0,31.0,0.0,81.0,10.9,1012.1
2021-02-01,27.4,23.3,31.0,2.0,175.0,7.7,1012.2
2021-02-02,27.6,23.8,31.7,0.0,268.0,8.6,1013.3
2021-02-03,27.4,23.8,32.5,0.0,134.0,7.0,1011.8
2021-02-04,25.8,23.0,29.6,17.0,145.0,7.4,1009.7
2021-02-05,27.3,23.3,30.1,6.1,77.0,10.5,1009.3
2021-02-06,26.4,23.0,30.2,0.0,63.0,15.2,1012.2
2021-02-07,26.3,23.9,30.4,7.1,161.0,8.8,1014.3
2021-02-08,27.7,22.3,31.3,8.9,150.0,6.7,1014.0
2021-02-09,26.3,23.0,30.3,0.0,83.0,11.4,1013.4
2021-02-10,25.6,23.0,30.0,8.9,99.0,14.6,1013.0
2021-02-11,26.4,22.0,31.0,,82.0,15.4,1012.7
2021-02-12,26.4,23.0,31.0,,68.0,20.0,1011.6
2021-02-13,26.3,24.8,30.7,,78.0,10.8,1011.5
2021-02-14,26.8,6.0,30.0,1.0,60.0,17.0,1011.7
2021-02-15,27.2,23.0,30.3,0.0,62.0,18.1,1013.9
2021-02-16,26.7,22.6,30.0,8.9,162.0,10.3,1016.0
2021-02-17,27.2,23.2,31.0,0.3,177.0,7.9,1014.0
2021-02-18,28.4,23.7,31.4,0.0,72.0,16.7,1012.5
2021-02-19,28.3,24.4,29.0,0.0,72.0,19.0,1011.9
2021-02-20,25.7,23.0,27.0,,68.0,14.7,1011.7
2021-02-21,27.7,24.9,29.4,,65.0,14.1,1011.8
2021-02-22,27.2,23.4,30.6,0.3,68.0,11.5,1011.0
2021-02-23,27.8,24.9,30.0,0.0,84.0,7.3,1009.1
2021-02-24,27.9,25.0,32.0,0.0,49.0,9.1,1007.0
2021-02-25,28.7,25.0,32.4,,38.0,10.2,1008.7
2021-02-26,28.8,25.7,32.0,,259.0,10.3,1009.8
2021-02-27,28.4,26.0,31.8,0.0,227.0,19.5,1009.6
2021-02-28,27.3,25.0,30.4,1.0,205.0,12.3,1010.2
2021-03-01,27.8,24.8,30.5,7.9,151.0,6.3,1011.2
2021-03-02,28.3,24.8,32.0,0.0,251.0,11.6,1010.9
2021-03-03,28.1,25.0,32.1,0.0,167.0,9.6,1010.4
2021-03-04,27.6,24.9,31.3,3.0,157.0,6.6,1010.6
2021-03-05,26.6,7.0,31.0,0.0,56.0,13.9,1011.3
2021-03-06,27.2,24.0,31.0,15.0,62.0,9.1,1010.9
2021-03-07,28.1,24.4,31.0,5.1,37.0,16.6,1009.8
2021-03-08,28.8,25.7,31.0,10.9,20.0,23.8,1011.3
2021-03-09,28.3,26.0,31.5,0.0,67.0,16.3,1014.7
2021-03-10,27.3,23.0,32.0,7.9,178.0,8.1,1014.9
2021-03-11,28.6,23.2,32.5,0.0,135.0,8.7,1013.2
2021-03-12,27.4,25.0,31.2,0.0,127.0,8.8,1012.8
2021-03-13,27.9,24.0,31.5,0.0,319.0,7.3,1012.8
2021-03-14,28.6,24.4,32.2,0.0,67.0,7.0,1012.9
2021-03-15,28.5,24.9,32.5,0.0,101.0,7.7,1012.7
2021-03-16,28.1,24.6,32.1,0.0,172.0,7.5,1011.5
2021-03-17,27.3,24.4,32.1,0.0,132.0,8.7,1010.8
2021-03-18,27.7,24.6,31.7,0.0,188.0,5.4,1010.8
2021-03-19,28.4,24.7,32.0,0.0,179.0,7.3,1011.4
2021-03-20,27.8,25.0,32.4,0.0,101.0,11.5,1012.0
2021-03-21,28.2,25.0,31.2,0.3,141.0,9.3,1013.3
