time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.1,7.3,14.5,0.0,3.0,21.1,1025.5
2021-01-02,14.0,9.0,18.2,0.0,13.0,14.8,1022.7
2021-01-03,16.2,11.8,20.6,0.0,25.0,15.2,1021.8
2021-01-04,17.2,15.3,21.2,0.0,11.0,9.5,1021.0
2021-01-05,17.4,16.0,21.9,0.0,14.0,8.8,1019.9
2021-01-06,16.3,14.5,20.2,0.0,40.0,14.3,1019.7
2021-01-07,12.4,9.9,16.5,0.0,10.0,25.1,1020.6
2021-01-08,8.8,6.1,11.0,0.0,1.0,35.8,1025.0
2021-01-09,10.8,6.9,12.0,0.0,4.0,25.3,1024.4
2021-01-10,11.9,10.3,14.2,0.0,8.0,20.1,1023.3
2021-01-11,8.9,7.8,12.0,,353.0,29.1,1025.8
2021-01-12,10.1,6.7,14.8,0.0,350.0,23.5,1023.9
2021-01-13,12.0,5.0,17.9,0.0,4.0,8.6,1019.7
2021-01-14,14.4,9.6,20.0,0.0,35.0,6.7,1017.6
2021-01-15,15.3,13.0,21.2,0.0,29.0,5.6,1015.9
2021-01-16,16.9,13.2,21.0,0.0,71.0,10.8,1016.8
2021-01-17,14.9,13.3,18.5,0.0,17.0,21.5,1023.2
2021-01-18,13.7,9.8,17.0,0.0,8.0,17.1,1023.3
2021-01-19,15.9,10.0,19.8,0.0,49.0,10.5,1020.0
2021-01-20,17.6,14.3,21.6,0.0,36.0,9.4,1017.8
2021-01-21,18.9,16.2,24.8,0.0,24.0,6.5,1015.5
2021-01-22,19.7,17.8,25.4,0.0,346.0,9.0,1013.5
2021-01-23,19.0,17.0,24.2,0.0,337.0,11.0,1013.8
2021-01-24,18.4,16.2,20.1,0.0,84.0,13.1,1016.4
2021-01-25,18.2,16.4,23.5,0.0,110.0,11.6,1017.4
2021-01-26,18.9,16.7,24.7,0.0,137.0,5.9,1016.8
2021-01-27,18.4,16.6,23.1,0.0,76.0,10.7,1017.6
2021-01-28,18.1,15.9,21.9,0.0,24.0,14.2,1020.5
2021-01-29,16.8,13.0,20.6,0.0,40.0,20.0,1022.3
2021-01-30,17.2,14.0,19.7,0.0,93.0,16.4,1022.1
2021-01-31,18.4,14.6,22.9,0.0,80.0,11.1,1021.3
2021-02-01,19.1,15.6,25.6,0.0,59.0,8.5,1019.2
2021-02-02,19.9,16.0,27.2,0.0,44.0,9.1,1019.3
2021-02-03,18.4,16.4,21.0,0.0,96.0,20.1,1021.7
2021-02-04,19.3,15.2,23.4,0.0,84.0,10.3,1021.3
2021-02-05,18.4,16.8,24.9,0.0,94.0,9.5,1019.7
2021-02-06,19.4,14.0,26.4,0.0,323.0,5.8,1017.3
2021-02-07,19.6,16.2,23.7,0.0,120.0,9.4,1017.3
2021-02-08,20.0,17.3,22.9,0.0,92.0,14.0,1018.4
2021-02-09,18.5,17.7,20.0,0.0,87.0,23.1,1017.2
2021-02-10,15.7,14.3,18.0,14.5,7.0,25.7,1013.6
2021-02-11,16.8,14.0,19.0,,344.0,18.6,1014.4
2021-02-12,18.3,15.0,21.0,,14.0,14.8,1016.1
2021-02-13,17.7,14.0,22.8,0.0,39.0,9.3,1017.0
2021-02-14,19.2,15.8,24.3,0.0,221.0,6.9,1016.1
2021-02-15,20.4,16.1,25.8,0.0,61.0,9.5,1014.8
2021-02-16,19.7,17.3,23.5,0.0,114.0,10.9,1015.8
2021-02-17,20.0,18.0,23.2,0.0,13.0,16.1,1019.2
2021-02-18,18.4,16.6,22.3,0.0,66.0,14.8,1024.1
2021-02-19,19.0,15.4,21.8,0.0,96.0,13.3,1023.3
2021-02-20,18.7,15.0,21.0,,162.0,9.1,1019.5
2021-02-21,17.2,16.0,22.0,,150.0,7.4,1017.2
2021-02-22,20.8,17.4,24.3,0.0,167.0,7.7,1015.6
2021-02-23,21.4,18.2,25.2,0.0,115.0,9.2,1014.7
2021-02-24,20.7,18.3,24.9,0.0,98.0,18.2,1013.8
2021-02-25,20.8,19.0,23.7,0.0,103.0,14.6,1010.7
2021-02-26,20.7,19.8,23.4,0.0,75.0,5.6,1009.5
2021-02-27,17.9,15.6,20.0,29.0,3.0,18.8,1013.9
2021-02-28,20.3,15.9,22.0,0.0,65.0,15.3,1015.3
2021-03-01,20.7,19.2,23.0,0.0,90.0,7.0,1016.0
2021-03-02,20.0,16.2,22.3,0.5,6.0,19.2,1018.4
2021-03-03,19.1,17.2,20.0,0.0,77.0,20.0,1019.7
2021-03-04,19.3,17.2,20.0,0.0,60.0,12.9,1017.6
2021-03-05,20.7,17.5,21.0,5.1,79.0,11.4,1015.1
2021-03-06,21.1,19.5,22.0,4.3,100.0,9.9,1015.6
2021-03-07,19.7,18.4,21.0,0.3,30.0,10.5,1018.4
2021-03-08,20.2,18.0,21.1,1.3,88.0,19.1,1019.4
2021-03-09,20.7,18.3,24.2,0.0,84.0,14.5,1019.5
2021-03-10,20.3,18.8,22.0,0.0,82.0,18.8,1019.3
2021-03-11,21.2,18.4,23.3,0.0,97.0,14.6,1019.5
2021-03-12,22.5,18.9,27.2,0.0,107.0,7.0,1018.2
2021-03-13,21.5,19.8,23.6,0.0,97.0,15.1,1018.0
2021-03-14,21.8,19.7,23.7,0.0,93.0,13.9,1016.1
2021-03-15,22.3,19.7,24.9,0.0,98.0,11.6,1014.4
2021-03-16,23.1,20.4,26.3,0.0,106.0,7.9,1013.2
2021-03-17,23.8,21.0,27.2,0.0,108.0,7.8,1012.6
2021-03-18,23.1,22.0,25.0,,102.0,14.1,1012.8
2021-03-19,23.6,21.9,25.5,0.0,112.0,10.7,1012.1
2021-03-20,24.3,21.5,27.9,0.0,124.0,8.8,1011.0
2021-03-21,18.8,16.0,23.4,0.0,342.0,21.0,1015.5
2021-03-22,17.3,14.7,19.0,,7.0,27.2,1022.6
2021-03-23,18.7,17.0,20.1,0.0,21.0,12.7,1020.6
2021-03-24,20.6,16.4,22.2,0.0,1.0,13.9,1016.6
2021-03-25,21.8,19.7,23.9,0.0,82.0,15.0,1016.3
2021-03-26,22.0,18.9,24.9,0.0,94.0,18.5,1015.2
2021-03-27,22.8,20.5,25.2,0.0,114.0,7.5,1011.9
2021-03-28,24.4,20.9,27.7,0.0,184.0,10.5,1009.7
2021-03-29,25.1,22.8,27.7,0.0,192.0,13.3,1007.6
2021-03-30,25.3,24.0,27.0,,169.0,15.0,1005.7
2021-03-31,25.5,24.0,28.0,,169.0,16.8,1006.2
2021-04-01,25.7,24.2,28.0,,176.0,14.7,1007.4
2021-04-02,25.9,24.2,28.7,0.0,166.0,10.2,1009.9
2021-04-03,26.1,23.5,30.4,0.0,172.0,7.6,1011.6
2021-04-04,24.2,21.8,29.1,0.0,11.0,10.4,1013.8
2021-04-05,22.4,20.2,24.0,,62.0,14.1,1017.4
2021-04-06,23.9,21.0,26.3,0.0,108.0,11.0,1017.4
2021-04-07,23.3,21.5,25.7,0.0,98.0,20.3,1016.0
2021-04-08,22.6,21.3,24.3,0.0,85.0,15.6,1013.8
2021-04-09,20.4,18.5,23.0,,33.0,17.2,1016.4
2021-04-10,22.4,19.5,24.5,1.5,96.0,20.2,1018.2
2021-04-11,23.4,20.2,27.6,0.0,98.0,17.9,1018.3
2021-04-12,24.6,21.2,27.5,0.0,108.0,9.0,1016.1
2021-04-13,25.3,22.3,29.5,0.0,150.0,9.7,1013.5
2021-04-14,24.7,23.0,27.8,0.0,117.0,16.4,1012.6
2021-04-15,22.8,21.2,24.0,,94.0,22.7,1012.2
2021-04-16,23.9,21.9,25.1,6.1,97.0,17.6,1013.0
2021-04-17,22.9,21.7,24.0,,86.0,10.6,1015.4
2021-04-18,23.2,21.8,25.0,,92.0,22.0,1014.9
2021-04-19,22.4,21.0,23.0,,88.0,26.0,1012.8
2021-04-20,22.8,20.7,25.0,,94.0,20.8,1012.5
2021-04-21,24.1,21.5,26.5,0.0,113.0,14.6,1012.2
2021-04-22,24.6,21.5,28.4,0.0,144.0,11.9,1010.0
2021-04-23,26.3,22.5,31.4,0.0,200.0,10.8,1007.6
2021-04-24,25.5,23.7,27.1,0.0,114.0,14.9,1010.3
2021-04-25,24.9,23.0,27.0,,108.0,17.4,1011.4
2021-04-26,23.5,21.7,24.0,,84.0,24.2,1013.2
2021-04-27,23.0,22.0,24.0,,77.0,14.3,1013.9
2021-04-28,23.9,20.5,26.0,,79.0,12.5,1014.4
2021-04-29,23.8,19.5,27.7,6.4,340.0,15.6,1013.3
2021-04-30,24.6,21.3,28.1,,152.0,8.4,1012.4
2021-05-01,25.9,22.4,29.4,0.0,197.0,8.9,1012.0
2021-05-02,26.0,24.2,29.8,0.0,141.0,9.2,1012.5
2021-05-03,25.2,22.1,26.1,5.3,92.0,19.8,1011.8
2021-05-04,25.8,22.7,30.6,0.5,147.0,12.2,1010.6
2021-05-05,26.4,22.1,29.9,7.1,4.0,10.3,1012.7
2021-05-06,25.0,23.0,27.0,,112.0,19.9,1014.6
2021-05-07,26.5,23.3,29.2,0.0,149.0,10.6,1012.9
2021-05-08,27.8,24.2,30.9,0.0,197.0,13.7,1009.3
2021-05-09,27.9,25.7,30.5,0.0,193.0,14.4,1008.4
2021-05-10,28.4,25.2,31.4,0.0,178.0,14.9,1008.2
2021-05-11,28.9,26.4,31.0,0.0,185.0,16.5,1007.7
2021-05-12,28.5,26.7,31.0,,180.0,15.2,1007.8
2021-05-13,29.0,27.2,31.0,,170.0,17.6,1008.0
2021-05-14,29.3,27.0,32.0,,162.0,19.6,1008.3
2021-05-15,29.3,27.3,32.0,,172.0,18.2,1008.4
2021-05-16,29.7,27.0,32.0,0.0,183.0,18.2,1008.5
2021-05-17,29.9,27.5,32.2,8.4,186.0,14.9,1009.3
2021-05-18,29.6,25.9,32.0,,193.0,16.8,1008.6
2021-05-19,29.6,27.0,32.0,,186.0,18.7,1007.4
2021-05-20,29.9,27.7,32.2,0.0,193.0,16.9,1007.4
2021-05-21,29.9,27.7,32.0,,193.0,16.0,1007.3
2021-05-22,29.9,27.4,32.0,,178.0,15.6,1006.4
2021-05-23,30.5,27.3,33.2,1.8,164.0,15.0,1007.3
2021-05-24,29.6,27.2,32.0,0.0,180.0,11.8,1009.1
2021-05-25,29.4,24.8,31.5,35.1,115.0,8.1,1009.7
2021-05-26,29.5,26.0,32.0,,182.0,15.1,1008.9
2021-05-27,30.1,27.6,33.0,,196.0,14.6,1009.1
2021-05-28,30.0,27.9,32.0,,206.0,14.3,1009.2
2021-05-29,29.8,27.8,32.0,,210.0,18.4,1006.6
2021-05-30,30.2,27.9,32.7,0.0,207.0,20.5,1004.5
2021-05-31,29.0,26.3,31.2,0.0,208.0,16.9,1003.5
2021-06-01,26.4,23.4,29.0,,141.0,14.6,1005.5
2021-06-02,27.2,23.5,30.0,,174.0,7.6,1006.3
2021-06-03,29.4,27.0,32.0,,175.0,12.1,1005.9
2021-06-04,27.9,24.6,30.0,,260.0,14.3,1004.4
2021-06-05,27.0,23.6,30.6,3.6,355.0,10.3,1004.4
2021-06-06,28.7,25.0,31.6,0.0,134.0,7.8,1004.2
2021-06-07,28.0,25.9,30.0,,87.0,14.6,1006.7
2021-06-08,28.7,26.3,32.1,0.0,95.0,11.1,1007.5
2021-06-09,27.8,25.0,29.8,3.3,122.0,10.9,1006.8
2021-06-10,28.9,25.0,31.1,9.9,86.0,14.9,1005.1
2021-06-11,29.1,26.9,32.4,0.0,67.0,19.2,1004.8
2021-06-12,28.2,25.2,29.1,4.3,103.0,22.2,1006.6
2021-06-13,28.5,25.5,30.0,35.8,138.0,17.2,1007.6
2021-06-14,29.0,27.2,31.0,,173.0,17.2,1005.4
2021-06-15,29.3,27.4,32.0,,195.0,16.2,1003.7
2021-06-16,29.8,27.9,32.0,,195.0,18.0,1005.6
2021-06-17,29.8,27.9,32.0,,200.0,16.3,1007.2
2021-06-18,30.1,28.1,32.0,,211.0,19.4,1006.5
2021-06-19,29.9,28.1,32.0,,210.0,20.6,1004.2
2021-06-20,30.1,28.1,32.0,,208.0,18.2,1002.4
2021-06-21,30.3,28.5,32.1,0.0,210.0,17.0,1002.5
2021-06-22,26.4,23.4,29.2,17.5,196.0,11.4,1004.4
2021-06-23,25.8,24.5,27.0,,239.0,12.2,1005.3
2021-06-24,26.0,23.6,28.0,,170.0,8.7,1005.4
2021-06-25,26.5,24.5,27.0,,168.0,9.8,1005.8
2021-06-26,28.0,25.3,29.4,,193.0,11.6,1006.5
2021-06-27,29.3,28.2,31.0,,206.0,16.2,1005.7
2021-06-28,28.3,24.9,30.0,,203.0,13.8,1004.3
2021-06-29,28.9,28.0,30.0,,196.0,16.9,1004.4
2021-06-30,29.4,27.8,32.0,,184.0,18.2,1005.3
2021-07-01,29.5,28.0,31.0,,188.0,18.2,1005.5
2021-07-02,29.6,28.1,31.0,,191.0,18.4,1006.0
2021-07-03,29.7,27.9,32.0,,180.0,17.8,1005.8
2021-07-04,30.4,27.6,32.0,1.0,169.0,12.9,1006.6
2021-07-05,30.0,26.8,32.2,3.8,90.0,16.0,1006.9
2021-07-06,29.8,27.7,32.0,0.0,87.0,16.9,1005.9
2021-07-07,29.6,26.9,31.3,0.5,117.0,19.6,1008.1
2021-07-08,29.8,25.2,31.5,12.2,142.0,15.8,1010.8
2021-07-09,29.9,26.6,32.9,0.0,132.0,9.1,1010.1
2021-07-10,29.7,27.0,31.2,,121.0,9.7,1009.9
2021-07-11,30.3,27.2,32.4,0.3,123.0,11.1,1010.7
2021-07-12,30.2,27.5,32.1,0.0,163.0,12.1,1009.9
2021-07-13,30.6,27.3,33.6,0.3,184.0,12.4,1008.1
2021-07-14,30.9,27.7,33.4,0.3,182.0,10.4,1007.8
2021-07-15,30.6,28.4,33.0,,144.0,10.5,1008.5
2021-07-16,29.4,26.6,33.2,0.0,170.0,8.6,1008.2
2021-07-17,28.9,25.1,32.8,9.4,85.0,11.3,1005.5
2021-07-18,28.0,24.5,30.7,4.3,57.0,14.6,1002.9
2021-07-19,26.8,25.0,28.0,,66.0,29.3,1001.4
2021-07-20,27.3,24.3,28.0,83.3,86.0,22.8,1001.5
2021-07-21,27.2,25.0,28.0,,104.0,19.0,1002.1
2021-07-22,28.4,26.0,30.8,23.1,124.0,9.5,1000.9
2021-07-23,30.2,26.1,34.9,0.0,232.0,8.3,998.3
2021-07-24,30.4,28.0,35.1,0.0,225.0,9.7,997.4
2021-07-25,30.2,26.1,32.9,9.9,213.0,11.0,999.0
2021-07-26,30.6,27.6,32.9,0.0,198.0,9.5,997.8
2021-07-27,31.7,28.8,35.8,0.0,228.0,9.5,996.3
2021-07-28,29.4,26.6,34.9,0.0,224.0,12.8,997.1
2021-07-29,28.9,26.9,32.5,0.3,203.0,6.8,999.6
2021-07-30,28.4,25.9,30.0,,195.0,12.1,1000.9
2021-07-31,29.8,27.4,32.4,5.1,216.0,13.3,999.8
2021-08-01,28.3,24.4,32.2,1.0,221.0,9.3,998.2
2021-08-02,29.6,26.5,32.2,95.8,201.0,8.3,998.0
2021-08-03,28.7,25.5,30.6,14.7,66.0,16.9,996.5
2021-08-04,28.9,25.9,33.0,,310.0,16.9,995.8
2021-08-05,27.7,25.5,30.0,,248.0,12.2,996.0
2021-08-06,28.3,26.8,30.0,,229.0,12.2,997.8
2021-08-07,28.9,26.9,33.2,0.3,217.0,11.4,1000.8
2021-08-08,29.5,26.6,32.4,0.0,199.0,11.6,1003.7
2021-08-09,28.6,26.0,31.0,,190.0,13.3,1004.7
2021-08-10,29.1,27.5,31.0,,165.0,15.5,1005.2
2021-08-11,28.3,26.0,31.7,5.1,174.0,13.5,1007.6
2021-08-12,29.0,25.8,31.1,4.3,172.0,9.8,1008.5
2021-08-13,28.4,26.0,30.0,,196.0,10.9,1005.6
2021-08-14,27.5,25.8,29.0,,193.0,14.5,1005.7
2021-08-15,27.1,24.4,29.0,10.9,178.0,10.6,1009.3
2021-08-16,27.7,25.0,30.2,6.1,186.0,9.7,1012.0
2021-08-17,29.5,26.4,32.1,12.2,195.0,11.8,1010.2
2021-08-18,29.7,27.2,32.5,0.0,205.0,10.0,1007.9
2021-08-19,28.7,24.2,30.1,12.7,178.0,8.7,1008.2
2021-08-20,29.1,25.0,32.0,,191.0,11.7,1009.0
2021-08-21,29.8,27.1,32.3,0.0,210.0,14.2,1008.1
2021-08-22,29.9,27.6,32.4,0.0,204.0,13.8,1006.9
2021-08-23,29.7,27.3,32.0,,191.0,15.2,1006.6
2021-08-24,29.1,27.0,31.0,,180.0,12.9,1007.1
2021-08-25,29.6,27.2,31.6,2.3,154.0,11.8,1008.3
2021-08-26,29.9,27.5,31.5,0.0,128.0,10.6,1010.5
2021-08-27,26.6,21.5,29.8,19.8,62.0,12.3,1011.4
2021-08-28,28.4,23.7,31.0,7.1,55.0,11.1,1011.2
2021-08-29,27.0,24.8,29.0,,79.0,10.2,1010.8
2021-08-30,28.6,24.6,32.1,8.6,90.0,10.0,1011.1
2021-08-31,28.3,25.0,31.3,0.0,44.0,10.5,1010.7
2021-09-01,28.3,26.0,30.1,10.2,69.0,13.4,1009.5
2021-09-02,29.3,26.5,31.1,0.5,93.0,13.2,1008.9
2021-09-03,29.4,26.5,31.5,0.0,146.0,10.1,1007.0
2021-09-04,29.6,25.6,31.7,2.3,160.0,11.3,1007.8
2021-09-05,29.4,26.9,31.8,2.3,132.0,9.1,1009.5
2021-09-06,30.1,26.6,33.2,0.0,84.0,8.3,1010.2
2021-09-07,29.7,26.9,33.1,0.0,61.0,13.6,1009.9
2021-09-08,29.7,27.3,33.1,0.0,89.0,9.2,1009.3
2021-09-09,30.2,26.4,34.7,0.0,66.0,7.5,1008.9
2021-09-10,30.1,27.4,33.0,0.0,87.0,11.1,1007.9
2021-09-11,30.6,27.2,34.2,0.0,193.0,9.3,1004.4
2021-09-12,31.3,28.1,35.5,0.0,217.0,10.2,1001.7
2021-09-13,30.6,28.6,33.8,0.0,199.0,11.0,1006.3
2021-09-14,28.9,26.9,32.9,0.5,207.0,8.6,1011.0
2021-09-15,30.6,25.5,34.4,17.3,249.0,11.6,1011.1
2021-09-16,28.8,24.2,34.0,0.0,296.0,9.7,1009.4
2021-09-17,29.8,23.6,33.2,13.7,295.0,7.7,1008.9
2021-09-18,29.8,24.2,31.2,5.6,98.0,13.9,1010.7
2021-09-19,29.3,26.8,32.1,0.5,112.0,12.9,1010.9
2021-09-20,29.8,26.6,32.8,15.7,111.0,7.4,1010.1
2021-09-21,29.7,27.1,32.8,0.8,102.0,7.0,1009.2
