time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.2,22.5,,34.0,,,
2021-01-02,26.4,22.4,30.7,7.1,196.0,12.0,1014.3
2021-01-03,25.8,23.0,30.5,11.9,175.0,11.8,1013.6
2021-01-04,26.0,21.2,31.0,6.1,218.0,11.9,1012.3
2021-01-05,26.7,21.6,30.7,0.0,186.0,9.3,1011.8
2021-01-06,26.9,22.4,31.2,1.4,179.0,8.1,1011.9
2021-01-07,26.9,23.0,31.2,3.0,61.0,7.3,1010.5
2021-01-08,26.7,22.8,31.0,0.0,66.0,7.1,1008.3
2021-01-09,26.5,21.3,31.0,0.7,28.0,7.2,1007.9
2021-01-10,27.0,21.0,31.4,0.2,193.0,9.3,1009.2
2021-01-11,27.3,23.0,32.5,0.3,219.0,11.7,1010.5
2021-01-12,28.1,23.3,33.0,1.0,210.0,11.8,1010.9
2021-01-13,27.8,23.0,32.8,0.0,216.0,7.8,1009.8
2021-01-14,28.2,23.0,33.5,1.5,194.0,9.2,1008.9
2021-01-15,28.4,23.4,33.6,3.6,189.0,10.6,1009.2
2021-01-16,27.9,24.0,32.5,3.2,53.0,7.7,1009.5
2021-01-17,28.6,23.0,32.9,3.6,72.0,7.6,1009.0
2021-01-18,28.1,25.0,32.9,9.9,147.0,7.1,1007.9
2021-01-19,26.7,25.0,32.1,3.0,205.0,14.0,1007.3
2021-01-20,28.8,24.6,32.3,47.0,108.0,17.2,1008.2
2021-01-21,27.9,25.6,32.3,3.0,28.0,9.4,1010.7
2021-01-22,28.4,24.7,32.3,0.0,54.0,6.6,1012.5
2021-01-23,28.1,25.0,32.3,4.1,61.0,6.8,1012.5
2021-01-24,27.5,23.0,31.1,0.0,7.0,8.3,1012.0
2021-01-25,27.4,23.0,32.0,0.8,24.0,8.6,1011.7
2021-01-26,27.8,22.9,32.0,0.0,20.0,8.0,1011.3
2021-01-27,28.2,24.0,32.0,8.9,37.0,7.0,1009.9
2021-01-28,28.2,23.5,32.6,0.3,34.0,9.0,1010.0
2021-01-29,26.9,21.8,32.6,11.9,26.0,13.9,1011.9
2021-01-30,26.9,23.0,31.5,15.0,19.0,6.4,1012.7
2021-01-31,27.5,23.5,31.5,17.0,64.0,6.0,1012.9
2021-02-01,28.3,23.6,32.8,0.5,183.0,9.2,1014.0
2021-02-02,28.0,25.0,32.8,3.0,205.0,12.2,1014.0
2021-02-03,25.7,23.6,32.6,0.0,224.0,14.2,1013.0
2021-02-04,26.2,23.3,31.0,39.9,211.0,7.3,1012.9
2021-02-05,27.6,23.6,31.7,2.0,185.0,9.2,1012.2
2021-02-06,27.5,23.5,31.8,7.1,21.0,9.6,1009.9
2021-02-07,27.4,23.8,31.0,0.0,17.0,10.4,1008.8
2021-02-08,27.5,23.0,32.0,2.0,16.0,8.9,1010.2
2021-02-09,27.4,24.0,32.0,8.2,28.0,9.4,1011.1
2021-02-10,27.4,23.6,32.0,3.0,34.0,7.2,1011.2
2021-02-11,26.3,22.8,31.0,0.8,214.0,7.9,1010.7
2021-02-12,26.5,23.0,31.0,17.5,159.0,9.6,1011.4
2021-02-13,25.6,23.0,30.5,0.0,219.0,8.3,1012.8
2021-02-14,24.2,23.0,30.5,0.5,233.0,12.2,1012.4
2021-02-15,25.3,22.0,30.0,15.0,239.0,7.2,1010.8
2021-02-16,26.3,23.0,30.5,13.0,5.0,7.6,1009.5
2021-02-17,27.4,23.9,32.2,7.1,16.0,10.0,1009.5
2021-02-18,27.9,23.5,32.2,15.0,38.0,6.4,1010.6
2021-02-19,28.9,25.0,32.0,0.0,121.0,6.3,1011.2
2021-02-20,28.4,25.0,32.0,41.5,1.0,7.3,1011.3
