time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.8,23.0,33.6,,,,
2021-01-02,27.5,23.2,34.0,,,,
2021-01-03,27.1,23.1,33.2,13.6,281.0,4.3,1009.2
2021-01-04,26.3,23.3,30.0,22.3,267.0,4.4,1009.1
2021-01-05,26.2,23.4,31.3,18.7,303.0,4.3,1009.5
2021-01-06,25.2,23.5,28.2,16.2,346.0,2.8,1009.0
2021-01-07,26.6,22.9,32.7,17.7,322.0,4.6,1007.9
2021-01-08,26.7,23.0,31.4,3.6,268.0,4.3,1007.9
2021-01-09,27.4,22.8,32.7,11.7,322.0,3.2,1007.8
2021-01-10,28.5,24.4,35.1,22.9,326.0,4.5,1007.9
2021-01-11,26.6,23.6,30.9,18.4,232.0,4.6,1008.6
2021-01-12,26.4,24.1,30.0,4.7,329.0,3.6,1008.4
2021-01-13,26.6,23.5,32.2,13.0,289.0,3.4,1008.3
2021-01-14,26.8,23.6,33.4,25.4,296.0,5.6,1008.5
2021-01-15,25.8,23.7,29.3,6.4,250.0,3.0,1008.3
2021-01-16,26.2,22.5,31.7,20.3,272.0,4.7,1007.5
2021-01-17,25.5,22.4,29.3,0.0,34.0,2.2,1008.5
2021-01-18,26.8,23.4,31.7,0.4,339.0,3.1,1007.7
2021-01-19,26.8,24.1,33.0,4.1,267.0,5.0,1007.6
2021-01-20,27.6,24.2,34.2,17.3,280.0,4.5,1008.4
2021-01-21,24.9,23.4,29.4,10.1,327.0,4.2,1009.4
2021-01-22,26.7,23.7,31.5,6.6,341.0,3.3,1009.5
2021-01-23,24.3,22.9,26.7,10.0,267.0,4.7,1010.3
2021-01-24,26.8,23.2,32.6,20.1,275.0,4.5,1010.5
2021-01-25,25.2,22.5,28.4,19.5,302.0,4.4,1010.6
2021-01-26,25.4,23.0,32.6,4.1,297.0,3.5,1008.9
2021-01-27,25.8,22.9,29.0,3.3,317.0,3.2,1008.8
2021-01-28,25.9,23.6,32.2,18.9,235.0,3.1,1009.7
2021-01-29,27.3,22.6,33.7,0.9,42.0,4.7,1009.2
2021-01-30,25.1,23.2,26.9,32.7,25.0,3.5,1010.0
2021-01-31,26.1,23.2,31.1,8.4,57.0,4.2,1010.8
2021-02-01,24.4,23.2,26.8,11.8,263.0,3.0,1011.2
2021-02-02,26.2,23.0,31.1,12.5,272.0,4.2,1011.0
2021-02-03,26.9,22.8,33.7,3.5,52.0,3.8,1010.0
2021-02-04,26.6,23.1,33.2,2.8,348.0,3.3,1010.4
2021-02-05,25.9,23.3,29.9,11.3,278.0,3.2,1010.2
2021-02-06,26.7,23.7,33.4,7.5,45.0,4.2,1009.4
2021-02-07,26.7,23.8,32.0,8.3,42.0,3.7,1009.2
