time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.6,,,,,,
2021-01-02,26.9,20.4,32.0,2.1,287.0,5.1,1011.8
2021-01-03,29.7,20.9,33.0,0.5,5.0,6.4,1009.6
2021-01-04,30.1,22.2,33.0,1.2,324.0,8.1,1007.9
2021-01-05,25.3,21.7,26.0,2.5,129.0,4.1,1009.1
2021-01-06,27.3,20.6,30.0,0.6,339.0,7.0,1010.4
2021-01-07,26.4,21.0,31.2,11.7,310.0,3.9,1013.3
2021-01-08,26.9,21.4,32.0,0.4,337.0,3.8,1012.9
2021-01-09,28.9,21.6,33.0,0.3,282.0,4.9,1011.2
2021-01-10,30.4,20.1,35.0,2.0,315.0,4.9,1011.1
2021-01-11,30.1,21.0,35.0,1.8,301.0,5.7,1010.9
2021-01-12,31.0,21.0,34.9,0.2,334.0,7.4,1010.4
2021-01-13,30.1,21.5,33.0,0.1,350.0,10.4,1010.0
2021-01-14,30.9,20.7,34.0,0.6,324.0,8.5,1009.1
2021-01-15,29.7,21.5,34.0,7.9,304.0,5.6,1008.7
2021-01-16,31.2,22.4,35.0,1.7,333.0,8.8,1007.8
2021-01-17,31.1,22.2,34.7,0.0,330.0,9.3,1007.2
2021-01-18,32.2,21.9,36.0,0.5,349.0,13.3,1008.4
2021-01-19,27.5,22.1,32.0,6.2,299.0,4.9,1010.8
2021-01-20,27.4,21.9,31.0,14.8,325.0,6.0,1011.4
2021-01-21,29.1,21.7,34.0,0.8,28.0,3.9,1010.8
2021-01-22,29.2,22.1,33.2,7.7,316.0,4.4,1011.2
2021-01-23,25.6,21.8,34.3,9.5,133.0,4.4,1012.6
2021-01-24,25.2,21.0,29.2,3.0,333.0,3.2,1011.5
2021-01-25,25.4,21.0,31.0,1.9,302.0,4.4,1010.8
2021-01-26,27.9,20.4,33.0,0.2,345.0,6.6,1010.1
2021-01-27,29.6,21.2,32.7,0.2,330.0,7.3,1010.1
2021-01-28,30.3,20.3,34.0,0.0,345.0,8.8,1008.9
2021-01-29,31.4,21.8,34.0,0.4,332.0,9.4,1008.2
2021-01-30,30.6,21.9,34.5,0.8,83.0,8.2,1009.9
2021-01-31,29.1,21.2,33.0,1.0,297.0,5.3,1010.8
2021-02-01,30.1,22.3,34.0,4.6,350.0,7.2,1010.1
2021-02-02,30.7,20.7,35.0,0.1,335.0,8.7,1009.8
2021-02-03,31.2,20.7,35.0,1.5,322.0,6.6,1010.5
2021-02-04,28.4,22.0,35.1,8.7,4.0,4.4,1012.4
2021-02-05,27.5,22.4,32.0,10.8,238.0,4.1,1011.4
2021-02-06,26.8,22.1,30.0,21.4,35.0,3.6,1012.2
2021-02-07,29.2,21.3,33.0,0.8,343.0,4.9,1010.7
2021-02-08,30.2,21.7,35.0,0.5,324.0,7.2,1009.4
2021-02-09,30.4,22.6,33.0,0.8,347.0,8.8,1008.9
2021-02-10,27.7,22.8,33.0,0.8,27.0,9.2,1007.7
2021-02-11,26.1,22.4,30.0,3.4,98.0,6.4,1008.2
2021-02-12,24.4,22.2,28.0,8.3,251.0,4.8,1010.1
2021-02-13,30.6,21.9,35.0,0.9,1.0,6.3,1009.8
2021-02-14,31.4,21.7,35.0,0.6,358.0,6.5,1009.1
