time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-33.4,,-30.4,,,,
2021-01-02,-37.4,-37.8,-36.7,0.0,229.0,9.7,1054.3
2021-01-03,-31.4,-38.1,-27.6,0.0,260.0,15.7,1053.7
2021-01-04,-32.6,-34.3,-33.6,0.0,240.0,12.7,1054.5
2021-01-05,-30.2,-33.3,-26.3,0.5,219.0,15.8,1054.9
2021-01-06,-30.3,-33.5,-27.7,0.0,236.0,18.2,1052.2
2021-01-07,-26.0,-28.5,-22.8,0.0,239.0,22.1,1049.1
2021-01-08,-25.3,-27.2,-23.7,0.0,219.0,16.8,1038.5
2021-01-09,-27.1,-31.1,-24.8,0.3,311.0,5.9,1028.4
2021-01-10,-29.5,-31.4,-26.4,0.3,16.0,13.4,1028.8
2021-01-11,-30.4,-36.3,-25.0,0.0,322.0,15.1,1030.4
2021-01-12,-13.2,-26.2,-12.1,0.5,315.0,18.7,1022.8
2021-01-13,-8.6,-12.8,-5.6,1.3,301.0,29.7,1016.4
2021-01-14,-11.7,-15.9,-6.4,1.0,296.0,30.6,1019.4
2021-01-15,-21.3,-22.3,-16.4,0.5,234.0,15.6,1027.1
2021-01-16,-19.8,-22.8,-17.2,3.0,131.0,16.3,1015.0
2021-01-17,-21.9,-19.9,-20.8,6.9,103.0,20.2,997.7
2021-01-18,-32.3,-32.5,-18.6,0.0,216.0,15.7,992.8
2021-01-19,-34.8,-37.8,-33.0,0.3,271.0,7.8,1007.8
2021-01-20,-37.0,-41.1,-32.7,0.3,288.0,7.9,1022.4
2021-01-21,-40.8,-42.3,-38.6,0.0,97.0,14.6,1024.9
2021-01-22,-42.9,-44.6,-40.2,0.0,45.0,15.0,1023.3
2021-01-23,-45.6,-46.7,-44.4,0.0,13.0,12.9,1030.4
2021-01-24,-45.3,-46.4,-44.0,0.0,9.0,8.1,1038.2
2021-01-25,-43.7,-47.8,-42.0,0.0,162.0,10.3,1041.4
2021-01-26,-32.1,-41.9,-29.5,3.1,158.0,24.1,1028.7
2021-01-27,-36.8,-39.1,-29.4,1.0,287.0,17.1,1017.7
2021-01-28,-39.4,-44.6,-35.7,0.8,101.0,14.1,1025.7
2021-01-29,-35.6,-37.8,-32.2,2.8,42.0,13.7,1024.6
2021-01-30,-40.7,-43.4,-33.2,0.0,68.0,10.6,1039.9
