time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.2,18.3,,,,,
2021-01-02,28.6,22.0,35.2,0.3,6.0,5.6,1008.5
2021-01-03,30.6,22.6,38.6,1.4,47.0,13.3,1002.0
2021-01-04,23.9,19.5,39.0,41.9,270.0,4.0,1007.1
2021-01-05,25.6,20.0,31.7,0.0,325.0,4.3,1006.5
2021-01-06,22.0,20.0,32.2,20.1,266.0,6.1,1011.2
2021-01-07,21.5,18.5,26.0,11.9,213.0,7.7,1011.9
2021-01-08,23.8,18.8,29.6,0.0,13.0,3.1,1009.1
2021-01-09,26.0,20.3,32.7,3.5,16.0,7.9,1005.2
2021-01-10,27.1,22.2,33.3,0.2,10.0,6.4,1003.8
2021-01-11,29.2,23.8,34.6,0.0,25.0,6.2,1000.3
2021-01-12,23.3,19.6,34.8,13.4,219.0,15.1,1008.8
2021-01-13,21.9,19.5,24.6,19.1,226.0,5.2,1013.5
2021-01-14,26.2,20.0,32.5,0.0,357.0,3.7,1009.5
2021-01-15,28.4,22.4,35.5,0.0,355.0,9.9,1001.9
2021-01-16,29.3,23.5,35.8,12.9,19.0,7.8,998.3
2021-01-17,21.8,17.5,35.1,48.0,188.0,20.3,1011.9
2021-01-18,22.7,18.4,28.0,0.0,54.0,2.8,1014.5
2021-01-19,22.9,15.7,30.7,0.0,350.0,3.1,1012.6
2021-01-20,22.6,18.4,31.2,0.0,238.0,6.2,1012.4
2021-01-21,24.4,18.0,31.6,0.0,251.0,6.9,1012.5
2021-01-22,26.8,22.0,33.2,0.0,284.0,5.9,1012.3
2021-01-23,27.9,20.5,34.7,0.2,1.0,5.1,1009.3
2021-01-24,24.9,20.9,35.5,47.0,282.0,11.1,1007.2
2021-01-25,26.8,21.4,32.6,0.0,2.0,6.6,1003.3
2021-01-26,26.4,21.8,33.6,7.1,338.0,5.2,1001.5
2021-01-27,26.1,20.0,34.0,31.0,312.0,5.0,1005.7
2021-01-28,28.8,21.6,35.0,0.0,306.0,7.0,1002.1
2021-01-29,28.1,19.8,35.5,0.0,21.0,6.4,999.1
2021-01-30,28.6,21.0,36.2,3.4,356.0,4.8,999.3
2021-01-31,23.8,20.0,36.5,7.9,220.0,8.0,1007.6
2021-02-01,21.6,20.0,26.3,0.8,203.0,7.4,1007.9
2021-02-02,20.7,18.6,23.0,6.1,185.0,6.5,1008.6
2021-02-03,20.7,17.8,24.2,4.1,189.0,6.5,1014.3
2021-02-04,23.3,17.8,30.0,0.0,268.0,6.1,1017.1
2021-02-05,23.8,18.3,31.2,0.0,0.0,3.0,1013.3
2021-02-06,24.7,17.0,32.0,0.2,352.0,6.1,1011.1
2021-02-07,26.6,19.0,33.6,0.0,352.0,6.6,1009.1
2021-02-08,26.2,19.0,34.0,0.0,354.0,7.8,1008.5
2021-02-09,21.0,19.0,34.0,5.1,197.0,6.3,1014.1
2021-02-10,18.9,17.7,21.6,0.0,219.0,6.3,1015.4
2021-02-11,20.7,16.6,25.0,3.3,234.0,5.3,1013.3
2021-02-12,22.4,16.6,28.4,0.2,328.0,6.4,1010.7
2021-02-13,27.4,20.4,30.0,3.3,196.0,6.1,1008.7
2021-02-14,26.3,21.0,32.7,13.1,293.0,7.2,1005.5
2021-02-15,26.1,22.0,33.4,15.5,224.0,9.1,1006.6
2021-02-16,21.4,19.0,33.0,11.9,214.0,9.8,1011.3
2021-02-17,24.8,18.8,30.6,0.0,337.0,7.3,1009.5
2021-02-18,25.5,19.2,32.7,0.2,16.0,7.0,1007.9
2021-02-19,25.7,22.2,33.2,0.7,324.0,6.7,1007.9
2021-02-20,24.9,21.2,27.2,4.8,204.0,9.9,1012.2
2021-02-21,25.1,20.5,30.5,0.0,312.0,3.6,1010.2
