time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-10.0,-14.7,-5.4,1.6,41.0,9.9,
2021-01-02,-9.7,-14.8,-4.6,0.4,282.0,5.1,988.6
2021-01-03,-3.1,-8.3,2.2,0.0,244.0,29.8,993.5
2021-01-04,-8.3,-16.2,-0.4,0.0,302.0,10.6,1002.2
2021-01-05,-7.3,-16.0,1.3,0.0,199.0,9.3,1005.1
2021-01-06,-0.7,-7.1,5.6,0.0,227.0,24.0,1003.9
2021-01-07,-9.8,-17.5,-2.1,0.0,271.0,7.2,1020.6
2021-01-08,-11.6,-19.9,-3.2,0.0,301.0,7.0,1021.5
2021-01-09,-9.5,-17.1,-2.0,0.0,252.0,9.9,1022.5
2021-01-10,-8.4,-14.5,-2.2,0.0,243.0,7.7,1012.1
2021-01-11,-0.9,-6.9,5.2,0.0,220.0,14.5,1004.7
2021-01-12,-6.0,-12.8,0.7,0.0,214.0,11.0,998.8
2021-01-13,-2.7,-5.6,0.2,0.0,256.0,20.1,1005.3
2021-01-14,-6.9,-11.8,-2.1,0.0,232.0,16.6,1026.8
2021-01-15,-1.5,-7.9,5.0,0.0,236.0,23.9,1013.6
2021-01-16,-3.5,-7.7,0.8,0.0,260.0,14.2,1018.9
2021-01-17,-1.8,-7.1,3.5,0.4,256.0,14.0,1014.7
2021-01-18,-5.4,-11.3,0.6,0.0,250.0,16.7,1027.7
2021-01-19,-1.8,-9.9,6.2,0.7,239.0,28.7,1008.9
2021-01-20,-2.4,-4.1,-0.7,0.0,257.0,27.5,1016.0
2021-01-21,-7.2,-12.0,-2.4,0.0,257.0,13.3,1023.9
2021-01-22,-8.6,-13.0,-4.1,0.0,265.0,13.7,1021.4
2021-01-23,-12.7,-16.4,-9.1,1.1,50.0,12.0,1021.5
2021-01-24,-15.9,-17.7,-14.1,0.4,46.0,11.1,1014.1
2021-01-25,-16.3,-17.5,-15.1,0.8,45.0,12.4,1020.6
2021-01-26,-18.2,-20.3,-16.1,0.4,32.0,8.4,1018.7
2021-01-27,-19.0,-20.9,-17.1,0.9,22.0,9.2,1024.5
2021-01-28,-23.7,-29.9,-17.5,0.4,72.0,4.8,1025.0
2021-01-29,-22.6,-30.4,-14.8,0.0,276.0,4.2,1013.0
2021-01-30,-19.0,-26.0,-11.9,0.0,303.0,4.5,1014.8
2021-01-31,-17.4,-25.1,-9.7,0.0,23.0,7.0,1017.8
2021-02-01,-16.5,-22.2,-10.8,2.0,20.0,9.1,1019.1
2021-02-02,-18.1,-20.6,-15.5,7.2,349.0,10.7,1022.9
2021-02-03,-22.1,-26.7,-17.6,0.5,270.0,7.9,1027.5
2021-02-04,-20.9,-26.2,-15.6,0.5,59.0,7.0,1025.0
2021-02-05,-24.6,-30.2,-19.0,2.5,37.0,9.8,1033.2
2021-02-06,-32.5,-42.9,-22.1,0.0,351.0,3.9,1036.5
2021-02-07,-36.5,-45.8,-27.3,0.0,281.0,5.3,1033.9
2021-02-08,-34.5,-40.1,-28.8,0.0,257.0,8.5,1043.1
2021-02-09,-35.9,-42.0,-29.7,0.0,253.0,16.3,1045.1
2021-02-10,-32.2,-39.1,-25.4,0.4,261.0,10.8,1046.7
2021-02-11,-32.8,-41.7,-23.8,0.0,264.0,12.7,1052.5
2021-02-12,-23.5,-33.1,-13.9,0.0,262.0,10.1,1040.1
2021-02-13,-26.2,-34.8,-17.6,0.0,53.0,10.0,1034.1
2021-02-14,-23.8,-29.8,-17.8,0.0,63.0,9.3,1023.0
2021-02-15,-18.5,-22.4,-14.5,1.5,65.0,6.7,1012.3
2021-02-16,-19.3,-26.5,-12.1,1.5,251.0,4.4,1016.7
2021-02-17,-20.4,-31.0,-9.7,0.0,263.0,9.3,1025.0
2021-02-18,-15.8,-24.1,-7.6,0.0,266.0,6.2,1015.5
2021-02-19,-8.2,-18.8,2.3,0.0,246.0,18.6,1003.5
2021-02-20,-3.0,-7.1,1.1,0.0,243.0,29.5,1002.1
2021-02-21,1.9,-0.9,4.8,0.0,236.0,34.2,991.7
2021-02-22,-1.7,-6.4,3.1,0.0,252.0,23.6,1001.3
2021-02-23,-2.8,-7.6,2.0,0.0,259.0,14.9,1013.5
2021-02-24,-6.4,-14.0,1.2,0.0,241.0,15.2,1020.3
2021-02-25,-5.5,-14.4,3.4,1.7,269.0,14.7,998.8
2021-02-26,-17.2,-22.1,-12.2,1.3,32.0,7.5,1017.0
2021-02-27,-16.2,-25.1,-7.3,1.1,249.0,8.4,1016.6
2021-02-28,-7.1,-8.9,-5.3,5.8,16.0,8.5,1007.0
2021-03-01,-3.3,-11.2,4.6,0.4,244.0,12.1,1003.6
2021-03-02,-6.6,-15.7,2.4,0.0,244.0,23.8,1003.8
2021-03-03,-5.7,-15.2,3.9,0.0,349.0,8.9,1005.7
2021-03-04,-4.4,-14.9,6.0,0.0,21.0,8.3,1013.9
2021-03-05,-1.9,-11.7,7.9,0.0,45.0,8.7,1006.5
2021-03-06,-1.4,-7.9,5.2,0.0,248.0,14.7,1004.5
2021-03-07,-4.0,-11.7,3.7,0.0,253.0,10.3,1011.3
2021-03-08,-3.7,-13.2,5.8,0.0,34.0,5.6,1018.5
2021-03-09,-5.8,-12.2,0.5,1.2,357.0,8.5,1015.3
2021-03-10,-15.5,-23.7,-7.2,0.0,275.0,10.3,1025.0
