time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,2.2,-4.0,11.0,,255.0,9.7,1025.6
2021-01-02,3.2,-4.0,12.0,0.0,275.0,12.3,1025.8
2021-01-03,4.5,-3.0,13.0,0.0,298.0,13.9,1024.5
2021-01-04,4.6,1.0,10.0,0.0,319.0,27.0,1025.1
2021-01-05,3.0,-1.0,8.0,0.0,305.0,18.7,1026.5
2021-01-06,1.4,-4.0,9.0,0.0,301.0,8.8,1028.1
2021-01-07,0.4,-6.0,9.0,0.0,263.0,10.9,1029.4
2021-01-08,0.4,-6.0,8.0,0.0,252.0,9.1,1028.4
2021-01-09,0.0,-7.0,8.0,0.0,291.0,7.8,1027.4
2021-01-10,0.6,-6.0,9.0,0.0,287.0,8.5,1025.8
2021-01-11,1.8,-6.0,12.0,0.0,234.0,9.8,1024.6
2021-01-12,2.6,-4.0,11.0,0.0,302.0,9.2,1025.5
2021-01-13,3.0,-4.0,12.0,0.0,233.0,9.5,1023.6
2021-01-14,3.4,-4.0,11.0,0.0,295.0,8.9,1018.1
2021-01-15,5.4,-1.0,12.0,0.0,301.0,7.7,1015.5
2021-01-16,8.0,2.0,17.0,0.0,263.0,13.3,1017.0
2021-01-17,5.6,0.0,13.0,0.1,308.0,9.0,1011.8
2021-01-18,8.1,2.0,15.0,0.1,277.0,15.4,1012.8
2021-01-19,7.9,1.0,15.0,0.0,257.0,11.6,1017.3
2021-01-20,6.3,-1.0,14.0,0.9,248.0,11.7,1013.5
2021-01-21,2.4,-3.0,6.0,1.4,297.0,32.7,1016.3
2021-01-22,-0.6,-4.0,4.0,0.0,293.0,16.0,1030.8
2021-01-23,-1.7,-8.0,5.0,0.0,265.0,9.8,1030.5
2021-01-24,0.5,-7.0,9.0,0.0,281.0,10.7,1025.5
2021-01-25,2.0,-6.0,12.9,0.0,275.0,7.9,1023.0
2021-01-26,3.8,-5.0,13.0,0.0,284.0,13.5,1021.7
2021-01-27,5.1,-3.0,15.0,0.0,269.0,9.4,1021.7
2021-01-28,5.0,-3.0,13.0,0.0,162.0,11.3,1019.0
2021-01-29,7.5,1.0,14.0,2.9,247.0,10.5,1016.4
2021-01-30,8.6,5.0,14.0,3.2,317.0,12.7,1012.5
2021-01-31,8.2,4.0,11.0,0.0,299.0,26.8,1016.9
2021-02-01,8.3,3.0,16.0,0.0,297.0,16.2,1021.8
2021-02-02,8.0,1.0,16.0,0.0,290.0,8.9,1024.4
2021-02-03,8.0,1.0,16.0,0.0,240.0,11.2,1022.0
2021-02-04,8.6,0.0,18.0,0.0,296.0,9.2,1021.1
2021-02-05,9.1,4.0,13.0,2.5,292.0,11.7,1019.2
2021-02-06,10.6,9.0,13.0,2.3,292.0,14.7,1017.5
2021-02-07,8.4,7.0,10.0,5.4,292.0,13.2,1016.6
2021-02-08,10.3,5.0,18.0,0.0,297.0,11.9,1021.5
2021-02-09,10.8,3.0,22.9,0.0,287.0,12.8,1023.5
2021-02-10,12.3,5.0,20.0,0.0,290.0,15.0,1020.8
2021-02-11,11.8,5.0,20.0,0.0,288.0,11.8,1017.0
2021-02-12,10.8,4.0,19.0,0.0,316.0,11.6,1017.0
2021-02-13,10.9,2.0,22.0,0.0,273.0,10.9,1016.4
