time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.7,8.9,15.6,4.1,260.0,17.9,1016.0
2021-01-02,10.4,8.0,14.0,3.3,271.0,19.7,1016.5
2021-01-03,9.4,5.3,14.3,0.0,272.0,13.0,1018.6
2021-01-04,9.2,4.0,15.6,0.0,238.0,14.1,1015.3
2021-01-05,9.2,5.0,15.4,0.0,141.0,9.0,1010.3
2021-01-06,11.2,8.8,13.1,3.8,93.0,11.0,1008.4
2021-01-07,13.6,10.9,16.0,97.0,10.0,8.0,1004.3
2021-01-08,14.2,12.0,18.0,34.3,356.0,19.9,1000.7
2021-01-09,10.7,8.0,14.0,7.9,249.0,29.9,1004.8
2021-01-10,7.8,6.1,11.0,14.5,248.0,12.5,1009.4
2021-01-11,8.6,4.6,13.1,4.3,253.0,12.0,1018.7
2021-01-12,8.4,4.7,15.3,0.0,182.0,10.9,1027.8
2021-01-13,9.4,3.6,16.5,0.3,234.0,13.6,1028.9
2021-01-14,12.2,8.3,15.7,0.0,254.0,24.8,1026.8
2021-01-15,13.3,11.0,17.0,0.0,252.0,29.5,1025.3
2021-01-16,12.4,7.0,18.0,0.0,257.0,20.3,1025.8
2021-01-17,9.9,4.2,16.4,0.0,120.0,6.6,1027.6
2021-01-18,10.6,5.0,17.7,0.3,164.0,10.4,1026.1
2021-01-19,9.8,4.4,16.6,0.0,190.0,8.1,1025.1
2021-01-20,13.8,5.2,17.4,0.3,233.0,22.8,1017.7
2021-01-21,16.4,13.0,19.4,9.4,251.0,24.6,1020.8
2021-01-22,16.6,14.0,18.6,0.0,252.0,35.4,1020.0
2021-01-23,15.6,13.3,18.6,4.6,255.0,31.4,1021.9
2021-01-24,16.4,14.6,19.3,0.0,256.0,27.9,1019.2
2021-01-25,17.1,14.8,19.1,1.0,257.0,26.8,1020.4
2021-01-26,18.1,15.8,21.4,0.0,269.0,19.3,1025.2
2021-01-27,17.7,15.0,22.5,0.0,240.0,16.7,1024.9
2021-01-28,14.2,11.4,17.5,0.3,159.0,7.5,1023.7
2021-01-29,16.4,10.4,22.3,0.0,242.0,17.1,1022.1
2021-01-30,16.6,13.5,19.9,1.3,259.0,28.2,1021.0
2021-01-31,16.1,14.2,19.0,0.0,262.0,29.5,1022.0
2021-02-01,17.4,15.6,20.8,0.0,260.0,25.4,1021.2
2021-02-02,16.3,13.0,22.7,0.0,248.0,14.0,1019.1
2021-02-03,15.4,11.9,20.5,0.0,246.0,13.4,1016.0
2021-02-04,13.8,9.5,17.8,0.0,112.0,9.0,1010.1
2021-02-05,15.0,10.7,19.1,0.0,260.0,10.5,1003.9
2021-02-06,13.2,11.0,16.9,3.6,245.0,21.5,1006.9
2021-02-07,12.6,10.4,14.9,10.4,257.0,25.1,1012.8
2021-02-08,14.6,12.9,17.0,14.2,252.0,31.9,1012.9
2021-02-09,16.2,13.7,20.0,1.8,250.0,30.7,1013.7
2021-02-10,16.5,15.2,19.0,2.0,249.0,27.1,1017.1
2021-02-11,16.0,11.0,22.0,0.0,234.0,11.6,1020.4
2021-02-12,16.4,14.0,20.0,0.1,262.0,19.7,1022.8
2021-02-13,14.9,8.0,19.8,0.0,187.0,10.2,1024.4
2021-02-14,12.5,4.7,18.0,0.3,124.0,13.6,1026.7
2021-02-15,15.3,14.6,18.3,0.0,96.0,27.9,1030.4
2021-02-16,14.7,13.0,16.9,0.0,79.0,16.7,1028.1
2021-02-17,13.2,9.3,16.7,0.0,85.0,5.8,1022.7
2021-02-18,12.2,8.7,19.7,0.3,200.0,9.0,1019.5
2021-02-19,10.1,7.3,17.0,0.3,147.0,7.9,1019.4
2021-02-20,15.0,14.0,17.0,0.0,122.0,7.5,1015.3
2021-02-21,12.6,11.0,15.9,4.1,237.0,15.7,1009.6
2021-02-22,12.7,9.0,17.7,6.9,262.0,15.9,1021.7
2021-02-23,12.2,5.9,17.2,0.0,142.0,17.2,1028.8
2021-02-24,15.1,13.0,17.8,0.0,103.0,27.3,1028.7
2021-02-25,15.8,14.8,17.6,0.0,87.0,18.0,1025.3
2021-02-26,15.2,14.6,16.2,5.6,99.0,27.0,1023.9
2021-02-27,14.9,14.0,16.5,0.0,96.0,28.6,1021.7
2021-02-28,14.4,12.6,15.3,3.8,97.0,28.7,1017.2
2021-03-01,14.2,12.0,16.0,46.7,92.0,26.5,1016.4
2021-03-02,14.8,11.9,17.5,21.6,111.0,14.0,1022.4
2021-03-03,15.6,14.7,17.7,0.3,108.0,23.3,1024.9
2021-03-04,15.1,14.2,16.0,0.8,95.0,24.5,1019.6
2021-03-05,14.8,12.4,19.4,7.9,97.0,9.0,1014.0
2021-03-06,15.2,13.0,19.4,50.3,95.0,15.5,1014.9
2021-03-07,15.2,13.0,19.5,13.7,272.0,13.5,1016.4
2021-03-08,14.8,12.0,18.6,0.0,262.0,15.7,1015.2
2021-03-09,13.2,7.9,20.0,0.0,265.0,10.6,1017.0
2021-03-10,12.7,7.8,18.0,0.0,158.0,9.8,1022.9
2021-03-11,14.0,6.9,19.3,0.0,183.0,9.4,1026.2
2021-03-12,16.7,11.6,21.0,0.0,247.0,19.5,1022.6
2021-03-13,15.9,12.0,21.0,0.0,248.0,13.9,1022.0
2021-03-14,14.2,9.0,20.0,0.0,143.0,15.1,1022.4
2021-03-15,15.1,11.8,18.5,0.0,72.0,13.9,1021.5
2021-03-16,16.1,14.5,19.0,0.0,93.0,22.7,1021.2
2021-03-17,15.4,14.4,17.4,0.0,93.0,28.5,1019.3
2021-03-18,15.0,11.6,18.9,0.0,93.0,15.7,1014.1
2021-03-19,14.8,11.7,18.7,0.0,96.0,16.2,1011.8
2021-03-20,10.8,9.0,16.3,14.5,148.0,16.1,1012.4
2021-03-21,12.2,7.0,17.0,4.9,105.0,11.9,1019.9
2021-03-22,13.6,6.7,21.2,0.0,223.0,15.2,1018.8
2021-03-23,13.9,7.5,21.0,0.0,174.0,12.1,1021.9
2021-03-24,15.1,10.0,22.3,0.0,172.0,12.4,1024.1
2021-03-25,14.1,8.2,19.9,0.0,164.0,12.3,1023.6
2021-03-26,13.7,8.1,19.9,0.0,162.0,8.3,1022.0
2021-03-27,14.6,7.9,19.4,0.0,103.0,12.2,1021.2
2021-03-28,16.2,15.4,17.0,0.0,92.0,24.8,1023.9
2021-03-29,16.1,15.4,17.1,0.0,93.0,22.1,1022.1
2021-03-30,16.3,15.3,18.3,0.0,78.0,16.5,1020.4
2021-03-31,16.0,15.0,16.7,0.0,90.0,22.3,1016.7
2021-04-01,16.9,13.0,21.0,0.0,70.0,8.1,1016.0
2021-04-02,17.9,13.1,22.3,0.0,285.0,17.4,1018.1
2021-04-03,17.1,13.0,22.6,0.0,256.0,18.3,1014.5
2021-04-04,17.5,12.9,23.4,0.0,243.0,15.0,1014.6
2021-04-05,16.4,12.9,19.7,0.0,76.0,15.3,1017.2
2021-04-06,15.8,12.9,20.4,0.0,70.0,7.9,1013.9
2021-04-07,16.7,10.4,25.6,0.0,155.0,14.6,1014.1
2021-04-08,15.5,14.0,17.0,6.8,104.0,28.8,1019.6
2021-04-09,15.1,14.7,16.0,3.8,93.0,18.4,1017.0
2021-04-10,16.6,13.5,20.5,0.0,89.0,8.4,1014.3
2021-04-11,16.8,10.8,23.9,0.0,215.0,11.2,1016.0
2021-04-12,16.7,11.5,22.8,0.0,125.0,18.1,1020.1
2021-04-13,16.2,15.9,17.2,0.3,89.0,23.6,1020.3
2021-04-14,15.4,15.0,16.1,22.4,90.0,20.0,1015.7
