time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,8.6,4.6,15.3,0.3,96.0,8.9,1015.8
2021-01-02,8.0,2.9,12.2,0.0,8.0,5.3,1020.5
2021-01-03,12.0,9.0,15.0,10.9,298.0,4.2,1017.6
2021-01-04,11.0,8.0,14.4,0.5,125.0,8.2,1010.8
2021-01-05,9.3,4.7,16.3,27.4,103.0,7.7,1013.9
2021-01-06,11.7,8.0,17.0,0.0,107.0,9.2,1018.4
2021-01-07,12.8,10.4,16.4,0.0,123.0,10.5,1015.2
2021-01-08,16.4,10.3,19.1,0.0,158.0,20.3,1009.5
2021-01-09,13.2,10.6,18.0,0.0,323.0,15.9,1010.8
2021-01-10,10.2,9.0,11.4,3.8,244.0,8.4,1015.6
2021-01-11,12.9,10.0,17.4,5.6,176.0,9.3,1012.0
2021-01-12,10.2,8.0,12.0,23.1,324.0,22.8,1008.0
2021-01-13,8.4,7.2,11.0,4.6,333.0,27.3,1008.2
2021-01-14,5.6,3.0,8.1,0.0,348.0,21.5,1011.0
2021-01-15,4.2,1.0,7.2,3.0,333.0,23.9,1015.4
2021-01-16,1.6,0.8,3.0,2.5,338.0,32.5,1014.0
2021-01-17,0.6,-1.0,3.3,9.9,336.0,30.7,1016.6
2021-01-18,0.2,-5.0,4.0,0.0,6.0,12.2,1022.0
2021-01-19,2.8,-0.2,7.0,0.0,331.0,26.5,1025.7
2021-01-20,1.9,-3.4,9.0,0.0,99.0,6.4,1026.8
2021-01-21,4.9,-1.0,10.0,0.0,104.0,5.5,1026.0
2021-01-22,8.2,3.8,13.0,0.0,82.0,5.1,1021.3
2021-01-23,11.9,7.0,15.4,0.0,134.0,12.9,1012.5
2021-01-24,12.2,4.7,16.0,0.3,125.0,13.7,1007.2
2021-01-25,12.7,9.0,16.6,0.8,173.0,14.1,1003.9
2021-01-26,9.8,5.0,16.0,0.0,77.0,26.4,1003.3
2021-01-27,5.1,4.0,7.0,0.0,329.0,48.6,1007.1
2021-01-28,3.7,-1.4,8.0,0.0,344.0,29.4,1014.0
2021-01-29,5.7,-1.6,11.1,0.0,34.0,6.0,1010.6
2021-01-30,8.7,5.0,14.0,4.1,316.0,16.5,1002.0
2021-01-31,8.5,3.0,15.6,0.0,252.0,6.9,1004.9
2021-02-01,12.3,8.8,17.0,2.3,123.0,12.4,1002.8
2021-02-02,10.6,8.0,15.9,0.0,274.0,6.3,1011.2
2021-02-03,9.7,4.6,16.0,0.0,76.0,5.4,1016.8
2021-02-04,9.5,5.0,15.6,0.0,121.0,6.6,1016.7
2021-02-05,10.8,6.0,16.2,0.0,97.0,7.0,1019.9
2021-02-06,11.2,8.0,14.4,0.0,311.0,7.0,1017.0
2021-02-07,10.6,7.9,12.0,0.0,335.0,5.8,1013.5
2021-02-08,12.4,9.6,17.0,0.0,285.0,8.6,1004.5
2021-02-09,13.2,8.2,19.0,5.3,131.0,14.3,1009.3
2021-02-10,11.0,6.8,18.0,0.0,112.0,12.8,1011.6
2021-02-11,14.1,8.6,19.0,,92.0,26.9,1006.1
2021-02-12,5.7,4.0,8.0,,337.0,31.2,1019.0
2021-02-13,0.1,-0.4,2.7,,334.0,29.3,1024.8
2021-02-14,-1.3,-2.6,-0.8,0.3,335.0,30.3,1025.1
2021-02-15,1.4,-1.0,5.0,0.0,338.0,17.3,1029.5
2021-02-16,2.5,0.0,6.0,0.0,341.0,15.4,1027.1
2021-02-17,1.4,-4.6,7.0,0.0,69.0,6.7,1023.6
2021-02-18,8.3,-1.1,14.0,0.0,321.0,18.6,1021.1
2021-02-19,4.7,-0.2,14.0,0.0,103.0,9.6,1026.8
2021-02-20,9.7,8.0,12.0,,285.0,6.9,1026.5
2021-02-21,5.3,5.0,13.1,,148.0,7.6,1030.2
2021-02-22,7.4,3.0,14.2,0.0,131.0,7.8,1031.3
2021-02-23,9.1,1.9,19.0,0.0,145.0,7.4,1031.0
2021-02-24,11.1,4.0,20.0,0.0,128.0,10.1,1032.0
