time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,9.7,5.9,13.0,0.0,214.0,26.3,1014.3
2021-01-02,9.3,6.0,12.3,0.5,227.0,21.2,1014.6
2021-01-03,7.9,5.0,12.0,10.9,221.0,17.1,1017.1
2021-01-04,5.9,0.0,13.3,0.0,156.0,7.3,1015.4
2021-01-05,6.6,0.0,13.0,0.0,64.0,5.9,1011.5
2021-01-06,8.6,7.0,11.2,4.1,335.0,4.4,1009.5
2021-01-07,12.4,7.8,20.0,1.0,323.0,6.3,1006.0
2021-01-08,13.4,11.0,17.7,6.1,330.0,6.4,1004.1
2021-01-09,12.3,9.0,14.0,5.1,211.0,16.0,1006.0
2021-01-10,9.2,5.0,14.0,1.0,200.0,12.6,1010.5
2021-01-11,7.2,2.4,10.1,0.0,201.0,11.4,1018.0
2021-01-12,8.8,5.0,13.4,4.1,218.0,9.9,1027.9
2021-01-13,7.6,2.6,14.0,0.5,107.0,7.5,1029.0
2021-01-14,8.4,0.7,15.3,0.0,196.0,9.6,1026.7
2021-01-15,10.2,7.0,16.0,0.0,220.0,12.4,1025.7
2021-01-16,9.6,4.0,14.2,0.0,238.0,8.5,1026.4
2021-01-17,8.0,1.6,17.3,0.0,64.0,5.6,1028.2
2021-01-18,8.5,3.0,16.2,0.0,41.0,5.5,1026.8
2021-01-19,8.7,2.0,16.6,0.0,41.0,4.7,1025.3
2021-01-20,13.1,3.6,21.0,0.0,193.0,15.2,1018.9
2021-01-21,14.1,10.4,20.3,0.8,204.0,16.1,1021.4
2021-01-22,15.8,10.0,22.0,0.0,235.0,25.1,1019.5
2021-01-23,13.4,9.8,18.0,0.5,240.0,17.6,1021.3
2021-01-24,15.9,12.4,21.2,0.0,215.0,21.1,1018.7
2021-01-25,15.6,12.1,21.0,0.0,228.0,14.8,1019.7
2021-01-26,16.3,14.4,18.1,0.0,249.0,11.3,1024.7
2021-01-27,17.1,12.0,22.3,0.0,272.0,6.5,1025.4
2021-01-28,16.1,9.0,24.4,0.0,47.0,5.6,1024.7
2021-01-29,16.8,9.7,26.0,0.0,71.0,6.9,1022.3
2021-01-30,17.4,12.5,20.4,0.0,245.0,19.6,1018.4
2021-01-31,15.1,12.8,17.5,0.0,252.0,22.4,1018.8
2021-02-01,16.7,12.0,21.0,0.0,236.0,17.4,1019.6
