time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.0,21.0,32.0,,347.0,8.9,1010.6
2021-01-02,26.2,22.0,32.0,1.1,301.0,6.1,1010.1
2021-01-03,27.0,23.0,32.0,2.6,355.0,8.2,1010.0
2021-01-04,25.8,21.0,31.0,1.0,349.0,7.3,1009.8
2021-01-05,24.5,19.0,32.0,0.0,346.0,6.3,1010.2
2021-01-06,24.4,19.0,31.0,0.5,13.0,4.4,1010.8
2021-01-07,25.5,20.0,32.0,0.1,318.0,5.4,1011.6
2021-01-08,26.4,21.0,33.0,0.1,341.0,8.5,1011.7
2021-01-09,26.0,24.0,30.0,3.9,288.0,12.3,1011.1
2021-01-10,26.3,23.0,31.0,7.5,290.0,8.6,1010.5
2021-01-11,27.0,23.0,32.0,3.0,356.0,7.9,1009.8
2021-01-12,27.0,24.0,32.0,2.0,19.0,8.9,1009.4
2021-01-13,26.2,23.0,31.0,0.6,350.0,5.2,1009.5
2021-01-14,26.5,22.0,31.0,0.2,286.0,8.6,1009.1
2021-01-15,25.4,21.0,31.0,0.4,343.0,6.5,1009.4
2021-01-16,25.8,21.0,31.0,0.0,327.0,5.9,1010.3
2021-01-17,25.8,21.0,31.0,0.3,319.0,6.9,1009.6
2021-01-18,26.1,21.0,31.0,0.7,347.0,13.1,1010.1
2021-01-19,26.8,22.0,33.0,0.4,11.0,11.3,1009.7
2021-01-20,26.6,21.0,32.0,0.0,4.0,12.2,1009.5
2021-01-21,26.3,21.0,32.0,0.7,12.0,12.2,1009.3
2021-01-22,25.9,22.0,31.0,1.0,347.0,6.8,1010.0
2021-01-23,26.1,24.0,30.0,0.5,328.0,14.0,1010.2
2021-01-24,26.8,22.0,33.0,0.0,331.0,9.7,1009.5
2021-01-25,27.0,22.0,32.0,0.6,345.0,12.5,1008.7
2021-01-26,27.3,23.0,33.0,0.3,342.0,10.2,1009.0
2021-01-27,26.3,22.0,32.0,1.2,348.0,5.4,1009.7
2021-01-28,26.5,22.0,33.0,0.0,356.0,13.1,1010.8
2021-01-29,27.0,23.0,31.0,0.6,353.0,18.0,1010.2
2021-01-30,26.3,22.0,31.0,0.0,350.0,15.8,1009.6
2021-01-31,26.4,21.0,33.0,0.5,307.0,7.7,1008.4
2021-02-01,27.3,22.0,33.0,0.4,324.0,10.9,1008.9
2021-02-02,27.8,23.0,33.0,0.9,348.0,15.2,1009.3
2021-02-03,27.8,23.0,32.0,1.1,20.0,16.7,1009.6
2021-02-04,27.7,23.0,33.0,0.8,348.0,12.0,1010.1
2021-02-05,28.2,25.0,32.1,1.6,291.0,10.8,1009.4
2021-02-06,27.1,22.0,34.0,0.5,304.0,9.2,1009.3
2021-02-07,27.0,23.0,32.0,0.2,303.0,8.3,1008.9
2021-02-08,26.9,22.0,32.0,1.8,338.0,10.5,1009.8
2021-02-09,27.2,23.0,33.0,0.2,341.0,10.8,1010.3
2021-02-10,25.8,20.0,31.0,1.2,310.0,6.6,1010.3
2021-02-11,27.2,22.0,34.0,0.4,325.0,8.8,1008.8
2021-02-12,25.8,20.0,31.0,0.1,311.0,7.0,1008.7
2021-02-13,25.9,19.0,32.0,0.0,306.0,8.7,1009.2
2021-02-14,26.6,20.0,33.0,0.0,287.0,8.0,1010.5
2021-02-15,26.9,21.0,33.0,2.6,288.0,10.4,1011.1
2021-02-16,27.1,22.0,33.0,1.0,311.0,5.3,1011.7
2021-02-17,26.8,21.0,33.0,0.3,340.0,8.9,1011.2
2021-02-18,26.1,20.0,33.0,0.8,344.0,6.1,1011.2
2021-02-19,25.6,21.0,32.0,0.6,299.0,8.1,1012.0
2021-02-20,26.2,23.0,33.0,0.6,286.0,6.8,1011.7
2021-02-21,26.9,22.0,33.0,0.8,348.0,15.9,1012.0
2021-02-22,26.6,20.0,33.0,0.3,336.0,13.0,1010.8
2021-02-23,26.8,21.0,32.0,1.0,308.0,8.8,1010.1
2021-02-24,28.1,23.0,34.0,0.5,331.0,12.9,1009.4
2021-02-25,28.8,25.0,33.0,0.1,343.0,17.1,1009.4
2021-02-26,28.5,24.0,36.0,0.2,332.0,10.9,1008.6
2021-02-27,27.5,24.0,32.0,0.2,17.0,16.0,1008.3
2021-02-28,28.2,24.0,33.0,0.0,339.0,10.9,1008.2
2021-03-01,27.1,21.0,35.0,0.5,348.0,8.6,1008.0
2021-03-02,26.8,21.0,33.0,0.1,346.0,11.3,1009.3
2021-03-03,26.8,22.0,33.0,0.0,307.0,9.0,1011.3
2021-03-04,26.1,21.0,32.0,0.0,348.0,9.2,1011.8
2021-03-05,25.4,20.0,31.0,0.0,347.0,8.7,1010.8
2021-03-06,25.9,19.0,33.0,0.0,341.0,7.8,1010.4
2021-03-07,27.3,23.0,31.0,0.8,284.0,13.6,1011.0
2021-03-08,26.6,24.0,31.0,1.6,312.0,9.5,1012.4
2021-03-09,27.6,24.0,34.0,0.0,352.0,15.1,1011.5
2021-03-10,27.3,22.0,32.0,0.6,1.0,15.2,1011.4
2021-03-11,27.1,21.0,33.0,0.9,320.0,8.7,1012.2
2021-03-12,26.1,21.0,34.0,1.2,358.0,9.3,1012.9
2021-03-13,26.5,20.0,33.0,0.5,354.0,12.8,1012.6
2021-03-14,26.8,21.0,33.0,0.6,3.0,11.5,1012.2
2021-03-15,26.1,20.0,32.0,0.5,355.0,10.4,1011.5
2021-03-16,26.7,21.0,33.0,1.3,328.0,9.3,1010.3
2021-03-17,27.3,24.0,32.0,2.0,280.0,10.2,1010.0
2021-03-18,26.0,24.0,30.0,4.7,300.0,7.3,1010.4
2021-03-19,26.3,22.0,31.0,2.5,10.0,10.8,1010.9
2021-03-20,26.9,22.0,33.0,0.8,4.0,13.8,1010.7
2021-03-21,27.2,23.0,33.0,0.9,340.0,13.9,1010.4
2021-03-22,26.8,21.0,33.0,0.4,354.0,8.9,1010.8
2021-03-23,26.2,20.0,34.0,0.0,331.0,7.7,1011.2
2021-03-24,26.6,21.0,33.0,0.8,14.0,8.2,1010.5
2021-03-25,27.3,20.0,34.0,0.6,341.0,7.9,1010.6
2021-03-26,28.0,24.0,34.0,1.0,355.0,11.5,1010.1
2021-03-27,27.6,22.0,33.0,0.2,344.0,12.3,1009.5
2021-03-28,28.1,22.0,34.0,0.1,296.0,9.2,1008.9
2021-03-29,27.7,25.1,31.6,0.8,345.0,8.4,1008.6
2021-03-30,28.3,24.0,33.0,1.2,341.0,7.6,1008.5
2021-03-31,29.1,24.0,35.0,1.9,346.0,9.0,1007.4
2021-04-01,28.8,25.0,34.0,2.0,354.0,13.2,1007.5
2021-04-02,28.3,25.0,32.0,1.8,346.0,13.9,1008.9
2021-04-03,28.2,26.0,32.0,0.4,323.0,15.6,1010.4
2021-04-04,26.3,24.0,31.0,1.9,345.0,10.6,1009.7
2021-04-05,26.7,22.0,31.0,0.6,341.0,10.5,1009.7
2021-04-06,27.9,24.0,33.0,1.8,305.0,10.9,1009.9
2021-04-07,27.4,25.0,31.0,5.0,272.0,7.5,1009.2
2021-04-08,26.7,24.0,30.0,15.6,126.0,7.9,1009.4
2021-04-09,25.1,24.0,29.0,8.8,17.0,5.6,1010.2
2021-04-10,25.7,22.0,30.0,0.7,65.0,6.7,1009.9
2021-04-11,27.3,23.0,32.0,1.1,240.0,8.4,1008.1
2021-04-12,27.6,23.0,33.0,2.3,308.0,7.3,1007.4
2021-04-13,27.9,24.0,32.0,6.5,320.0,6.5,1008.0
2021-04-14,28.8,24.0,34.0,9.3,16.0,10.8,1008.9
2021-04-15,27.1,24.0,33.0,3.3,310.0,6.0,1008.5
2021-04-16,25.7,24.0,28.0,9.8,316.0,6.2,1009.4
2021-04-17,25.9,25.0,28.0,8.1,302.0,5.3,1010.1
2021-04-18,26.2,24.0,31.0,4.7,263.0,8.5,1010.9
2021-04-19,26.2,23.0,30.0,2.8,8.0,6.6,1010.7
2021-04-20,27.3,24.0,32.0,3.5,327.0,5.0,1009.8
2021-04-21,26.7,23.0,31.0,2.4,301.0,7.1,1010.2
2021-04-22,27.1,22.0,33.0,1.6,324.0,6.4,1009.4
2021-04-23,26.8,23.0,32.0,1.6,336.0,5.6,1009.8
2021-04-24,27.1,22.0,31.0,1.5,328.0,6.0,1009.9
2021-04-25,28.1,24.0,33.0,0.7,321.0,7.1,1009.3
2021-04-26,27.4,23.0,32.0,0.3,306.0,11.8,1009.7
2021-04-27,27.4,23.0,32.0,0.0,359.0,10.5,1010.3
2021-04-28,26.2,22.0,30.0,0.2,5.0,6.2,1011.2
2021-04-29,25.9,21.0,31.0,1.1,334.0,6.2,1011.9
2021-04-30,25.6,22.0,31.0,4.6,328.0,6.6,1011.7
2021-05-01,26.0,24.0,29.0,13.4,286.0,6.0,1011.8
2021-05-02,26.2,24.0,30.0,8.3,94.0,7.1,1012.0
2021-05-03,26.1,23.1,29.0,7.2,112.0,8.2,1012.3
2021-05-04,25.6,24.0,29.0,11.5,52.0,7.7,1013.0
2021-05-05,25.8,22.0,30.0,3.1,2.0,4.9,1012.4
