time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.9,0.0,2.0,0.8,0.0,0.0,1008.6
2021-01-02,1.6,0.2,3.0,10.9,2.0,2.4,1003.3
2021-01-03,3.1,2.0,4.0,12.3,342.0,5.4,1008.6
2021-01-04,2.5,0.9,4.0,25.2,355.0,5.8,1010.3
2021-01-05,2.2,0.8,4.0,5.7,317.0,4.9,1009.1
2021-01-06,1.4,-2.2,5.0,0.1,244.0,3.5,1010.3
2021-01-07,-1.1,-4.7,4.0,0.0,288.0,2.8,1014.6
2021-01-08,-1.3,-5.5,6.0,0.0,260.0,4.4,1014.6
2021-01-09,-0.9,-3.7,4.0,0.0,315.0,2.6,1018.3
2021-01-10,-1.3,-4.3,4.0,0.0,315.0,3.3,1018.8
2021-01-11,-1.8,-4.6,4.0,0.0,308.0,2.9,1020.1
2021-01-12,-0.9,-4.9,4.0,0.0,242.0,4.4,1016.5
2021-01-13,2.9,-2.0,12.0,0.0,332.0,3.8,1014.1
2021-01-14,6.9,-0.8,19.0,0.0,293.0,14.8,1010.3
2021-01-15,2.9,-1.0,5.0,0.4,1.0,5.1,1017.4
2021-01-16,0.6,-3.0,8.0,0.0,359.0,4.2,1021.5
2021-01-17,-0.3,-2.6,4.0,0.1,335.0,3.0,1016.5
2021-01-18,-0.2,-4.0,7.0,0.0,289.0,4.4,1023.5
2021-01-19,0.5,-3.1,6.0,0.0,337.0,2.8,1024.1
2021-01-20,1.2,-2.6,7.0,0.0,275.0,3.9,1020.6
2021-01-21,2.0,-0.2,4.0,1.2,243.0,2.9,1015.2
2021-01-22,2.4,-0.3,5.0,10.8,232.0,3.1,1002.7
2021-01-23,4.0,-0.2,11.0,1.9,250.0,6.5,995.0
2021-01-24,2.5,-1.8,10.0,0.0,287.0,6.9,999.0
2021-01-25,1.7,-3.3,9.0,0.1,304.0,9.1,1003.2
2021-01-26,0.3,-4.7,8.0,0.0,271.0,6.4,1016.9
2021-01-27,0.8,-3.1,8.0,0.0,260.0,4.7,1017.6
2021-01-28,1.7,-2.6,9.0,1.3,282.0,3.5,1013.5
2021-01-29,5.2,-1.3,15.0,0.4,346.0,7.8,1005.8
2021-01-30,5.7,-0.4,11.0,5.5,320.0,5.6,1000.8
2021-01-31,6.0,2.9,12.0,0.5,230.0,5.3,997.3
2021-02-01,5.8,3.5,9.0,1.4,32.0,5.2,1000.7
2021-02-02,4.3,-0.1,9.0,0.0,278.0,3.5,1011.1
2021-02-03,5.0,2.6,8.0,0.4,338.0,2.1,1014.3
2021-02-04,6.0,3.2,9.0,0.0,211.0,4.7,1017.0
