time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.0,-1.5,4.5,0.0,44.0,7.5,1010.5
2021-01-02,0.2,-3.5,4.3,0.0,318.0,6.6,1015.4
2021-01-03,2.1,1.7,3.4,0.0,48.0,5.8,1013.7
2021-01-04,1.6,0.7,2.4,0.8,41.0,7.7,1012.7
2021-01-05,2.1,1.3,3.1,0.5,15.0,8.0,1014.4
2021-01-06,2.6,1.6,3.8,0.5,348.0,6.1,1016.9
2021-01-07,2.5,0.7,5.1,0.0,303.0,7.3,1018.3
2021-01-08,-1.2,-2.6,2.6,0.0,220.0,5.8,1019.5
2021-01-09,-0.2,-2.8,2.1,0.0,45.0,14.6,1021.3
2021-01-10,0.9,-0.8,4.0,0.0,30.0,14.1,1024.3
2021-01-11,0.4,-3.0,2.7,0.0,277.0,9.3,1026.1
2021-01-12,7.1,1.9,10.1,0.0,244.0,21.1,1021.6
2021-01-13,9.3,8.6,10.2,0.3,270.0,18.2,1024.0
2021-01-14,7.9,0.0,11.0,0.0,256.0,20.7,1021.4
2021-01-15,3.6,-1.5,9.7,2.5,341.0,15.0,1026.9
2021-01-16,0.9,-3.4,6.8,0.0,190.0,10.0,1026.9
2021-01-17,5.8,3.7,8.4,5.3,291.0,9.4,1026.0
2021-01-18,3.9,-1.6,8.5,0.0,223.0,7.3,1028.6
2021-01-19,5.4,1.4,9.3,0.0,200.0,14.8,1018.2
2021-01-20,9.6,6.5,11.6,0.0,186.0,26.5,1001.1
2021-01-21,9.6,7.4,11.5,3.3,208.0,29.0,995.6
2021-01-22,6.1,3.9,11.0,36.6,292.0,13.8,996.6
2021-01-23,3.9,0.9,6.5,0.5,238.0,14.7,997.8
2021-01-24,1.7,-3.5,7.2,7.6,230.0,11.0,1002.8
2021-01-25,2.4,-0.3,6.5,3.3,286.0,11.7,1010.9
2021-01-26,0.4,-2.3,3.5,0.0,168.0,7.3,1022.6
2021-01-27,6.7,1.0,10.3,3.3,217.0,11.7,1017.3
2021-01-28,12.0,9.6,13.6,6.4,239.0,22.5,1012.2
2021-01-29,11.1,9.0,13.4,9.1,247.0,23.7,1009.2
2021-01-30,9.7,8.9,12.5,6.6,207.0,20.5,998.8
2021-01-31,9.8,8.8,11.3,2.3,217.0,12.0,995.9
2021-02-01,10.0,9.6,12.5,2.8,260.0,15.3,997.4
2021-02-02,11.9,2.0,14.4,7.9,220.0,23.2,1004.9
2021-02-03,11.0,8.1,13.3,7.1,217.0,24.7,1004.0
2021-02-04,8.5,5.0,12.5,1.0,142.0,9.3,1011.3
2021-02-05,9.2,7.9,11.5,2.0,151.0,7.0,1011.3
2021-02-06,7.9,6.8,9.2,11.9,12.0,11.6,1003.7
2021-02-07,4.2,2.3,8.0,9.9,282.0,14.7,1001.3
2021-02-08,1.8,1.0,4.3,0.5,336.0,7.9,999.0
2021-02-09,1.2,0.1,2.1,0.0,70.0,15.9,1000.4
2021-02-10,-1.2,-5.0,1.6,8.4,39.0,14.8,1008.0
2021-02-11,-2.8,-5.2,0.0,,68.0,21.4,1020.9
2021-02-12,-2.3,-3.3,-0.9,,55.0,21.8,1021.5
2021-02-13,-2.1,-5.9,0.1,,60.0,14.3,1029.4
2021-02-14,-0.1,-4.4,5.5,0.0,103.0,14.6,1030.1
2021-02-15,8.4,1.9,11.4,0.0,185.0,18.0,1026.5
2021-02-16,8.5,3.7,12.6,0.0,186.0,15.0,1019.6
2021-02-17,10.2,7.9,13.7,0.0,185.0,16.1,1019.7
2021-02-18,8.5,1.0,11.3,0.0,188.0,15.7,1011.5
2021-02-19,7.7,4.6,16.0,5.3,165.0,13.8,1014.5
2021-02-20,13.0,9.0,18.0,,151.0,18.6,1009.3
2021-02-21,14.1,6.3,18.1,0.0,137.0,13.3,1009.7
2021-02-22,12.1,8.8,15.4,0.0,148.0,9.6,1017.1
2021-02-23,13.2,9.7,18.7,1.3,181.0,15.5,1029.2
2021-02-24,13.1,7.9,19.4,0.0,159.0,12.5,1029.1
2021-02-25,11.7,7.5,16.2,0.0,199.0,10.2,1027.9
2021-02-26,9.7,7.1,13.0,0.0,17.0,12.0,1034.7
2021-02-27,6.5,3.0,11.0,0.0,35.0,15.7,1036.1
2021-02-28,7.3,2.1,10.3,,54.0,17.6,1030.3
2021-03-01,8.5,2.5,15.3,0.0,64.0,13.3,1026.7
2021-03-02,10.1,3.5,17.1,0.0,121.0,10.5,1027.3
2021-03-03,11.2,5.4,17.3,0.0,172.0,6.6,1028.4
2021-03-04,8.8,5.9,13.5,0.0,301.0,7.7,1023.6
2021-03-05,5.6,3.3,11.0,0.0,36.0,15.6,1025.4
2021-03-06,4.3,-0.3,9.3,0.0,48.0,16.1,1027.2
2021-03-07,5.2,0.9,10.0,0.0,41.0,10.5,1023.4
2021-03-08,3.7,-0.3,8.4,0.0,29.0,11.6,1022.0
2021-03-09,4.2,-1.7,11.2,0.0,341.0,6.0,1022.2
2021-03-10,5.2,-2.2,10.6,0.0,197.0,14.2,1019.5
2021-03-11,10.8,7.3,13.5,2.3,236.0,28.9,1011.7
2021-03-12,8.1,2.0,12.5,4.8,230.0,23.8,1015.6
2021-03-13,8.6,5.4,12.4,2.0,244.0,30.2,1009.7
2021-03-14,6.9,2.5,11.4,3.3,274.0,15.6,1020.6
2021-03-15,9.0,5.5,12.2,0.3,288.0,17.2,1023.3
2021-03-16,8.1,3.3,13.1,0.5,297.0,12.4,1028.9
2021-03-17,8.1,4.4,11.6,0.3,341.0,16.5,1030.4
2021-03-18,5.9,2.6,8.9,0.0,347.0,12.4,1027.2
2021-03-19,6.2,4.8,9.2,0.8,17.0,17.2,1021.9
2021-03-20,5.6,1.0,10.4,0.0,16.0,13.4,1028.8
2021-03-21,5.3,0.5,10.2,0.0,330.0,9.5,1027.2
2021-03-22,5.3,0.6,11.1,0.0,12.0,10.0,1026.9
2021-03-23,6.9,-0.5,15.4,0.0,84.0,8.4,1026.2
2021-03-24,9.3,0.8,17.6,,263.0,7.3,1023.8
2021-03-25,10.2,7.4,15.5,0.0,248.0,11.0,1023.4
2021-03-26,8.6,1.9,16.3,0.0,214.0,15.5,1019.8
2021-03-27,8.0,3.5,12.8,,232.0,12.8,1028.2
2021-03-28,9.8,0.8,18.2,0.0,,,
2021-03-29,13.1,2.6,23.1,0.0,114.0,7.5,1029.8
2021-03-30,15.3,6.8,24.3,0.0,106.0,8.3,1027.4
2021-03-31,16.4,7.4,25.3,0.0,125.0,7.0,1021.6
2021-04-01,17.0,9.5,24.5,,66.0,10.5,1018.2
2021-04-02,12.6,8.9,21.1,0.0,44.0,21.3,1020.3
2021-04-03,7.2,3.2,12.6,0.0,39.0,21.0,1025.0
2021-04-04,8.3,2.7,14.5,0.0,32.0,13.7,1024.2
2021-04-05,6.3,1.0,12.6,0.0,310.0,11.4,1018.9
2021-04-06,3.9,-1.8,8.0,,336.0,10.3,1021.3
2021-04-07,4.8,-1.1,10.8,,305.0,7.9,1025.3
2021-04-08,6.9,-1.3,14.3,0.0,125.0,6.3,1024.0
2021-04-09,10.6,2.6,19.3,0.0,166.0,11.5,1015.3
2021-04-10,12.2,9.2,17.3,0.0,202.0,16.5,1011.0
2021-04-11,6.8,5.7,13.6,2.0,352.0,12.4,1015.1
2021-04-12,6.3,-0.2,11.6,,330.0,9.5,1029.6
2021-04-13,5.9,1.5,11.4,0.0,36.0,12.8,1031.2
2021-04-14,6.9,1.6,12.1,0.0,46.0,17.5,1029.0
2021-04-15,6.3,1.5,11.5,0.0,43.0,16.5,1027.7
2021-04-16,6.7,2.1,11.0,0.0,30.0,15.0,1026.3
2021-04-17,9.2,6.3,13.5,0.0,12.0,13.8,1024.7
2021-04-18,8.7,1.8,14.3,,7.0,8.0,1023.2
2021-04-19,10.9,2.3,18.6,0.0,54.0,5.3,1020.5
2021-04-20,11.8,6.0,18.0,0.0,50.0,8.7,1015.8
2021-04-21,12.5,3.9,19.2,,57.0,11.2,1015.5
2021-04-22,13.4,7.3,20.2,0.0,57.0,19.6,1019.5
2021-04-23,13.6,5.7,21.5,,66.0,19.7,1022.5
2021-04-24,14.7,6.7,22.5,,57.0,19.1,1019.8
2021-04-25,14.1,7.6,20.7,0.0,56.0,25.4,1017.7
2021-04-26,12.8,7.1,19.5,0.0,47.0,23.7,1012.4
2021-04-27,13.2,6.2,20.1,0.0,35.0,10.6,1007.3
2021-04-28,11.4,4.6,18.5,,295.0,9.4,1003.9
2021-04-29,10.0,4.8,14.4,0.0,323.0,8.3,1009.4
2021-04-30,8.9,6.9,15.1,0.0,52.0,8.0,1012.4
2021-05-01,9.1,4.5,14.1,3.0,20.0,9.1,1014.2
2021-05-02,8.3,1.7,14.5,,343.0,5.2,1020.9
2021-05-03,10.9,2.3,18.2,,183.0,13.8,1020.8
2021-05-04,10.0,8.4,15.6,0.0,251.0,18.4,1011.8
2021-05-05,9.2,3.7,13.3,,264.0,15.4,1014.3
2021-05-06,11.4,7.1,17.2,6.1,222.0,21.8,1008.8
2021-05-07,11.3,5.2,16.5,8.4,235.0,8.7,1016.9
2021-05-08,16.7,11.5,23.5,,181.0,13.9,1012.4
2021-05-09,18.3,14.5,24.2,0.0,173.0,17.2,1001.3
2021-05-10,14.5,11.3,19.2,15.5,217.0,19.4,1005.9
2021-05-11,10.1,0.0,17.1,0.8,231.0,12.3,1011.3
2021-05-12,11.2,7.3,16.3,3.6,166.0,13.9,1011.6
2021-05-13,10.5,5.0,16.1,5.8,237.0,15.3,1009.2
2021-05-14,10.3,3.0,14.0,0.0,244.0,15.3,1011.1
2021-05-15,12.3,9.5,16.3,6.1,223.0,19.6,1007.2
2021-05-16,11.7,10.1,17.6,5.8,227.0,21.8,1005.9
2021-05-17,11.7,10.1,17.8,4.3,250.0,22.1,1011.9
2021-05-18,11.9,8.2,17.4,4.3,247.0,12.0,1018.0
2021-05-19,10.1,3.0,16.3,0.0,250.0,13.5,1021.8
2021-05-20,12.5,5.9,17.7,,203.0,14.1,1021.5
2021-05-21,13.3,11.0,18.0,0.0,236.0,23.9,1011.8
2021-05-22,11.3,3.0,15.3,,234.0,20.3,1011.8
2021-05-23,12.6,6.9,18.1,1.0,216.0,17.5,1016.2
2021-05-24,10.3,8.3,16.5,3.3,228.0,23.9,1012.1
2021-05-25,11.5,6.6,16.4,,245.0,18.7,1021.5
2021-05-26,12.6,10.9,15.7,0.0,255.0,17.8,1018.7
2021-05-27,14.2,11.4,18.5,,354.0,7.3,1020.3
2021-05-28,16.5,8.6,22.5,0.0,63.0,13.4,1020.0
2021-05-29,17.3,12.0,22.4,0.0,42.0,11.8,1021.7
2021-05-30,17.6,12.0,22.6,0.0,47.0,14.0,1021.7
2021-05-31,18.0,11.9,24.6,,55.0,13.5,1017.0
2021-06-01,20.4,11.0,28.3,0.0,77.0,9.8,1010.9
2021-06-02,19.2,9.0,26.2,0.0,190.0,13.5,1013.1
2021-06-03,20.2,13.4,27.6,1.5,160.0,6.6,1018.6
2021-06-04,14.6,9.0,23.6,40.4,279.0,10.8,1021.2
2021-06-05,16.5,11.5,21.5,,315.0,8.5,1025.4
2021-06-06,17.3,11.6,22.5,,19.0,7.4,1024.5
2021-06-07,18.7,13.5,24.1,,15.0,5.7,1023.1
2021-06-08,20.0,13.6,26.0,0.0,46.0,7.3,1022.8
2021-06-09,21.0,12.4,27.2,0.0,83.0,5.2,1022.3
2021-06-10,21.9,16.0,27.7,0.0,17.0,7.3,1021.1
2021-06-11,22.1,16.6,27.4,2.3,34.0,9.1,1020.4
2021-06-12,22.5,16.4,27.4,,6.0,8.1,1022.5
2021-06-13,21.0,14.9,26.6,0.0,58.0,14.6,1024.1
2021-06-14,22.7,14.6,29.3,0.0,23.0,8.0,1020.1
2021-06-15,23.7,16.5,29.4,0.0,7.0,7.1,1018.7
2021-06-16,24.5,16.2,30.6,,113.0,8.9,1011.8
2021-06-17,20.2,17.4,28.1,16.0,152.0,11.9,1010.5
2021-06-18,20.0,17.3,24.0,,186.0,16.8,1012.0
2021-06-19,19.7,16.0,26.6,1.8,66.0,9.9,1012.6
2021-06-20,18.9,14.5,24.6,3.8,143.0,11.4,1007.7
2021-06-21,17.3,13.7,24.0,3.3,216.0,8.0,1008.0
2021-06-22,16.6,13.0,21.6,11.7,275.0,6.2,1012.9
2021-06-23,14.7,13.1,18.0,33.0,13.0,11.4,1020.0
2021-06-24,16.9,12.9,21.7,,334.0,8.8,1022.2
2021-06-25,17.3,11.2,22.2,0.0,271.0,8.9,1020.7
2021-06-26,18.6,14.7,23.0,0.5,51.0,6.3,1016.1
2021-06-27,17.2,15.4,22.7,7.9,181.0,8.9,1012.8
2021-06-28,16.2,13.4,20.1,18.3,184.0,10.0,1014.3
2021-06-29,16.5,11.5,21.4,2.3,258.0,7.7,1014.5
2021-06-30,17.0,12.8,21.8,0.8,278.0,9.0,1017.3
2021-07-01,19.3,11.6,26.0,0.3,302.0,4.7,1018.6
2021-07-02,21.0,13.3,27.0,0.0,181.0,8.1,1016.6
2021-07-03,19.0,15.6,24.0,0.3,239.0,10.1,1015.3
2021-07-04,18.2,15.4,23.7,2.8,230.0,15.6,1012.7
2021-07-05,19.2,15.3,23.5,10.4,208.0,16.9,1009.0
2021-07-06,18.4,14.4,23.3,1.5,227.0,21.2,1009.5
2021-07-07,18.0,14.6,23.4,0.0,235.0,13.1,1015.9
2021-07-08,17.0,11.9,21.0,,258.0,9.4,1022.5
2021-07-09,17.3,12.4,23.0,0.0,263.0,8.9,1023.3
2021-07-10,15.9,11.8,20.6,0.0,259.0,6.9,1018.0
2021-07-11,18.4,14.6,23.2,3.0,165.0,8.3,1016.2
2021-07-12,17.7,15.6,22.7,3.3,252.0,13.1,1010.8
2021-07-13,16.2,13.5,19.2,4.6,295.0,13.6,1013.9
2021-07-14,18.9,14.8,24.5,9.9,299.0,14.4,1018.0
2021-07-15,19.5,12.9,26.0,0.3,309.0,11.9,1020.8
2021-07-16,17.7,14.0,24.7,0.0,354.0,10.3,1023.5
2021-07-17,19.3,12.8,26.2,0.3,52.0,10.5,1024.4
2021-07-18,23.4,15.9,30.5,0.0,35.0,13.6,1021.3
2021-07-19,25.1,19.0,31.5,0.0,54.0,17.4,1018.4
2021-07-20,23.9,17.3,30.4,0.0,65.0,15.5,1018.0
2021-07-21,23.7,16.6,30.1,0.0,68.0,13.4,1020.4
2021-07-22,23.6,17.6,30.0,0.0,74.0,13.3,1019.5
2021-07-23,23.6,17.6,30.5,,80.0,17.6,1011.5
2021-07-24,19.9,15.9,26.5,0.0,214.0,16.1,1009.6
2021-07-25,18.8,16.9,24.5,2.3,237.0,15.7,1008.9
2021-07-26,19.8,16.3,25.7,,258.0,12.1,1013.4
2021-07-27,18.1,16.3,23.7,0.3,212.0,12.6,1013.7
2021-07-28,18.6,14.5,24.1,4.6,241.0,16.5,1015.0
2021-07-29,18.6,12.7,24.4,0.0,250.0,10.3,1015.6
2021-07-30,18.3,13.5,23.7,0.0,246.0,15.2,1012.5
2021-07-31,17.5,13.6,22.0,0.0,262.0,11.2,1013.8
2021-08-01,17.8,13.5,23.5,0.0,275.0,10.8,1013.9
