time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,25.7,23.5,29.7,9.9,9.0,4.5,1010.3
2021-01-03,25.0,22.3,28.2,8.3,31.0,5.4,1010.1
2021-01-04,25.3,22.5,28.5,3.0,107.0,3.4,1010.5
2021-01-05,25.7,23.2,29.2,1.8,62.0,4.6,1010.4
2021-01-06,26.8,23.0,31.1,0.7,55.0,5.4,1009.9
2021-01-07,27.2,24.0,31.4,1.0,25.0,4.3,1010.3
2021-01-08,26.2,23.8,29.6,3.1,31.0,6.2,1010.6
2021-01-09,26.0,23.0,29.9,9.0,7.0,5.3,1010.5
2021-01-10,25.8,22.6,30.0,20.5,348.0,3.8,1011.5
2021-01-11,25.8,23.1,29.2,8.4,61.0,4.5,1011.4
2021-01-12,25.6,22.9,29.3,5.1,21.0,3.7,1011.4
2021-01-13,24.8,22.4,27.8,9.2,16.0,5.1,1010.9
2021-01-14,25.0,22.7,29.4,16.5,26.0,5.4,1010.1
2021-01-15,26.8,23.2,30.9,0.9,62.0,5.6,1009.3
2021-01-16,26.7,23.8,30.2,1.0,68.0,3.5,1009.0
2021-01-17,26.7,23.8,31.3,22.4,90.0,3.3,1008.9
2021-01-18,24.6,22.7,27.8,35.4,46.0,5.0,1010.3
2021-01-19,25.0,22.8,28.6,13.9,70.0,4.3,1010.5
2021-01-20,24.0,22.6,26.8,98.4,88.0,4.7,1011.1
2021-01-21,25.1,22.8,27.8,8.4,72.0,5.3,1011.1
2021-01-22,25.6,22.8,30.0,10.7,52.0,4.8,1011.9
2021-01-23,25.9,23.2,29.5,2.5,101.0,5.1,1011.1
2021-01-24,26.3,23.1,30.5,13.5,46.0,6.6,1010.2
2021-01-25,25.7,22.9,30.8,11.6,19.0,5.9,1010.0
2021-01-26,25.5,23.1,28.8,9.9,31.0,5.3,1010.1
2021-01-27,25.1,22.8,29.3,7.4,25.0,4.8,1010.3
2021-01-28,24.4,22.9,26.9,13.4,8.0,3.9,1010.5
2021-01-29,25.8,23.7,28.7,6.2,67.0,5.3,1009.9
2021-01-30,26.2,23.3,29.7,5.0,65.0,4.5,1010.8
2021-01-31,25.6,22.9,28.0,0.9,71.0,4.2,1010.9
2021-02-01,26.4,23.3,30.2,2.4,34.0,4.6,1009.8
2021-02-02,26.9,23.8,30.9,2.3,45.0,6.5,1010.1
2021-02-03,27.6,23.5,31.7,0.1,44.0,5.5,1010.5
2021-02-04,27.6,23.3,31.5,0.2,19.0,6.1,1010.7
2021-02-05,27.7,23.9,32.0,0.2,22.0,8.2,1010.0
2021-02-06,27.7,23.8,31.6,0.0,21.0,7.1,1010.6
2021-02-07,27.9,24.4,31.4,0.4,40.0,4.4,1010.7
2021-02-08,27.5,24.4,31.7,7.2,10.0,8.6,1010.0
2021-02-09,25.4,23.2,28.1,13.5,51.0,3.1,1010.4
2021-02-10,25.8,23.2,29.5,13.6,59.0,4.5,1010.5
2021-02-11,25.5,23.0,29.4,15.6,71.0,3.4,1010.2
2021-02-12,25.4,23.3,29.1,16.2,65.0,5.3,1010.0
2021-02-13,25.7,23.2,28.9,14.7,78.0,4.5,1010.3
2021-02-14,25.4,23.3,28.4,21.4,39.0,5.7,1010.2
2021-02-15,24.5,23.5,27.3,21.2,5.0,3.8,1011.5
2021-02-16,24.1,22.8,26.1,5.8,316.0,5.5,1011.8
2021-02-17,25.5,22.7,29.8,7.9,349.0,5.7,1011.0
2021-02-18,24.9,22.7,28.2,7.3,347.0,6.5,1011.8
2021-02-19,25.0,23.0,28.9,11.1,21.0,6.4,1011.9
2021-02-20,25.5,22.8,29.3,2.2,32.0,6.3,1012.2
2021-02-21,25.2,22.6,29.4,16.2,34.0,3.7,1011.7
2021-02-22,24.3,22.9,26.6,30.3,63.0,5.5,1012.3
2021-02-23,25.3,21.9,29.5,5.5,93.0,4.5,1011.9
2021-02-24,25.9,23.3,29.5,17.4,64.0,5.2,1011.5
2021-02-25,25.6,23.0,29.6,19.1,32.0,4.3,1010.3
2021-02-26,24.7,22.5,27.1,14.3,32.0,6.2,1010.0
2021-02-27,24.9,22.9,27.7,16.7,64.0,4.7,1010.0
2021-02-28,25.2,22.7,29.5,23.8,54.0,4.3,1008.5
2021-03-01,24.2,22.9,26.6,90.7,23.0,3.3,1008.5
2021-03-02,24.7,22.7,29.2,12.0,76.0,4.0,1009.9
2021-03-03,24.8,22.6,27.5,2.9,69.0,5.1,1012.4
2021-03-04,25.0,22.6,28.5,10.8,74.0,4.0,1012.3
2021-03-05,25.6,23.1,29.8,9.7,59.0,4.5,1010.5
