time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,29.8,24.6,35.6,,,,
2021-01-02,29.1,24.2,34.8,0.0,198.0,20.5,1012.3
2021-01-03,30.0,24.5,34.3,0.0,241.0,15.3,1009.9
2021-01-04,30.0,25.8,34.0,1.5,331.0,16.3,1008.4
2021-01-05,30.2,25.8,35.0,0.2,321.0,17.2,1009.4
2021-01-06,28.9,23.9,35.0,0.0,291.0,14.3,1010.3
2021-01-07,28.8,24.7,32.8,0.0,190.0,14.2,1009.5
2021-01-08,28.7,24.5,32.8,0.0,204.0,13.7,1007.1
2021-01-09,29.7,24.5,33.7,0.0,199.0,16.5,1005.6
2021-01-10,31.0,26.6,33.7,1.9,339.0,12.9,1006.9
2021-01-11,29.7,25.5,33.6,0.6,287.0,12.2,1009.1
2021-01-12,30.1,26.0,34.0,0.1,292.0,12.7,1010.1
2021-01-13,30.8,27.7,34.0,0.0,254.0,12.8,1009.8
2021-01-14,28.9,23.3,33.6,0.0,185.0,16.6,1009.0
2021-01-15,30.3,24.7,33.7,0.0,207.0,13.2,1008.0
2021-01-16,29.7,25.0,33.8,0.1,300.0,14.2,1007.6
2021-01-17,30.3,25.7,34.0,19.7,286.0,11.2,1008.1
2021-01-18,30.7,26.7,34.0,0.8,251.0,13.9,1008.0
2021-01-19,30.9,26.6,34.3,0.2,165.0,20.2,1007.7
2021-01-20,31.4,27.0,36.0,0.0,152.0,20.9,1007.8
2021-01-21,32.1,28.6,38.0,0.1,151.0,16.1,1007.8
2021-01-22,29.8,24.6,38.0,7.1,301.0,10.8,1011.2
2021-01-23,30.8,25.6,35.6,0.0,137.0,13.8,1011.1
2021-01-24,29.8,26.8,35.6,0.8,281.0,13.2,1010.6
2021-01-25,30.6,26.3,33.7,0.0,245.0,14.6,1010.8
2021-01-26,29.3,25.6,32.9,0.0,173.0,19.1,1010.6
2021-01-27,28.9,24.1,32.8,0.0,242.0,12.5,1008.7
2021-01-28,28.8,24.2,32.9,0.0,284.0,14.3,1009.4
2021-01-29,29.1,24.1,32.8,0.0,272.0,11.1,1010.2
2021-01-30,28.7,24.2,35.2,10.3,326.0,16.6,1010.3
2021-01-31,29.2,24.7,35.2,2.9,1.0,10.4,1011.3
2021-02-01,29.7,25.1,34.2,0.1,286.0,12.3,1013.1
2021-02-02,30.9,25.9,35.7,0.2,176.0,16.9,1013.7
2021-02-03,30.5,26.9,35.7,0.0,202.0,14.6,1011.3
2021-02-04,29.9,26.8,33.8,0.0,301.0,11.2,1010.0
2021-02-05,29.8,15.9,34.1,0.0,288.0,15.0,1010.4
2021-02-06,30.7,26.1,38.4,6.3,242.0,10.3,1008.6
2021-02-07,29.4,25.4,33.3,5.5,359.0,11.0,1007.1
2021-02-08,27.9,25.1,33.3,12.0,14.0,9.4,1008.8
2021-02-09,26.5,24.7,32.1,17.8,96.0,7.8,1010.1
2021-02-10,24.8,24.3,31.4,4.1,84.0,12.6,1008.9
2021-02-11,26.8,25.6,29.0,8.6,67.0,18.8,1007.8
2021-02-12,27.5,25.0,29.9,1.5,67.0,16.5,1008.7
2021-02-13,27.9,25.9,31.8,6.3,76.0,16.0,1009.8
2021-02-14,29.1,25.6,34.9,0.9,60.0,12.4,1010.2
2021-02-15,28.3,24.7,34.9,1.0,51.0,14.6,1008.1
2021-02-16,28.2,25.3,32.2,0.0,71.0,11.6,1005.6
2021-02-17,28.7,25.6,32.1,2.5,13.0,17.4,1006.9
2021-02-18,30.6,24.8,37.8,0.0,81.0,11.8,1009.0
2021-02-19,28.5,24.5,37.0,0.0,74.0,10.9,1010.7
2021-02-20,28.4,26.0,29.8,0.0,330.0,9.5,1010.2
2021-02-21,28.0,25.4,29.8,0.0,308.0,9.2,1010.6
2021-02-22,30.1,25.8,33.1,0.0,157.0,19.4,1012.1
2021-02-23,30.7,26.9,37.4,0.0,151.0,21.0,1010.7
2021-02-24,29.4,25.5,37.4,2.2,347.0,14.2,1009.8
2021-02-25,28.2,24.8,33.5,3.1,340.0,9.1,1009.3
2021-02-26,28.6,24.4,31.7,1.1,318.0,12.8,1008.8
2021-02-27,29.3,15.7,32.3,0.2,162.0,15.8,1008.3
2021-02-28,28.9,25.2,32.8,3.8,156.0,16.9,1008.4
2021-03-01,29.3,25.4,37.6,1.3,125.0,15.0,1008.9
2021-03-02,27.7,25.0,37.6,0.1,72.0,10.6,1009.7
2021-03-03,28.9,24.7,34.3,0.0,249.0,11.3,1008.5
2021-03-04,27.8,23.0,33.0,3.4,314.0,10.6,1007.3
2021-03-05,28.5,23.7,31.7,1.1,264.0,13.2,1007.2
2021-03-06,28.2,24.0,32.6,0.1,177.0,20.7,1007.6
2021-03-07,27.9,22.0,32.6,0.0,164.0,19.2,1009.0
2021-03-08,27.3,21.1,31.6,0.0,160.0,16.7,1008.6
2021-03-09,27.3,22.2,31.8,0.0,319.0,11.7,1010.5
2021-03-10,26.4,22.5,31.3,0.3,292.0,15.5,1011.4
2021-03-11,28.2,22.5,32.9,0.0,179.0,12.0,1011.3
2021-03-12,27.8,24.0,34.2,0.0,176.0,13.2,1012.2
2021-03-13,28.6,23.2,34.5,0.0,150.0,12.9,1011.7
2021-03-14,29.0,23.3,34.5,0.2,131.0,18.1,1011.6
2021-03-15,28.3,24.4,35.2,0.0,163.0,16.1,1010.3
2021-03-16,28.4,24.3,33.5,0.0,255.0,9.8,1010.7
2021-03-17,28.9,22.2,32.3,0.0,195.0,10.6,1010.6
2021-03-18,27.2,23.4,32.3,0.1,292.0,19.1,1010.6
2021-03-19,27.9,23.3,32.2,0.0,188.0,11.8,1010.8
2021-03-20,27.9,22.9,32.2,0.6,200.0,8.4,1010.5
2021-03-21,27.8,23.0,32.1,1.1,272.0,9.0,1009.9
2021-03-22,28.3,23.5,32.2,152.1,171.0,9.9,1010.5
2021-03-23,27.7,23.5,32.2,0.0,161.0,17.4,1012.4
2021-03-24,27.5,24.0,31.6,0.0,177.0,20.2,1011.5
2021-03-25,26.4,20.7,31.6,0.0,165.0,21.4,1008.9
2021-03-26,26.6,21.2,31.1,0.0,189.0,12.8,1008.4
2021-03-27,26.7,21.7,30.7,0.4,268.0,11.0,1009.4
2021-03-28,27.1,22.2,30.7,8.3,245.0,10.1,1011.0
2021-03-29,26.2,22.6,30.7,13.0,180.0,16.8,1012.9
2021-03-30,25.5,19.3,30.4,0.0,160.0,21.1,1013.3
2021-03-31,22.8,19.2,31.6,0.0,157.0,23.4,1014.9
2021-04-01,26.3,20.6,31.9,0.0,154.0,19.9,1015.2
2021-04-02,28.2,22.4,35.4,0.0,160.0,15.4,1014.6
2021-04-03,26.9,20.3,35.4,0.0,268.0,12.2,1014.3
2021-04-04,26.2,23.4,30.9,5.1,234.0,12.4,1013.4
2021-04-05,25.0,20.6,29.6,6.1,250.0,14.8,1012.8
2021-04-06,24.5,18.6,28.7,0.0,156.0,19.4,1014.7
2021-04-07,26.4,20.2,34.1,0.0,145.0,21.7,1015.9
2021-04-08,26.9,22.7,34.1,0.0,154.0,13.7,1014.8
2021-04-09,25.9,21.7,31.3,0.0,178.0,12.9,1012.2
2021-04-10,24.9,18.2,30.1,0.0,158.0,15.3,1013.0
2021-04-11,27.6,23.3,34.2,0.0,148.0,21.2,1014.3
2021-04-12,26.6,21.6,34.2,0.0,152.0,21.7,1015.5
2021-04-13,27.3,24.0,33.6,0.0,160.0,22.4,1015.2
2021-04-14,27.7,23.1,33.6,0.0,178.0,14.2,1013.3
2021-04-15,25.9,20.7,32.3,0.0,241.0,13.4,1012.6
