time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,15.6,6.1,20.6,11.2,,15.5,1011.3
2021-01-02,7.4,4.4,8.3,0.0,227.0,7.6,1018.2
2021-01-03,6.6,1.7,13.3,0.0,251.0,5.8,1019.9
2021-01-04,7.0,1.1,15.0,0.0,303.0,5.8,1017.6
2021-01-05,8.2,0.6,13.3,0.0,355.0,9.7,1020.4
2021-01-06,4.9,-1.6,12.2,0.0,45.0,7.2,1021.8
2021-01-07,7.7,3.9,9.4,10.4,43.0,16.6,1014.4
2021-01-08,4.1,2.8,5.6,0.3,336.0,15.5,1020.8
2021-01-09,2.9,1.7,3.3,0.0,344.0,13.0,1025.9
2021-01-10,2.0,0.6,3.9,0.0,22.0,10.8,1027.4
2021-01-11,1.4,0.0,2.2,4.3,4.0,14.4,1026.6
2021-01-12,2.0,-2.1,8.3,0.0,345.0,5.0,1027.5
2021-01-13,1.6,-4.9,11.7,0.0,220.0,9.4,1020.8
2021-01-14,5.5,-1.0,15.6,0.0,198.0,14.4,1010.5
2021-01-15,7.7,0.6,11.1,0.0,259.0,12.2,1008.5
2021-01-16,5.7,0.0,8.9,0.0,283.0,9.4,1013.4
2021-01-17,5.9,1.7,13.3,0.0,260.0,9.0,1014.3
2021-01-18,6.7,-1.0,15.0,0.0,239.0,7.6,1019.4
2021-01-19,7.4,3.9,12.2,0.3,209.0,7.2,1025.5
2021-01-20,8.3,2.2,11.7,1.3,341.0,5.8,1026.6
2021-01-21,9.2,7.8,11.7,4.8,14.0,7.9,1015.8
2021-01-22,9.4,3.3,14.4,0.0,17.0,13.3,1017.2
2021-01-23,5.7,0.0,13.9,0.0,43.0,11.9,1022.5
2021-01-24,10.4,7.2,15.0,14.5,135.0,7.2,1017.8
2021-01-25,16.5,12.8,24.4,5.3,177.0,15.1,1007.8
2021-01-26,17.2,8.3,21.7,0.0,306.0,7.2,1012.2
2021-01-27,10.6,2.8,11.7,0.0,352.0,18.7,1020.8
2021-01-28,4.1,-1.0,8.3,0.0,5.0,16.2,1034.3
2021-01-29,2.9,-2.1,12.2,0.0,22.0,4.7,1028.4
2021-01-30,9.4,6.1,17.2,9.1,167.0,20.5,1016.3
2021-01-31,13.4,5.0,17.2,0.3,303.0,14.8,1012.8
2021-02-01,4.9,2.2,5.6,0.0,335.0,20.5,1022.4
2021-02-02,4.2,0.0,10.0,0.0,352.0,14.8,1023.4
2021-02-03,3.3,-3.8,11.7,0.0,2.0,3.6,1021.1
2021-02-04,6.4,0.6,14.4,9.1,194.0,15.5,1011.2
