time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-35.6,-38.5,-29.3,,60.0,4.6,1048.8
2021-01-02,-36.6,-41.5,-34.0,,146.0,5.2,1052.3
2021-01-03,-25.5,-36.3,-24.6,4.1,232.0,9.0,1045.4
2021-01-04,-21.9,-25.1,-21.3,2.3,178.0,4.8,1049.8
2021-01-05,-25.8,-28.6,-23.2,1.5,184.0,6.0,1055.3
2021-01-06,-28.3,-30.2,-23.5,1.3,184.0,9.8,1051.9
2021-01-07,-28.0,-30.4,-25.9,4.1,185.0,12.3,1048.7
2021-01-08,-26.2,-29.9,-25.1,0.3,182.0,13.1,1041.8
2021-01-09,-24.8,-25.8,-21.6,1.3,114.0,7.5,1030.6
2021-01-10,-29.7,-32.2,-25.4,,22.0,5.6,1026.6
2021-01-11,-30.6,-37.6,-28.8,3.0,103.0,6.3,1024.7
2021-01-12,-27.4,-31.0,-26.7,1.5,138.0,5.9,1016.4
2021-01-13,-17.2,-31.1,-15.6,4.6,195.0,10.6,1008.2
2021-01-14,-34.5,-38.9,-21.4,2.0,319.0,8.7,1011.9
2021-01-15,-43.8,-47.1,-39.2,,27.0,4.1,1030.4
2021-01-16,-31.8,-45.0,-29.4,0.0,70.0,12.7,1029.1
2021-01-17,-27.4,-32.0,-24.8,1.3,89.0,18.8,1014.3
2021-01-18,-24.3,-27.5,-23.0,1.5,92.0,16.4,999.2
2021-01-19,-29.4,-32.8,-25.9,0.8,91.0,8.7,1006.1
2021-01-20,-39.9,-43.9,-33.2,1.3,84.0,4.1,1021.1
2021-01-21,-45.2,-48.6,-43.2,0.0,50.0,4.8,1028.4
2021-01-22,-37.5,-46.6,-37.0,0.0,54.0,7.3,1023.8
2021-01-23,-36.2,-39.6,-35.3,0.0,60.0,7.6,1027.5
2021-01-24,-41.7,-44.7,-36.0,0.0,52.0,6.8,1035.9
2021-01-25,-45.1,-47.7,-43.1,,77.0,3.9,1042.8
2021-01-26,-41.1,-47.5,-38.9,0.0,103.0,7.3,1042.7
2021-01-27,-33.2,-42.6,-32.0,1.0,96.0,13.8,1026.7
2021-01-28,-35.8,-38.4,-34.8,0.3,72.0,7.6,1029.1
2021-01-29,-31.7,-38.5,-30.1,,72.0,9.7,1028.1
2021-01-30,-34.0,-35.8,-30.4,0.0,61.0,6.3,1039.5
2021-01-31,-32.8,-41.4,-29.6,0.0,75.0,7.8,1045.6
2021-02-01,-26.4,-31.6,-25.6,1.0,99.0,9.5,1034.4
2021-02-02,-21.4,-27.7,-19.3,0.5,100.0,11.3,1024.5
2021-02-03,-23.8,-25.2,-19.5,1.3,97.0,7.9,1009.5
2021-02-04,-28.7,-31.9,-25.5,0.8,16.0,4.3,1003.5
2021-02-05,-32.7,-34.1,-29.9,1.0,183.0,5.5,1011.6
2021-02-06,-27.2,-39.0,-21.1,2.3,89.0,9.4,1011.5
2021-02-07,-19.9,-28.6,-15.3,,60.0,11.4,1000.7
2021-02-08,-12.8,-19.4,-6.1,7.1,139.0,13.1,997.1
2021-02-09,-16.4,-19.2,-13.4,1.0,52.0,8.2,992.3
2021-02-10,-20.8,-25.0,-17.6,,179.0,11.4,1000.4
2021-02-11,-31.0,-35.3,-25.3,,122.0,4.6,1018.2
2021-02-12,-35.6,-38.1,-32.4,,67.0,5.7,1028.8
2021-02-13,-35.6,-39.7,-31.9,,62.0,6.5,1032.9
2021-02-14,-36.1,-39.1,-31.8,0.0,52.0,6.2,1034.0
2021-02-15,-27.9,-38.0,-23.4,0.0,76.0,14.0,1031.1
2021-02-16,-22.1,-26.3,-20.8,3.6,93.0,15.7,1010.6
2021-02-17,-27.8,-29.5,-25.1,,119.0,6.1,1008.2
2021-02-18,-34.6,-38.6,-31.5,0.5,165.0,5.3,1014.6
2021-02-19,-33.7,-36.6,-31.4,,97.0,6.1,1018.8
2021-02-20,-35.7,-40.6,-30.6,,72.0,4.5,1017.8
2021-02-21,-36.7,-39.5,-34.1,,135.0,6.1,1030.2
2021-02-22,-34.2,-36.9,-27.5,,49.0,7.2,1027.1
2021-02-23,-35.6,-42.0,-28.6,0.0,22.0,3.9,1028.0
2021-02-24,-38.2,-44.3,-33.3,,83.0,3.6,1033.0
2021-02-25,-32.1,-41.0,-27.2,0.0,52.0,6.4,1025.8
2021-02-26,-31.1,-37.5,-24.6,0.0,50.0,5.3,1019.8
2021-02-27,-35.6,-41.3,-26.6,,77.0,4.7,1024.7
2021-02-28,-37.1,-41.6,-28.5,0.0,69.0,4.4,1030.0
2021-03-01,-35.4,-41.4,-27.6,0.0,78.0,5.1,1029.2
2021-03-02,-31.6,-39.1,-26.4,,82.0,7.3,1024.4
2021-03-03,-27.0,-33.0,-23.8,0.0,92.0,11.0,1022.6
2021-03-04,-18.7,-26.5,-16.9,1.3,104.0,16.3,1012.5
2021-03-05,-14.6,-18.2,-11.8,0.8,90.0,14.3,1004.3
2021-03-06,-11.2,-15.2,-7.7,2.0,117.0,8.3,998.5
2021-03-07,-13.3,-15.1,-8.6,2.3,33.0,6.8,997.8
2021-03-08,-16.2,-27.5,-13.0,,166.0,8.9,1006.1
2021-03-09,-20.3,-23.2,-15.1,2.5,278.0,14.0,995.1
2021-03-10,-32.3,-31.6,-23.6,0.3,238.0,4.6,1011.8
2021-03-11,-31.5,-41.6,-22.2,0.0,2.0,7.9,1011.2
2021-03-12,-28.2,-41.4,-17.0,0.0,50.0,4.5,1006.6
2021-03-13,-22.9,-32.1,-15.8,3.0,196.0,16.8,995.9
2021-03-14,-21.0,-31.9,-18.6,0.8,201.0,12.5,1008.1
2021-03-15,-11.7,-18.6,-9.0,2.8,204.0,5.6,1010.0
2021-03-16,-20.6,-23.2,-15.2,3.3,321.0,7.6,1014.8
2021-03-17,-12.2,-29.1,-7.1,1.0,102.0,7.6,1019.0
2021-03-18,-16.1,-22.2,-5.4,2.8,252.0,14.5,1015.1
2021-03-19,-20.6,-34.9,-11.4,4.1,50.0,8.1,1016.9
2021-03-20,-23.3,-29.5,-18.8,0.5,1.0,10.1,1017.5
2021-03-21,-19.0,-23.8,-16.6,0.0,89.0,20.8,1005.3
2021-03-22,-14.1,-18.8,-10.8,1.0,125.0,13.4,1000.8
2021-03-23,-13.1,-18.1,-10.2,,192.0,9.0,1008.9
2021-03-24,-5.6,-13.4,-2.6,0.5,171.0,16.2,1005.9
2021-03-25,-5.4,-6.6,-2.6,3.0,184.0,9.6,1001.0
2021-03-26,-4.5,-11.8,-1.5,,174.0,13.3,999.9
2021-03-27,-6.1,-7.0,-1.8,6.1,215.0,13.9,998.6
2021-03-28,-11.2,-12.3,-6.2,0.3,257.0,4.5,1005.2
2021-03-29,-17.4,-16.3,-11.4,0.0,332.0,8.9,1010.6
2021-03-30,-26.0,-27.3,-20.5,,302.0,7.6,1015.5
2021-03-31,-26.5,-35.2,-17.8,0.0,278.0,3.4,1021.4
2021-04-01,-16.4,-30.6,-10.6,0.0,108.0,6.1,1023.6
2021-04-02,-11.0,-16.6,-7.0,0.0,92.0,14.2,1014.6
2021-04-03,-9.4,-13.5,-6.4,1.0,84.0,11.2,1012.1
2021-04-04,-6.1,-11.6,-2.2,,95.0,10.7,1014.9
2021-04-05,3.1,-5.2,4.6,5.1,153.0,14.5,1011.2
2021-04-06,5.0,2.7,10.6,0.0,154.0,11.9,1008.1
2021-04-07,2.1,-1.1,8.2,0.3,203.0,7.0,1011.4
2021-04-08,0.9,-2.5,3.2,0.0,323.0,4.4,1024.6
2021-04-09,-0.1,-4.5,4.4,0.0,334.0,3.7,1034.4
2021-04-10,2.1,-5.4,5.4,0.0,156.0,11.7,1036.6
2021-04-11,0.3,-0.6,4.4,5.1,273.0,10.7,1030.9
2021-04-12,0.3,-3.7,1.8,2.0,196.0,15.1,1013.7
2021-04-13,-0.7,-2.3,1.7,4.1,267.0,16.6,1008.1
2021-04-14,-3.9,-4.0,-1.0,2.3,291.0,13.8,1011.2
2021-04-15,-3.3,-7.8,2.1,12.2,215.0,18.3,1000.6
2021-04-16,-18.1,-19.0,-15.8,1.3,307.0,20.5,1005.8
2021-04-17,-14.8,-26.5,-8.9,0.3,249.0,7.2,1012.9
2021-04-18,-12.2,-18.6,-8.2,,14.0,12.4,1010.4
2021-04-19,-9.0,-15.1,-1.1,0.0,356.0,15.3,1011.9
2021-04-20,-9.9,-19.1,-2.4,0.0,330.0,9.7,1015.0
2021-04-21,-7.3,-17.7,-0.2,0.0,324.0,8.3,1025.9
2021-04-22,-2.7,-15.7,3.4,0.0,218.0,8.0,1036.1
2021-04-23,1.7,-4.3,6.5,0.0,191.0,11.0,1038.2
2021-04-24,3.9,-2.2,6.8,0.0,189.0,12.3,1031.5
2021-04-25,-2.2,-6.1,2.7,0.0,314.0,12.0,1025.7
2021-04-26,-1.0,-10.4,4.4,0.0,17.0,5.0,1027.2
2021-04-27,6.1,-1.7,9.5,0.0,129.0,9.3,1015.8
2021-04-28,3.1,1.7,6.6,1.0,153.0,14.1,1004.2
2021-04-29,2.7,0.7,6.3,1.5,184.0,7.8,1008.0
2021-04-30,6.9,1.0,9.2,0.0,76.0,12.5,1002.9
2021-05-01,5.5,3.9,8.6,0.0,47.0,10.9,1002.8
2021-05-02,3.1,-1.8,7.2,,293.0,6.3,1012.5
2021-05-03,1.8,0.7,4.5,4.1,156.0,10.0,1008.3
2021-05-04,1.8,-3.2,5.7,2.0,289.0,9.1,1010.1
2021-05-05,0.4,-5.2,5.1,,294.0,6.2,1013.0
2021-05-06,5.1,-5.6,7.1,0.0,103.0,6.7,1010.4
2021-05-07,4.0,1.9,7.2,3.3,143.0,13.0,1000.5
2021-05-08,3.6,0.1,5.5,0.3,8.0,7.3,1009.1
2021-05-09,4.8,-0.5,7.8,,320.0,6.2,1020.9
2021-05-10,1.7,-1.1,5.2,0.0,336.0,8.9,1028.0
2021-05-11,8.1,-2.0,12.4,0.0,117.0,5.7,1026.8
2021-05-12,7.6,3.2,13.2,0.0,147.0,7.2,1017.1
2021-05-13,5.7,1.6,11.2,0.3,292.0,6.6,1010.3
2021-05-14,-1.1,-2.4,0.9,3.0,311.0,12.5,1009.1
2021-05-15,-1.9,-3.8,1.6,2.0,330.0,13.6,1012.2
2021-05-16,-3.2,-7.6,0.4,,331.0,9.2,1020.0
2021-05-17,-0.3,-7.6,3.9,,357.0,6.6,1018.6
2021-05-18,0.3,-5.1,3.5,0.0,353.0,11.3,1017.8
2021-05-19,0.1,-4.4,3.1,0.0,348.0,12.1,1018.3
2021-05-20,1.8,-3.3,6.3,0.0,334.0,6.7,1019.2
2021-05-21,6.6,-3.3,10.5,,133.0,6.1,1016.1
2021-05-22,5.0,4.3,7.6,,162.0,13.8,1009.6
2021-05-23,10.7,4.4,15.9,0.3,150.0,13.4,1001.9
2021-05-24,4.4,1.0,11.4,6.6,289.0,15.3,998.8
2021-05-25,-0.3,-2.0,1.6,0.0,311.0,19.5,1011.7
2021-05-26,0.7,-2.9,4.5,0.0,331.0,14.1,1014.6
2021-05-27,5.1,-2.9,8.2,0.0,17.0,9.6,1011.1
2021-05-28,3.6,2.6,6.1,1.0,351.0,13.5,1003.4
2021-05-29,1.8,0.9,5.1,9.9,311.0,13.3,1010.5
2021-05-30,8.2,-2.2,11.9,,203.0,10.9,1015.1
2021-05-31,6.7,4.4,10.8,11.9,212.0,14.6,1007.5
2021-06-01,2.9,1.6,4.0,31.0,348.0,11.6,1006.6
2021-06-02,5.6,0.0,8.0,0.0,166.0,7.9,1009.4
2021-06-03,3.9,0.0,7.7,8.9,238.0,9.6,1006.3
2021-06-04,4.3,0.9,5.4,0.0,272.0,8.6,1008.1
2021-06-05,3.4,1.9,6.0,5.1,241.0,10.9,999.5
2021-06-06,2.6,0.6,4.2,6.4,284.0,13.4,1001.3
2021-06-07,4.8,-0.3,6.6,0.0,325.0,7.9,1006.7
2021-06-08,5.5,1.3,9.5,0.3,299.0,7.1,1012.4
2021-06-09,7.1,1.6,10.3,0.0,340.0,14.2,1007.2
2021-06-10,6.0,3.2,7.5,,286.0,10.3,1011.4
2021-06-11,8.2,2.9,11.4,1.5,241.0,9.6,1011.7
2021-06-12,7.7,6.2,9.4,17.0,278.0,9.8,1005.0
2021-06-13,8.5,3.9,12.8,0.3,345.0,10.9,1012.6
