time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.9,14.8,32.6,0.0,,,
2021-01-02,23.9,17.0,28.0,0.0,317.0,13.3,1016.1
2021-01-03,23.4,16.0,28.0,0.0,326.0,11.5,1016.5
2021-01-04,23.2,18.0,29.0,0.0,323.0,11.6,1015.3
2021-01-05,24.1,19.0,29.0,0.0,312.0,8.9,1014.6
2021-01-06,24.3,16.0,32.4,0.0,289.0,5.6,1013.9
2021-01-07,24.6,19.0,31.0,0.5,318.0,14.3,1015.4
2021-01-08,21.7,18.1,24.0,0.0,314.0,14.8,1018.2
2021-01-09,21.0,16.3,25.0,0.0,311.0,12.3,1018.1
2021-01-10,21.6,12.0,30.0,0.0,321.0,6.3,1015.6
2021-01-11,22.1,13.8,31.6,0.0,310.0,15.5,1018.3
2021-01-12,20.7,16.4,26.0,0.0,303.0,14.9,1020.1
2021-01-13,20.9,16.5,25.0,0.0,310.0,14.7,1018.8
2021-01-14,21.9,16.0,29.0,0.0,315.0,7.1,1015.6
2021-01-15,22.0,16.3,27.7,0.0,328.0,13.3,1014.7
2021-01-16,22.7,17.2,26.0,0.0,316.0,13.9,1016.5
2021-01-17,21.9,14.0,30.7,0.0,331.0,9.4,1015.0
2021-01-18,22.4,16.0,32.4,0.0,312.0,9.6,1016.2
2021-01-19,21.8,13.0,32.0,0.0,321.0,6.8,1015.7
2021-01-20,24.5,16.0,32.0,0.0,323.0,7.3,1015.7
2021-01-21,24.9,17.0,32.0,0.0,325.0,7.3,1015.3
2021-01-22,25.7,17.0,34.4,0.0,333.0,6.6,1013.0
2021-01-23,26.2,17.4,35.8,0.0,313.0,8.2,1013.0
2021-01-24,26.1,18.0,33.9,0.0,303.0,5.1,1012.5
2021-01-25,26.6,16.0,34.6,0.0,195.0,6.8,1011.2
2021-01-26,26.7,15.0,34.7,0.0,298.0,6.1,1010.8
2021-01-27,25.9,19.0,32.7,0.0,308.0,11.8,1013.3
2021-01-28,27.0,17.4,35.7,0.0,332.0,15.3,1017.7
2021-01-29,25.8,20.2,32.4,0.0,317.0,14.9,1016.3
2021-01-30,24.3,18.0,30.0,0.0,330.0,9.7,1014.2
2021-01-31,24.2,15.0,33.0,0.0,323.0,13.0,1013.9
2021-02-01,25.3,17.3,28.0,0.0,324.0,24.7,1017.9
2021-02-02,21.4,15.4,28.2,0.0,313.0,18.4,1019.1
2021-02-03,19.7,13.0,29.0,0.0,315.0,8.3,1016.6
2021-02-04,21.1,11.0,33.0,0.0,315.0,5.2,1013.4
2021-02-05,25.7,14.0,36.0,0.0,258.0,7.2,1010.9
2021-02-06,25.8,16.8,33.9,0.0,212.0,6.1,1011.4
2021-02-07,24.9,15.0,31.0,0.0,317.0,11.7,1012.7
2021-02-08,25.7,16.0,34.7,0.0,338.0,8.4,1012.6
2021-02-09,26.9,18.1,36.1,0.0,306.0,9.4,1013.1
2021-02-10,26.9,18.6,34.4,0.0,314.0,6.2,1013.0
2021-02-11,25.7,18.0,33.0,0.7,245.0,9.4,1011.1
2021-02-12,25.2,18.0,34.0,0.0,281.0,9.9,1010.6
2021-02-13,26.9,16.0,33.0,0.0,297.0,7.0,1011.4
2021-02-14,24.4,14.0,34.6,0.0,126.0,9.1,1011.9
2021-02-15,24.1,9.0,33.8,0.0,338.0,9.5,1014.5
2021-02-16,24.3,13.2,34.8,0.0,324.0,8.5,1014.9
2021-02-17,26.8,13.0,36.6,0.0,197.0,9.8,1011.6
2021-02-18,27.6,17.0,34.0,0.0,241.0,8.9,1013.7
2021-02-19,24.5,18.4,34.2,0.0,317.0,29.3,1020.3
2021-02-20,19.5,15.9,24.0,0.0,318.0,22.2,1020.7
2021-02-21,30.0,13.0,32.0,0.0,309.0,8.6,1017.3
2021-02-22,23.1,15.0,29.0,0.0,303.0,14.2,1015.4
2021-02-23,25.1,19.0,31.0,0.0,329.0,12.3,1015.0
2021-02-24,25.4,18.8,32.9,0.0,302.0,8.5,1014.5
2021-02-25,26.3,20.0,34.0,0.0,330.0,10.7,1014.1
2021-02-26,27.2,17.0,35.3,0.0,319.0,9.6,1011.9
2021-02-27,28.7,19.0,37.0,0.0,327.0,6.7,1010.7
2021-02-28,27.7,17.0,35.6,0.0,304.0,6.7,1010.7
2021-03-01,28.8,16.0,37.2,0.0,299.0,8.3,1010.5
2021-03-02,29.1,19.5,37.7,0.0,309.0,16.9,1013.0
2021-03-03,24.8,20.1,32.6,0.0,314.0,18.9,1016.2
2021-03-04,24.7,18.0,32.0,0.0,317.0,11.3,1015.7
2021-03-05,25.7,17.0,34.0,0.0,336.0,10.4,1012.2
2021-03-06,26.9,17.8,36.8,0.0,320.0,18.8,1013.3
2021-03-07,23.8,18.2,31.6,0.0,317.0,20.7,1017.6
2021-03-08,23.8,17.6,29.0,0.0,307.0,14.3,1019.9
2021-03-09,24.9,18.1,31.1,0.0,318.0,17.0,1019.0
2021-03-10,25.0,17.0,33.0,0.0,318.0,9.4,1016.7
2021-03-11,26.3,18.0,34.0,0.0,330.0,9.3,1015.0
2021-03-12,27.3,17.5,35.8,0.0,311.0,9.5,1015.3
2021-03-13,27.6,19.0,35.0,0.0,314.0,12.4,1015.0
2021-03-14,28.4,20.0,36.0,0.0,225.0,7.6,1012.9
2021-03-15,28.3,19.0,36.5,0.0,253.0,8.1,1012.2
2021-03-16,29.0,18.0,36.0,0.0,264.0,6.5,1010.9
2021-03-17,28.6,20.5,35.7,0.0,238.0,8.4,1011.3
2021-03-18,26.2,20.0,30.0,0.0,303.0,16.3,1014.4
2021-03-19,23.1,19.2,29.8,0.0,308.0,21.0,1017.7
2021-03-20,22.9,17.0,28.0,0.0,314.0,16.2,1018.1
2021-03-21,23.2,16.0,30.0,0.0,319.0,16.3,1016.8
2021-03-22,24.8,15.0,35.0,0.0,217.0,11.2,1012.9
2021-03-23,28.2,19.1,36.3,0.0,180.0,10.4,1010.7
2021-03-24,27.6,15.0,37.6,0.0,184.0,10.3,1010.6
2021-03-25,28.1,15.0,37.3,0.0,224.0,9.5,1011.4
2021-03-26,28.4,17.0,36.0,0.0,315.0,12.4,1013.2
2021-03-27,29.6,19.0,36.7,0.0,281.0,7.9,1012.1
2021-03-28,31.0,21.3,38.0,0.0,314.0,9.0,1011.2
2021-03-29,29.0,22.2,32.9,0.4,327.0,14.4,1012.2
2021-03-30,27.8,20.4,35.1,0.0,332.0,7.8,1013.1
2021-03-31,28.9,20.0,36.0,0.3,331.0,9.3,1012.0
2021-04-01,29.8,22.0,34.1,0.0,355.0,17.9,1014.4
2021-04-02,27.1,20.9,31.5,1.6,335.0,19.4,1016.0
2021-04-03,25.1,18.2,30.7,0.0,333.0,17.2,1017.4
2021-04-04,24.8,,,,,,
2021-04-05,26.0,18.4,29.7,0.0,324.0,11.3,1014.7
2021-04-06,26.6,19.0,33.6,0.0,312.0,6.0,1012.7
2021-04-07,29.2,21.9,34.0,0.0,293.0,7.6,1012.7
2021-04-08,30.0,20.0,38.0,0.0,325.0,9.5,1011.2
2021-04-09,30.8,22.0,38.1,0.0,242.0,8.5,1010.7
