time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,9.8,4.3,18.2,0.0,273.0,15.2,1007.1
2021-01-02,6.6,1.4,11.3,0.5,286.0,18.0,1009.3
2021-01-03,7.4,-0.6,13.8,0.0,270.0,15.8,1012.4
2021-01-04,7.6,2.2,12.1,0.0,250.0,22.4,1011.3
2021-01-05,5.2,-1.2,11.8,0.0,256.0,11.2,1011.7
2021-01-06,4.6,-2.1,11.0,0.0,293.0,8.5,1014.2
2021-01-07,6.4,3.2,8.2,0.8,312.0,9.2,1013.2
2021-01-08,5.5,4.1,5.9,8.1,345.0,12.4,1012.0
2021-01-09,5.4,2.4,6.8,17.5,303.0,11.9,1006.7
2021-01-10,4.7,-0.9,8.8,2.3,301.0,7.9,1011.7
2021-01-11,5.0,0.6,10.1,0.0,292.0,9.0,1020.4
2021-01-12,4.3,-1.8,11.7,0.0,251.0,12.8,1026.7
2021-01-13,6.3,-0.8,14.3,0.0,253.0,11.3,1027.6
2021-01-14,7.2,-0.4,16.3,0.0,268.0,9.0,1024.4
2021-01-15,10.5,2.4,17.7,0.0,266.0,16.7,1023.1
2021-01-16,8.8,0.8,16.8,0.0,256.0,11.0,1025.5
2021-01-17,11.3,2.9,21.8,0.0,259.0,14.8,1025.8
2021-01-18,9.9,3.2,16.8,0.0,271.0,9.2,1027.2
2021-01-19,7.7,1.0,15.2,0.0,281.0,7.1,1024.7
2021-01-20,7.7,0.6,13.0,0.0,243.0,7.4,1015.2
2021-01-21,14.9,8.1,18.1,0.0,244.0,25.3,1013.5
2021-01-22,15.7,11.5,18.8,0.0,249.0,38.1,1008.8
2021-01-23,13.6,9.0,16.2,5.8,254.0,28.2,1012.6
2021-01-24,17.3,13.0,19.3,0.0,269.0,32.7,1008.9
2021-01-25,16.3,12.3,20.1,0.0,255.0,26.2,1011.5
2021-01-26,12.2,5.6,17.4,0.0,324.0,7.4,1021.7
2021-01-27,17.4,9.1,25.5,0.0,287.0,10.3,1021.7
2021-01-28,18.4,9.7,26.0,0.0,257.0,15.8,1020.8
2021-01-29,20.2,13.9,25.3,0.0,258.0,20.2,1018.0
2021-01-30,17.5,12.3,20.1,0.0,273.0,33.6,1010.4
2021-01-31,16.3,11.3,20.0,0.5,263.0,31.7,1008.9
2021-02-01,19.3,15.9,23.2,0.0,267.0,36.6,1009.9
2021-02-02,17.6,13.5,22.3,0.0,256.0,21.6,1015.2
2021-02-03,16.4,11.7,20.9,0.0,246.0,13.3,1013.8
2021-02-04,12.7,8.8,16.3,0.0,25.0,10.1,1012.7
2021-02-05,13.6,11.6,14.8,0.0,51.0,12.5,1009.2
2021-02-06,14.4,8.5,19.8,0.0,267.0,12.7,1002.5
2021-02-07,14.5,9.9,18.4,0.0,283.0,18.0,1004.7
2021-02-08,14.6,11.4,18.8,0.0,259.0,31.3,1003.3
2021-02-09,15.2,11.3,19.3,0.0,242.0,23.9,1006.4
2021-02-10,14.9,13.0,21.0,0.0,264.0,29.6,1008.5
2021-02-11,16.4,10.6,22.0,0.0,254.0,14.3,1017.3
2021-02-12,18.7,15.0,23.0,0.0,265.0,21.5,1016.8
2021-02-13,17.2,11.0,23.2,0.0,298.0,12.3,1022.9
2021-02-14,11.6,4.9,16.2,0.0,19.0,9.6,1031.3
2021-02-15,13.0,10.2,15.6,2.8,80.0,7.0,1034.6
2021-02-16,12.3,5.7,19.7,0.0,199.0,7.2,1028.1
2021-02-17,11.6,6.1,16.5,0.0,63.0,7.0,1023.6
2021-02-18,12.3,8.2,15.6,0.0,348.0,6.1,1019.8
2021-02-19,10.6,7.8,16.1,0.0,26.0,7.0,1020.6
2021-02-20,12.7,10.6,15.0,0.0,357.0,9.0,1019.0
2021-02-21,14.8,11.8,16.0,8.0,48.0,21.4,1010.2
2021-02-22,12.7,8.9,17.0,7.9,277.0,15.8,1015.7
2021-02-23,13.2,7.8,16.7,2.3,0.0,8.8,1032.6
2021-02-24,13.6,9.5,15.4,0.0,10.0,8.4,1034.5
2021-02-25,13.3,9.9,16.1,0.0,339.0,4.9,1031.2
2021-02-26,12.1,7.2,15.0,0.0,342.0,6.7,1030.5
2021-02-27,12.6,6.2,17.2,0.0,3.0,7.4,1026.2
2021-02-28,12.6,9.6,15.5,0.0,26.0,13.1,1024.3
2021-03-01,13.8,11.6,15.1,0.0,48.0,20.0,1024.2
2021-03-02,14.0,12.4,14.2,0.0,38.0,16.3,1027.4
2021-03-03,14.1,11.4,15.1,0.0,48.0,10.4,1029.6
2021-03-04,12.9,9.1,16.1,0.0,17.0,7.2,1023.4
2021-03-05,11.8,5.9,17.2,0.0,183.0,7.6,1018.8
2021-03-06,12.3,6.9,15.4,0.0,24.0,11.2,1022.0
2021-03-07,12.1,10.7,12.0,2.3,335.0,8.6,1019.5
2021-03-08,11.9,9.3,13.5,15.0,4.0,7.5,1015.7
2021-03-09,13.0,9.3,16.7,1.0,330.0,12.6,1017.7
2021-03-10,11.7,7.3,19.0,0.3,282.0,9.8,1022.5
2021-03-11,16.1,5.1,25.2,0.0,268.0,12.6,1021.8
2021-03-12,16.6,10.9,24.2,0.0,274.0,17.4,1020.0
2021-03-13,14.6,8.0,21.4,0.0,264.0,10.5,1021.7
2021-03-14,15.4,6.7,22.2,0.0,311.0,11.4,1022.6
2021-03-15,12.7,6.6,17.8,0.0,256.0,10.0,1024.3
2021-03-16,12.9,5.3,19.5,0.0,247.0,9.4,1024.7
2021-03-17,14.6,6.1,22.9,0.0,272.0,9.7,1021.8
2021-03-18,9.7,7.2,13.2,22.4,317.0,11.3,1019.5
2021-03-19,8.9,6.7,12.3,0.8,341.0,10.5,1013.7
2021-03-20,9.6,4.0,14.1,4.3,351.0,16.7,1016.5
2021-03-21,11.4,3.9,18.9,0.0,286.0,12.1,1018.9
2021-03-22,12.6,4.1,20.0,0.0,268.0,11.5,1017.3
2021-03-23,12.2,4.7,18.6,0.0,342.0,9.6,1021.4
2021-03-24,13.0,5.8,19.4,0.0,288.0,9.0,1024.7
2021-03-25,12.2,5.8,18.4,0.0,6.0,8.2,1023.5
