time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-7.3,-11.7,-3.0,0.6,93.0,9.5,
2021-01-02,-1.5,-6.8,3.7,0.0,166.0,20.7,988.8
2021-01-03,-1.5,-6.1,3.0,0.0,227.0,25.9,994.2
2021-01-04,-4.2,-9.7,1.2,0.0,172.0,12.5,1002.6
2021-01-05,-6.6,-12.6,-0.6,0.0,164.0,18.2,1006.6
2021-01-06,-0.4,-6.1,5.3,0.0,187.0,25.6,1004.8
2021-01-07,-6.0,-8.9,-3.1,0.0,164.0,20.5,1021.5
2021-01-08,-8.4,-13.4,-3.4,0.0,168.0,17.7,1022.3
2021-01-09,-8.7,-12.6,-4.7,0.0,163.0,18.5,1023.4
2021-01-10,-5.5,-10.3,-0.7,0.0,168.0,19.5,1012.9
2021-01-11,1.1,-5.1,7.3,0.0,178.0,24.0,1006.1
2021-01-12,-3.2,-7.5,1.1,0.8,179.0,17.7,999.5
2021-01-13,-0.6,-2.4,1.2,0.0,244.0,19.6,1005.0
2021-01-14,-4.8,-8.3,-1.2,0.0,230.0,17.7,1027.3
2021-01-15,-0.8,-7.7,6.2,0.0,206.0,29.3,1014.3
2021-01-16,-1.0,-4.5,2.6,0.0,234.0,19.9,1019.1
2021-01-17,-0.5,-3.3,2.3,1.6,238.0,16.1,1014.9
2021-01-18,-2.6,-7.3,2.0,0.0,253.0,18.8,1027.7
2021-01-19,0.1,-7.2,7.4,0.0,204.0,31.0,1009.3
2021-01-20,-2.1,-3.9,-0.4,0.0,265.0,25.9,1015.5
2021-01-21,-4.8,-7.1,-2.4,0.0,259.0,10.9,1024.3
2021-01-22,-8.4,-11.4,-5.5,0.0,264.0,13.8,1021.5
2021-01-23,-14.0,-16.7,-11.4,1.3,17.0,11.0,1021.0
2021-01-24,-14.1,-17.0,-11.3,0.8,103.0,11.8,1012.9
2021-01-25,-16.9,-19.4,-14.3,0.0,30.0,11.3,1018.8
2021-01-26,-18.3,-21.8,-14.8,0.4,45.0,8.5,1017.9
2021-01-27,-19.8,-22.8,-16.8,0.4,342.0,13.5,1023.0
2021-01-28,-21.3,-24.6,-18.1,0.0,44.0,4.2,1024.1
2021-01-29,-16.4,-22.0,-10.9,0.0,163.0,15.0,1013.5
2021-01-30,-13.8,-19.6,-7.9,0.0,154.0,13.5,1015.2
2021-01-31,-13.7,-19.1,-8.4,0.0,74.0,10.4,1016.6
2021-02-01,-11.7,-15.6,-7.8,0.9,279.0,11.5,1018.9
2021-02-02,-18.1,-20.7,-15.6,5.4,325.0,16.5,1021.8
2021-02-03,-21.4,-24.1,-18.6,0.5,215.0,11.1,1027.4
2021-02-04,-18.5,-20.7,-16.2,1.6,64.0,15.0,1025.2
2021-02-05,-24.3,-29.5,-19.1,1.4,357.0,12.3,1032.9
2021-02-06,-30.7,-36.6,-24.7,0.0,349.0,6.5,1036.4
2021-02-07,-34.2,-42.8,-25.7,0.4,223.0,10.0,1034.2
2021-02-08,-30.8,-36.9,-24.7,0.0,259.0,8.9,1042.9
2021-02-09,-34.5,-39.3,-29.6,0.0,252.0,17.0,1045.3
2021-02-10,-29.8,-33.5,-26.1,0.0,253.0,13.3,1046.6
2021-02-11,-31.3,-37.4,-25.3,0.0,250.0,13.5,1052.4
2021-02-12,-20.8,-25.3,-16.4,0.0,184.0,10.4,1040.7
2021-02-13,-21.8,-28.2,-15.4,0.0,128.0,16.3,1034.6
2021-02-14,-22.0,-28.4,-15.7,0.0,150.0,16.2,1023.6
2021-02-15,-18.5,-22.7,-14.2,0.0,119.0,13.5,1012.2
2021-02-16,-16.9,-20.5,-13.2,1.5,239.0,4.2,1016.4
2021-02-17,-17.2,-27.3,-7.1,0.4,191.0,10.7,1026.3
2021-02-18,-11.8,-18.9,-4.7,0.0,158.0,19.1,1016.2
2021-02-19,-3.2,-9.9,3.6,0.0,195.0,22.5,1004.2
2021-02-20,-2.2,-5.6,1.3,0.0,229.0,23.8,1002.8
2021-02-21,3.5,0.0,6.9,0.0,226.0,30.6,992.6
2021-02-22,0.3,-3.1,3.7,0.0,257.0,23.0,1001.2
2021-02-23,-2.3,-4.9,0.3,0.4,259.0,18.3,1013.5
2021-02-24,-4.8,-11.3,1.7,0.0,236.0,13.7,1021.0
2021-02-25,-6.4,-15.7,2.9,1.4,228.0,22.9,999.1
