time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.1,0.8,,5.1,,,
2021-01-02,0.0,-2.4,1.6,2.0,219.0,10.5,1013.8
2021-01-03,-0.4,-1.4,0.3,2.0,154.0,5.8,1024.7
2021-01-04,0.1,-0.7,1.5,5.1,56.0,4.3,1024.3
2021-01-05,0.3,-0.2,0.8,0.0,58.0,7.1,1026.2
2021-01-06,-2.3,-3.8,0.1,0.0,100.0,9.7,1022.8
2021-01-07,-3.3,-3.9,-2.3,0.3,100.0,7.1,1017.7
2021-01-08,-3.2,-3.6,-2.5,1.0,47.0,9.3,1013.4
2021-01-09,-5.2,-7.4,-3.1,0.3,26.0,9.1,1015.7
2021-01-10,-9.1,-10.8,-8.5,0.0,327.0,7.2,1020.3
2021-01-11,-8.4,-12.4,-6.4,0.3,201.0,6.9,1021.4
2021-01-12,-3.2,-6.6,-1.6,0.3,154.0,11.9,1015.3
2021-01-13,-3.1,-7.0,-2.2,0.3,124.0,14.0,1012.2
2021-01-14,-10.6,-14.3,-5.6,4.1,31.0,13.7,1010.5
2021-01-15,-18.2,-21.1,-14.3,3.0,347.0,10.4,1012.8
2021-01-16,-18.9,-20.8,-16.8,0.8,344.0,9.3,1014.8
2021-01-17,-21.4,-25.2,-16.1,0.0,333.0,7.4,1018.9
2021-01-18,-12.9,-25.5,-10.4,0.3,209.0,5.9,1019.7
2021-01-19,-10.1,-11.8,-7.1,0.5,176.0,4.1,1018.3
2021-01-20,-11.5,-15.3,-9.4,0.0,173.0,9.1,1018.7
2021-01-21,-7.7,-14.3,-3.1,7.1,166.0,11.8,1008.9
2021-01-22,0.3,-3.2,1.9,0.0,182.0,14.2,1004.7
2021-01-23,0.9,-0.5,1.7,0.0,173.0,10.5,1005.0
2021-01-24,1.6,0.1,3.4,0.0,148.0,14.5,1004.3
2021-01-25,3.2,1.7,4.1,0.8,149.0,12.0,1002.3
2021-01-26,1.8,1.0,2.7,2.0,104.0,15.4,996.6
2021-01-27,0.4,-0.7,2.6,0.3,216.0,7.1,997.2
2021-01-28,-0.2,-2.7,1.1,0.3,105.0,4.2,1003.1
2021-01-29,-2.0,-5.1,0.8,7.9,330.0,4.9,990.0
2021-01-30,-2.8,-7.5,-1.9,3.3,225.0,13.0,988.2
2021-01-31,-3.1,-3.9,-2.2,0.5,229.0,14.4,993.5
2021-02-01,-2.9,-4.5,-2.2,0.3,215.0,14.2,1005.4
