time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,3.9,0.8,6.0,11.2,25.0,9.6,1009.4
2021-01-02,7.1,4.0,9.2,10.9,66.0,15.3,1006.0
2021-01-03,6.8,2.7,10.0,4.1,73.0,9.9,1008.4
2021-01-04,4.0,0.6,7.0,0.0,24.0,5.6,1010.0
2021-01-05,3.6,0.5,7.0,13.0,41.0,9.0,1008.3
2021-01-06,3.1,0.0,5.0,1.0,208.0,7.0,1009.7
2021-01-07,1.0,-2.9,5.7,0.0,276.0,5.0,1014.0
2021-01-08,0.3,-4.1,6.5,0.0,314.0,4.6,1013.5
2021-01-09,0.4,-3.7,5.5,0.0,331.0,7.9,1017.7
2021-01-10,0.8,-3.0,5.0,0.0,11.0,8.0,1017.7
2021-01-11,-1.8,-7.0,5.0,0.0,306.0,5.1,1019.0
2021-01-12,-1.3,-5.7,3.8,0.0,270.0,7.6,1015.5
2021-01-13,-1.7,-7.7,6.3,0.0,341.0,4.8,1013.4
2021-01-14,-0.1,-5.7,6.2,0.0,41.0,6.1,1011.1
2021-01-15,3.2,-2.0,6.0,0.0,79.0,8.2,1016.8
2021-01-16,-0.1,-4.1,6.2,0.0,299.0,8.1,1020.7
2021-01-17,-0.4,-3.5,4.0,0.0,28.0,3.4,1016.4
2021-01-18,-1.7,-6.5,5.0,0.0,297.0,5.4,1023.2
2021-01-19,-3.5,-8.0,0.0,0.0,237.0,3.5,1024.4
2021-01-20,0.7,-2.8,2.5,0.5,253.0,3.8,1021.2
2021-01-21,2.1,-0.5,4.0,1.0,269.0,3.3,1015.2
2021-01-22,5.3,2.7,9.0,16.0,59.0,7.8,1002.3
2021-01-23,6.4,1.4,9.0,9.9,39.0,12.0,994.2
2021-01-24,1.4,-1.1,8.7,0.0,287.0,9.9,997.8
2021-01-25,1.2,-5.1,7.1,0.0,280.0,9.8,1001.6
2021-01-26,3.7,-1.0,9.8,0.0,297.0,12.6,1013.9
2021-01-27,0.6,-4.0,5.5,0.0,263.0,5.7,1016.4
2021-01-28,0.0,-5.3,4.5,0.0,47.0,5.9,1013.1
2021-01-29,0.6,-3.1,4.3,0.0,296.0,5.7,1005.7
2021-01-30,2.8,-1.0,6.4,0.0,38.0,5.3,1000.8
2021-01-31,5.7,3.3,10.0,9.9,248.0,7.4,996.9
2021-02-01,4.0,1.0,7.6,0.0,288.0,4.0,1000.6
2021-02-02,2.2,-2.3,8.4,0.0,257.0,4.1,1011.4
2021-02-03,4.6,-0.6,6.1,2.0,283.0,4.1,1014.7
2021-02-04,6.3,5.0,7.4,0.0,227.0,6.0,1016.9
2021-02-05,8.1,6.0,11.0,0.0,255.0,4.2,1018.0
2021-02-06,8.1,4.0,10.3,0.0,48.0,3.8,1013.7
2021-02-07,10.0,7.2,13.0,2.3,93.0,11.7,998.7
2021-02-08,7.8,3.6,12.0,3.0,259.0,8.5,994.1
2021-02-09,7.9,5.4,10.0,1.8,244.0,8.6,999.5
2021-02-10,6.9,4.0,9.0,22.8,342.0,10.8,999.1
2021-02-11,5.5,0.0,12.0,0.0,69.0,12.7,1011.5
2021-02-12,1.8,0.0,4.0,0.1,84.0,19.6,1024.0
2021-02-13,-1.3,-4.3,2.0,0.0,78.0,16.9,1029.8
2021-02-14,-0.6,-7.0,6.3,0.0,287.0,8.9,1037.1
2021-02-15,-0.4,-6.2,6.6,0.0,269.0,6.5,1036.7
2021-02-16,1.4,-4.8,7.5,0.0,69.0,5.6,1026.8
2021-02-17,6.3,1.1,11.5,0.0,235.0,5.9,1022.0
2021-02-18,7.7,4.0,12.2,0.0,201.0,4.3,1023.4
2021-02-19,6.5,4.0,11.0,0.0,126.0,4.9,1023.8
2021-02-20,8.8,7.0,12.0,0.0,124.0,3.6,1025.4
2021-02-21,10.2,4.0,13.4,0.0,354.0,4.0,1027.2
2021-02-22,8.2,4.0,13.1,0.0,236.0,4.5,1031.2
2021-02-23,5.3,0.5,12.3,0.0,210.0,4.2,1035.6
2021-02-24,9.4,-0.7,21.6,0.0,280.0,5.7,1034.7
2021-02-25,9.2,4.8,21.2,0.0,284.0,5.5,1031.4
2021-02-26,10.1,1.6,19.5,0.0,314.0,4.8,1026.9
2021-02-27,11.4,3.8,19.0,0.0,54.0,12.5,1025.3
2021-02-28,8.6,3.0,13.4,0.0,97.0,10.4,1031.9
2021-03-01,6.9,-1.9,16.2,0.0,299.0,4.6,1030.7
2021-03-02,7.9,-0.6,16.1,0.0,302.0,5.3,1033.3
2021-03-03,7.3,0.0,15.0,0.0,287.0,6.2,1030.6
2021-03-04,7.5,0.0,14.3,0.0,269.0,5.5,1022.1
2021-03-05,10.4,5.0,16.3,0.0,241.0,8.9,1016.7
2021-03-06,6.4,1.3,10.2,6.1,78.0,17.3,1027.4
2021-03-07,4.2,-2.1,10.6,0.0,306.0,5.8,1024.2
2021-03-08,5.2,-1.6,11.6,0.0,68.0,7.7,1017.3
2021-03-09,6.6,-0.2,13.4,0.0,28.0,7.4,1015.0
2021-03-10,7.0,-0.2,13.3,0.0,279.0,8.0,1017.6
2021-03-11,6.7,1.0,11.3,0.2,128.0,4.8,1018.2
2021-03-12,8.6,5.0,12.7,0.3,96.0,7.0,1012.7
2021-03-13,8.9,0.4,16.1,0.0,172.0,6.8,1012.0
2021-03-14,7.1,0.1,15.0,0.0,358.0,12.7,1007.2
2021-03-15,8.1,0.5,16.3,0.0,262.0,10.4,1009.6
2021-03-16,8.9,-0.1,15.9,0.0,327.0,12.5,1013.8
2021-03-17,7.2,-3.4,14.9,0.0,8.0,7.8,1015.6
2021-03-18,5.4,0.5,10.3,0.0,63.0,10.0,1017.3
2021-03-19,4.7,-1.0,10.5,0.0,58.0,10.5,1015.8
2021-03-20,4.2,-3.4,10.6,0.0,68.0,10.0,1018.1
2021-03-21,3.9,-3.0,9.6,0.0,43.0,7.4,1015.2
2021-03-22,5.4,-4.1,14.3,0.0,274.0,6.6,1012.5
2021-03-23,7.1,-1.7,13.5,0.0,232.0,7.7,1021.8
2021-03-24,7.9,-0.4,16.0,0.0,107.0,6.2,1022.2
2021-03-25,10.0,1.1,17.0,0.0,73.0,6.5,1021.4
2021-03-26,12.6,2.0,18.6,0.2,90.0,5.5,1023.2
2021-03-27,11.2,6.4,17.1,0.0,197.0,6.8,1024.1
2021-03-28,12.7,6.0,19.3,0.0,,,
2021-03-29,13.2,4.9,21.0,0.0,211.0,5.4,1032.5
2021-03-30,14.9,6.3,23.0,0.0,274.0,6.0,1030.6
2021-03-31,16.1,6.4,25.0,0.0,262.0,4.9,1025.3
2021-04-01,16.7,9.0,25.6,0.0,299.0,8.1,1018.2
2021-04-02,16.2,6.8,25.1,0.0,272.0,4.9,1012.5
2021-04-03,12.9,6.3,18.5,0.0,95.0,13.5,1011.4
2021-04-04,10.5,4.4,15.0,0.0,99.0,8.1,1018.0
2021-04-05,10.3,1.8,16.0,0.0,247.0,7.4,1012.9
2021-04-06,7.2,1.4,11.0,0.0,100.0,11.7,1004.8
2021-04-07,5.4,0.6,12.4,0.8,297.0,10.6,1014.2
2021-04-08,7.3,-5.2,16.1,0.0,264.0,10.3,1023.1
2021-04-09,9.2,0.5,15.8,0.0,265.0,7.3,1025.4
2021-04-10,10.8,4.6,17.1,0.0,275.0,5.9,1021.6
2021-04-11,9.3,8.6,12.0,22.1,70.0,11.1,1018.5
2021-04-12,10.3,8.0,13.7,20.1,50.0,12.6,1015.2
2021-04-13,7.9,4.6,11.0,2.0,148.0,10.6,1018.8
2021-04-14,7.3,-0.7,13.5,0.0,110.0,7.0,1022.3
2021-04-15,6.3,1.5,12.3,0.8,60.0,11.9,1021.9
2021-04-16,7.7,0.5,15.0,0.0,79.0,8.4,1019.6
2021-04-17,8.8,0.2,15.0,0.0,65.0,8.8,1016.2
2021-04-18,10.1,7.1,13.8,0.5,29.0,8.2,1016.1
2021-04-19,10.1,5.8,16.3,0.3,298.0,6.4,1015.6
2021-04-20,11.6,3.3,19.4,0.0,228.0,7.8,1014.5
2021-04-21,12.3,4.9,19.4,0.0,176.0,6.8,1016.9
2021-04-22,12.6,4.8,19.1,0.0,152.0,5.1,1018.7
2021-04-23,14.7,8.9,20.1,0.0,113.0,6.5,1021.8
2021-04-24,14.8,7.0,21.5,0.0,118.0,5.8,1021.4
2021-04-25,16.2,7.6,23.8,0.0,220.0,6.8,1016.3
2021-04-26,13.6,10.9,16.1,0.0,92.0,11.5,1013.5
2021-04-27,12.2,9.4,14.3,1.0,88.0,6.1,1009.3
2021-04-28,14.4,9.5,20.0,1.4,134.0,5.1,1008.5
2021-04-29,14.1,12.8,16.5,7.1,88.0,6.8,1009.3
2021-04-30,15.8,12.0,21.9,5.1,90.0,5.8,1010.3
2021-05-01,15.2,8.9,21.0,8.9,47.0,7.7,1007.6
2021-05-02,14.4,11.5,20.1,36.1,251.0,14.0,1008.3
2021-05-03,13.6,9.0,19.1,1.5,115.0,8.3,1019.1
2021-05-04,14.5,7.2,21.0,0.0,218.0,8.0,1015.2
2021-05-05,15.1,8.5,20.7,0.0,227.0,10.5,1007.4
2021-05-06,14.2,9.0,19.1,0.0,96.0,12.1,1010.3
2021-05-07,17.4,11.2,23.4,0.0,173.0,10.7,1008.0
2021-05-08,16.4,13.0,20.3,0.0,103.0,13.1,1018.9
2021-05-09,17.3,8.6,23.8,0.0,88.0,6.7,1019.0
2021-05-10,19.1,10.7,25.4,0.0,68.0,12.5,1015.6
2021-05-11,15.2,13.0,20.0,13.0,77.0,12.4,1011.1
2021-05-12,15.3,12.6,20.0,1.3,243.0,11.1,1007.1
2021-05-13,15.6,12.0,21.8,1.0,260.0,10.4,1004.8
2021-05-14,14.0,8.4,20.1,0.5,190.0,8.3,1008.1
2021-05-15,15.0,8.9,19.5,0.5,234.0,6.4,1009.9
2021-05-16,14.2,9.0,19.0,0.5,45.0,5.2,1007.0
2021-05-17,16.6,12.0,22.5,0.5,243.0,10.0,1005.7
2021-05-18,16.1,6.7,23.6,0.0,131.0,7.1,1011.1
2021-05-19,14.6,11.8,20.5,2.8,187.0,9.9,1012.6
2021-05-20,16.4,7.3,22.8,0.0,289.0,7.8,1016.8
2021-05-21,16.7,8.9,23.3,0.0,215.0,8.4,1016.5
2021-05-22,16.2,11.9,19.2,0.0,213.0,6.4,1012.1
2021-05-23,18.3,11.0,24.2,0.0,110.0,9.2,1013.7
2021-05-24,13.9,13.0,17.0,16.8,87.0,9.8,1016.2
2021-05-25,16.9,10.8,23.4,0.5,239.0,14.6,1015.9
2021-05-26,17.2,8.4,23.0,0.0,129.0,9.3,1017.7
2021-05-27,18.3,10.4,24.0,0.0,154.0,5.8,1014.3
2021-05-28,19.2,13.0,24.2,0.0,109.0,7.9,1018.2
2021-05-29,19.1,12.8,25.0,0.0,82.0,7.5,1017.2
2021-05-30,18.9,11.0,23.7,7.1,113.0,8.3,1019.2
2021-05-31,18.4,14.9,23.0,0.0,117.0,8.2,1019.0
2021-06-01,19.8,16.0,25.0,0.0,106.0,7.0,1017.1
2021-06-02,19.9,11.3,26.4,0.0,61.0,7.7,1018.6
2021-06-03,21.5,12.4,28.3,0.0,225.0,6.0,1021.9
2021-06-04,23.2,15.7,29.1,0.0,188.0,6.6,1021.9
2021-06-05,23.1,18.0,29.3,0.0,218.0,9.0,1018.8
2021-06-06,20.2,17.0,26.7,20.1,276.0,7.4,1016.8
2021-06-07,20.0,16.7,26.0,2.0,310.0,6.9,1017.3
2021-06-08,21.6,15.9,28.3,0.0,304.0,5.6,1017.2
2021-06-09,21.7,15.5,27.0,0.3,298.0,6.4,1017.0
2021-06-10,22.6,15.8,28.4,0.0,36.0,5.5,1017.0
2021-06-11,21.4,17.3,27.8,0.3,358.0,6.5,1016.7
2021-06-12,23.3,15.0,29.2,0.0,277.0,9.7,1017.4
2021-06-13,25.4,16.3,32.7,0.0,113.0,5.8,1016.1
2021-06-14,25.0,20.5,29.4,0.0,96.0,11.4,1017.6
2021-06-15,24.5,21.0,29.2,0.0,123.0,7.8,1018.3
2021-06-16,23.8,16.3,30.1,0.0,97.0,6.0,1016.2
2021-06-17,25.7,18.2,31.3,1.2,226.0,5.6,1016.2
2021-06-18,26.8,20.0,31.7,1.8,120.0,6.6,1016.6
2021-06-19,25.8,18.8,32.2,0.0,237.0,9.2,1015.1
2021-06-20,26.3,18.9,32.7,0.0,220.0,5.9,1011.5
2021-06-21,27.2,20.7,33.2,0.0,255.0,8.3,1008.6
2021-06-22,26.3,16.9,33.1,0.0,246.0,6.1,1010.0
2021-06-23,25.2,17.8,32.3,0.0,109.0,7.4,1013.8
2021-06-24,25.9,18.2,32.2,0.0,258.0,8.8,1015.0
2021-06-25,24.5,17.5,31.2,0.0,252.0,12.7,1014.1
2021-06-26,25.3,17.5,31.7,0.0,190.0,5.9,1015.1
2021-06-27,26.2,18.3,32.7,0.0,15.0,5.8,1014.8
2021-06-28,27.5,19.0,33.8,0.0,84.0,9.0,1014.4
2021-06-29,26.7,18.9,33.8,0.0,172.0,11.2,1010.6
2021-06-30,24.1,16.6,30.2,0.0,245.0,9.2,1009.0
2021-07-01,24.1,15.3,30.2,0.0,278.0,8.3,1010.9
2021-07-02,25.2,18.0,30.6,0.0,128.0,9.3,1013.5
2021-07-03,25.3,19.0,31.7,0.0,72.0,6.4,1013.6
2021-07-04,21.3,18.5,25.6,16.0,193.0,6.9,1010.7
2021-07-05,23.0,15.7,29.4,0.3,138.0,6.7,1011.0
2021-07-06,25.8,17.9,32.1,0.0,94.0,8.0,1012.8
2021-07-07,27.3,19.0,33.5,0.0,89.0,8.6,1013.1
2021-07-08,23.0,17.6,31.0,34.0,23.0,10.9,1014.6
2021-07-09,23.1,15.9,30.2,0.5,247.0,11.7,1016.0
2021-07-10,24.6,15.7,31.3,0.0,91.0,5.7,1015.0
2021-07-11,24.4,18.6,31.0,5.1,264.0,7.4,1012.3
2021-07-12,25.7,18.0,31.1,0.0,74.0,8.6,1012.0
2021-07-13,24.9,19.6,30.0,0.0,94.0,13.7,1007.0
2021-07-14,20.0,15.3,25.2,1.0,261.0,8.0,1010.5
2021-07-15,21.2,15.0,27.0,0.0,319.0,5.6,1012.9
2021-07-16,21.1,17.0,26.7,1.1,11.0,7.8,1013.2
2021-07-17,23.2,18.9,27.5,0.0,289.0,10.5,1011.5
2021-07-18,24.9,19.4,31.3,0.0,299.0,6.3,1010.3
2021-07-19,26.5,18.7,33.0,0.0,209.0,5.5,1011.6
2021-07-20,26.9,19.6,33.3,0.0,78.0,7.0,1013.3
2021-07-21,26.7,20.0,32.1,0.0,90.0,7.7,1016.7
2021-07-22,26.0,21.0,31.2,0.0,89.0,9.2,1017.3
2021-07-23,25.1,17.7,31.3,6.1,123.0,6.5,1014.8
2021-07-24,26.3,20.0,31.6,0.0,98.0,8.2,1012.1
2021-07-25,27.1,21.1,31.3,0.0,86.0,13.9,1009.2
2021-07-26,25.1,19.8,30.4,9.8,114.0,8.6,1011.7
2021-07-27,22.4,19.0,28.2,13.0,65.0,8.1,1015.2
2021-07-28,23.0,17.7,30.6,10.9,146.0,5.3,1013.8
2021-07-29,24.8,17.4,31.1,0.0,275.0,4.9,1013.1
2021-07-30,25.8,19.8,30.3,0.0,280.0,7.1,1011.0
2021-07-31,26.1,20.0,31.8,0.0,119.0,5.1,1008.0
2021-08-01,22.3,16.0,28.9,15.0,285.0,11.5,1005.2
2021-08-02,21.0,15.0,27.0,0.3,138.0,6.7,1011.9
2021-08-03,22.4,15.4,28.2,0.0,304.0,5.9,1014.1
2021-08-04,21.1,18.6,25.6,0.5,76.0,6.4,1011.4
2021-08-05,23.0,17.2,28.4,0.3,252.0,14.7,1005.9
2021-08-06,23.6,16.9,30.3,0.0,181.0,5.7,1007.1
2021-08-07,24.4,17.4,30.4,0.0,95.0,8.1,1008.1
2021-08-08,25.0,18.2,31.7,0.0,188.0,5.5,1010.0
