time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-11.4,-18.3,-4.5,0.9,209.0,8.3,1018.6
2021-01-02,-2.6,-6.4,1.2,0.1,180.0,23.4,1006.0
2021-01-03,0.2,-4.3,4.8,0.1,192.0,27.7,998.6
2021-01-04,-4.0,-10.4,2.3,1.9,276.0,18.5,1005.9
2021-01-05,-9.6,-14.6,-4.6,0.0,104.0,10.4,1020.2
2021-01-06,-2.7,-5.8,0.4,0.0,144.0,18.0,1024.5
2021-01-07,-1.5,-3.4,0.3,0.0,179.0,22.3,1026.8
2021-01-08,-3.1,-5.7,-0.5,0.3,225.0,10.4,1030.7
2021-01-09,-7.1,-11.0,-3.1,0.0,197.0,11.0,1029.6
2021-01-10,-7.4,-12.2,-2.6,0.0,201.0,21.3,1020.5
2021-01-11,-7.8,-11.9,-3.8,0.0,202.0,9.3,1014.4
2021-01-12,-3.6,-6.6,-0.7,0.0,196.0,21.1,1007.7
2021-01-13,-4.1,-11.9,3.7,0.0,136.0,13.0,1001.2
2021-01-14,-0.3,-2.3,1.6,4.6,50.0,19.4,998.1
2021-01-15,-6.9,-11.9,-2.0,0.8,341.0,29.5,1017.0
2021-01-16,-9.3,-12.0,-6.6,0.0,167.0,6.8,1013.7
2021-01-17,-11.5,-15.8,-7.2,0.5,328.0,23.5,1014.0
2021-01-18,-18.6,-22.1,-15.2,0.0,340.0,13.5,1021.1
2021-01-19,-18.9,-23.8,-14.0,0.0,309.0,17.8,1025.0
2021-01-20,-6.0,-14.1,2.1,7.0,241.0,31.3,992.5
2021-01-21,-18.6,-24.1,-13.1,0.6,347.0,24.5,1016.0
2021-01-22,-16.5,-20.0,-13.1,0.0,195.0,11.0,1021.3
2021-01-23,-10.0,-15.3,-4.8,3.2,163.0,22.8,1016.0
2021-01-24,-21.7,-28.1,-15.3,0.0,282.0,15.2,1025.0
2021-01-25,-29.9,-34.1,-25.8,0.0,315.0,6.4,1032.5
2021-01-26,-29.8,-34.1,-25.5,0.0,299.0,3.8,1034.5
2021-01-27,-27.9,-33.7,-22.1,0.0,136.0,5.3,1040.2
2021-01-28,-19.3,-26.7,-11.9,0.0,100.0,19.4,1036.8
2021-01-29,-12.9,-18.9,-6.9,0.0,110.0,19.9,1026.0
2021-01-30,-5.9,-7.8,-4.0,0.3,94.0,12.1,1019.7
2021-01-31,-7.1,-8.8,-5.4,1.9,316.0,9.3,1026.4
