time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-2.7,-4.6,-0.8,,344.0,,1013.5
2021-01-02,-6.1,-9.4,-4.6,0.5,325.0,4.6,1019.5
2021-01-03,-12.1,-18.9,-7.0,0.0,269.0,5.1,1029.4
2021-01-04,-19.3,-21.1,-15.1,0.0,352.0,3.9,1034.5
2021-01-05,-22.3,-23.3,-20.5,0.0,360.0,1.7,1032.8
2021-01-06,-21.2,-24.9,-14.4,1.2,360.0,1.0,1029.8
2021-01-07,-11.8,-14.3,-10.3,6.6,360.0,2.2,1024.5
2021-01-08,-11.4,-12.2,-10.3,0.9,360.0,2.1,1022.3
2021-01-09,-10.2,-11.8,-5.9,0.4,4.0,1.9,1019.7
2021-01-10,-7.2,-13.9,-3.8,8.7,107.0,10.5,1010.9
2021-01-11,-12.0,-14.2,-8.8,8.1,343.0,6.6,1010.8
2021-01-12,-11.7,-15.2,-8.2,21.6,82.0,16.1,1012.4
2021-01-13,-20.2,-30.3,-15.7,0.4,23.0,6.7,1027.0
2021-01-14,-25.1,-32.7,-17.7,0.0,333.0,2.9,1027.9
2021-01-15,-14.2,-18.5,-10.4,0.2,305.0,4.8,1023.2
2021-01-16,-15.5,-21.3,-10.1,0.0,295.0,4.3,1021.9
2021-01-17,-22.0,-24.1,-18.6,0.0,335.0,4.1,1015.5
2021-01-18,-22.9,-25.0,-20.7,1.9,336.0,2.6,1010.2
2021-01-19,-19.2,-26.5,-13.4,1.4,337.0,4.0,1010.9
2021-01-20,-12.1,-12.8,-11.1,6.5,1.0,3.3,1011.8
2021-01-21,-12.2,-12.6,-11.8,21.4,54.0,13.9,1006.1
2021-01-22,-11.9,-13.1,-11.2,19.3,80.0,20.4,996.1
2021-01-23,-13.0,-14.3,-12.4,15.8,35.0,13.1,993.5
2021-01-24,-15.5,-19.6,-14.7,2.1,320.0,5.9,999.7
2021-01-25,-19.1,-22.6,-14.9,1.4,305.0,3.0,1004.4
2021-01-26,-14.9,-20.4,-10.8,0.4,286.0,6.3,1007.4
2021-01-27,-10.7,-17.7,-8.2,1.9,301.0,9.6,1007.8
2021-01-28,-10.8,-11.9,-9.4,2.6,322.0,9.2,1006.7
2021-01-29,-22.3,-30.4,-12.1,0.0,301.0,4.9,1006.2
2021-01-30,-15.5,-28.8,-9.8,5.5,301.0,10.9,999.2
2021-01-31,-9.2,-10.9,-8.0,4.1,313.0,9.9,993.0
2021-02-01,-9.8,-12.0,-8.4,1.4,331.0,8.7,998.1
2021-02-02,-20.1,-24.6,-12.7,3.7,285.0,4.0,1011.8
2021-02-03,-13.0,-16.4,-10.1,2.8,318.0,9.9,1018.8
2021-02-04,-6.6,-10.1,-4.5,0.7,336.0,13.2,1022.2
2021-02-05,-7.8,-14.6,-4.6,0.0,333.0,9.0,1029.2
