time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,3.3,0.6,6.1,,279.0,8.2,1018.6
2021-01-02,2.3,-1.0,7.5,,2.0,4.1,1020.6
2021-01-03,2.1,-2.0,6.1,,249.0,6.2,1018.9
2021-01-04,2.4,-0.2,5.5,,280.0,3.7,1015.5
2021-01-05,0.9,-2.5,5.5,,354.0,3.9,1012.0
2021-01-06,0.9,-2.5,6.5,,75.0,3.8,1017.4
2021-01-07,1.4,-1.7,6.2,,56.0,4.4,1012.3
2021-01-08,0.7,-2.2,5.2,,46.0,8.9,1010.4
2021-01-09,1.4,-0.7,4.6,,25.0,12.0,1006.5
2021-01-10,3.0,0.5,8.2,,48.0,6.8,1014.4
2021-01-11,1.7,-2.4,7.1,,47.0,4.6,1025.6
2021-01-12,2.4,-1.7,8.1,,34.0,3.5,1029.8
2021-01-13,2.7,-1.5,9.0,,57.0,2.9,1029.9
2021-01-14,2.4,-1.5,7.6,,8.0,2.8,1027.4
2021-01-15,3.7,0.7,9.7,,48.0,3.0,1027.7
2021-01-16,1.9,-2.2,7.0,,73.0,3.0,1030.7
2021-01-17,0.9,-5.0,8.0,,8.0,2.3,1030.4
2021-01-18,4.1,-0.5,11.0,,39.0,3.0,1028.0
2021-01-19,4.3,0.5,8.5,,72.0,3.5,1022.0
2021-01-20,8.4,5.8,10.0,,203.0,12.1,1009.1
2021-01-21,9.9,8.3,12.6,,222.0,21.7,1015.0
2021-01-22,7.1,5.5,10.2,,231.0,18.7,1018.3
2021-01-23,9.0,6.1,13.0,,229.0,18.6,1023.9
2021-01-24,9.0,7.5,11.7,,243.0,10.4,1022.4
2021-01-25,11.4,9.4,12.2,,206.0,11.3,1016.9
2021-01-26,12.4,11.2,14.0,,208.0,9.9,1023.2
2021-01-27,11.5,10.5,12.6,,196.0,4.4,1027.9
2021-01-28,11.9,9.6,15.3,,228.0,5.5,1027.2
2021-01-29,11.9,10.0,15.2,,197.0,8.4,1025.3
2021-01-30,9.9,8.5,11.7,,257.0,20.6,1022.3
2021-01-31,11.0,8.2,14.1,,252.0,15.3,1016.9
2021-02-01,11.3,10.5,13.4,,238.0,12.8,1020.9
2021-02-02,11.2,10.1,13.2,,199.0,11.4,1015.7
2021-02-03,10.2,7.5,13.2,,207.0,11.3,1011.4
2021-02-04,7.1,6.0,8.6,,102.0,4.2,1011.3
2021-02-05,6.7,4.7,8.2,,15.0,7.5,1005.8
2021-02-06,6.7,4.7,8.7,,13.0,12.2,1004.4
2021-02-07,4.3,0.2,7.7,,170.0,5.6,1008.2
2021-02-08,7.3,6.2,9.0,,233.0,16.2,1004.2
2021-02-09,7.2,4.5,8.7,,213.0,14.2,1001.5
2021-02-10,9.2,7.1,12.0,,234.0,10.7,1011.3
2021-02-11,11.3,7.7,14.1,,193.0,5.9,1017.2
2021-02-12,10.6,7.2,14.0,,247.0,8.6,1022.5
2021-02-13,9.1,5.9,12.7,,122.0,2.7,1027.3
2021-02-14,10.7,6.5,17.1,,124.0,3.9,1026.7
2021-02-15,11.8,7.6,19.0,,83.0,4.7,1026.3
2021-02-16,10.0,9.0,11.0,,192.0,8.0,1024.3
2021-02-17,9.6,7.0,12.2,,182.0,4.1,1020.7
2021-02-18,9.7,8.5,12.0,,194.0,11.6,1015.7
2021-02-19,10.7,8.7,13.4,,180.0,7.0,1014.3
2021-02-20,9.7,7.7,11.6,,147.0,5.5,1006.7
2021-02-21,7.2,5.0,9.2,,301.0,8.0,1008.6
2021-02-22,6.9,2.0,13.0,,189.0,5.4,1019.7
2021-02-23,9.2,5.0,14.7,,84.0,4.2,1028.4
2021-02-24,9.9,5.2,15.6,,95.0,5.7,1027.5
2021-02-25,8.6,7.5,10.2,,53.0,5.0,1026.6
2021-02-26,11.0,7.7,15.7,,49.0,4.2,1028.1
2021-02-27,11.5,7.5,17.2,,63.0,4.5,1025.7
2021-02-28,9.1,3.2,15.0,,89.0,4.4,1019.3
2021-03-01,9.8,7.4,13.0,,109.0,5.0,1018.4
2021-03-02,9.7,8.1,12.5,,180.0,3.3,1024.2
2021-03-03,11.2,6.5,17.6,,50.0,3.8,1026.4
2021-03-04,11.2,8.6,14.7,,63.0,3.2,1019.2
2021-03-05,12.3,9.0,17.6,,73.0,6.3,1016.2
2021-03-06,9.9,5.1,15.0,,114.0,4.4,1020.3
2021-03-07,9.8,5.7,15.5,,275.0,5.3,1017.4
2021-03-08,8.5,5.2,13.5,,57.0,6.2,1016.5
2021-03-09,7.2,2.6,12.6,,146.0,5.7,1020.9
2021-03-10,8.2,2.5,14.0,,245.0,5.0,1023.8
2021-03-11,10.1,8.7,12.2,,218.0,9.2,1025.5
2021-03-12,9.0,6.2,13.5,,282.0,10.5,1025.2
2021-03-13,7.5,3.6,11.5,,250.0,5.6,1026.1
2021-03-14,9.3,3.5,15.5,,17.0,7.8,1028.0
2021-03-15,11.0,4.6,18.5,,44.0,6.2,1027.0
2021-03-16,11.7,5.2,18.0,,68.0,7.8,1027.7
2021-03-17,12.0,6.0,19.7,,78.0,7.2,1026.5
2021-03-18,9.9,4.5,15.2,,56.0,10.4,1022.5
2021-03-19,8.1,2.5,15.5,,24.0,12.0,1018.5
2021-03-20,7.8,1.7,14.2,,67.0,7.1,1020.7
2021-03-21,8.3,1.7,16.5,,64.0,5.6,1025.9
2021-03-22,9.9,3.5,17.2,,72.0,4.7,1022.3
2021-03-23,12.0,6.0,20.0,,187.0,5.3,1023.0
2021-03-24,9.4,3.2,17.1,,188.0,5.6,1024.9
2021-03-25,9.6,3.2,18.6,,239.0,5.9,1023.5
2021-03-26,9.1,4.5,14.2,,263.0,8.7,1024.1
2021-03-27,10.7,4.5,17.0,,73.0,4.6,1026.2
2021-03-28,,,,,,,
2021-03-29,14.0,12.1,16.1,,48.0,5.4,1023.8
2021-03-30,14.9,11.2,19.5,,45.0,4.6,1022.6
2021-03-31,18.3,12.5,25.1,,70.0,6.6,1016.0
2021-04-01,15.2,11.5,19.0,,165.0,5.4,1012.6
2021-04-02,12.4,10.2,15.2,,244.0,6.5,1017.0
2021-04-03,14.3,7.0,22.2,,44.0,3.5,1016.1
2021-04-04,13.8,7.2,21.2,,37.0,5.1,1017.2
2021-04-05,14.9,8.5,22.0,,23.0,5.3,1018.4
2021-04-06,14.9,8.7,22.5,,221.0,6.9,1014.9
2021-04-07,11.6,4.2,18.2,,72.0,7.4,1017.2
2021-04-08,14.3,9.7,21.0,,138.0,6.5,1018.4
2021-04-09,13.0,10.2,18.5,,189.0,6.8,1015.6
2021-04-10,10.7,8.7,14.7,,162.0,4.8,1012.1
2021-04-11,12.7,9.5,18.0,,11.0,5.1,1015.1
2021-04-12,9.9,3.5,14.7,,60.0,8.0,1023.8
2021-04-13,9.9,7.7,11.5,,24.0,5.4,1021.5
2021-04-14,14.0,10.1,19.2,,52.0,4.8,1017.1
2021-04-15,14.3,8.7,20.5,,51.0,7.1,1015.6
2021-04-16,13.0,7.5,19.2,,61.0,5.2,1017.9
2021-04-17,11.2,4.0,18.2,,70.0,5.7,1020.6
2021-04-18,12.6,6.5,19.6,,57.0,6.2,1021.5
2021-04-19,13.6,10.1,18.5,,264.0,8.5,1018.3
2021-04-20,11.7,9.0,15.5,,242.0,9.2,1015.4
2021-04-21,10.0,7.2,14.2,,123.0,5.1,1012.1
2021-04-22,12.9,9.2,18.0,,273.0,4.8,1012.9
2021-04-23,13.5,10.5,17.2,,89.0,5.3,1013.2
2021-04-24,15.4,12.2,19.2,,131.0,3.6,1011.9
2021-04-25,13.5,11.2,17.7,,59.0,2.7,1009.6
2021-04-26,13.4,9.5,19.0,,318.0,5.7,1007.6
2021-04-27,13.3,9.6,17.7,,239.0,7.4,1006.7
2021-04-28,12.1,10.5,16.1,,253.0,4.8,1006.8
2021-04-29,10.4,7.6,13.6,,244.0,8.3,1009.0
2021-04-30,9.8,4.2,14.7,,268.0,6.9,1011.3
2021-05-01,9.5,4.5,15.0,,301.0,9.8,1015.3
2021-05-02,9.8,4.0,15.7,,34.0,4.7,1018.4
2021-05-03,13.0,7.2,19.6,,39.0,7.4,1019.4
2021-05-04,13.8,7.0,20.5,,251.0,9.8,1019.2
2021-05-05,13.9,6.7,21.5,,253.0,8.4,1018.9
2021-05-06,13.5,7.6,20.0,,242.0,9.3,1019.4
2021-05-07,15.3,8.5,23.1,,201.0,7.2,1019.6
2021-05-08,15.7,9.1,23.5,,246.0,6.9,1013.5
2021-05-09,10.4,8.5,14.6,,208.0,7.5,1006.3
2021-05-10,8.5,7.1,12.7,,234.0,8.4,1011.2
2021-05-11,9.1,5.7,12.7,,241.0,11.0,1019.6
2021-05-12,11.2,8.7,13.7,,251.0,15.2,1019.3
2021-05-13,11.0,8.7,13.7,,236.0,9.8,1018.2
2021-05-14,12.3,6.6,17.6,,232.0,9.6,1019.8
2021-05-15,13.3,11.2,15.2,,212.0,9.9,1018.2
2021-05-16,14.6,11.0,17.7,,252.0,12.0,1018.0
2021-05-17,13.7,7.5,20.1,,220.0,7.4,1021.3
2021-05-18,14.2,10.5,18.6,,240.0,8.6,1021.8
2021-05-19,15.4,7.2,22.7,,43.0,7.1,1024.7
2021-05-20,17.7,10.5,25.2,,297.0,6.2,1023.0
2021-05-21,12.7,9.5,16.2,,235.0,11.3,1019.3
2021-05-22,11.1,8.5,15.0,,282.0,9.2,1019.0
2021-05-23,10.3,4.0,16.7,,267.0,9.0,1021.0
2021-05-24,12.7,10.0,16.5,,274.0,10.6,1023.0
2021-05-25,15.1,7.0,22.7,,36.0,7.1,1024.7
2021-05-26,18.7,12.1,25.5,,347.0,7.7,1019.2
2021-05-27,18.6,12.5,26.1,,243.0,5.9,1016.1
2021-05-28,18.8,11.5,26.7,,215.0,6.6,1017.4
2021-05-29,19.3,12.1,27.1,,243.0,5.3,1020.2
2021-05-30,21.2,14.2,28.5,,257.0,5.6,1017.4
2021-05-31,20.5,14.5,27.2,,331.0,7.5,1012.6
2021-06-01,14.7,11.4,18.6,,216.0,6.5,1012.3
2021-06-02,14.0,9.2,20.1,,239.0,8.5,1015.5
2021-06-03,14.4,8.1,20.2,,254.0,7.5,1019.8
2021-06-04,15.8,7.5,24.2,,294.0,6.5,1023.0
2021-06-05,19.5,13.0,26.7,,341.0,6.8,1023.4
2021-06-06,19.5,12.7,27.0,,272.0,5.3,1022.7
2021-06-07,20.0,13.2,27.7,,295.0,5.9,1021.5
2021-06-08,19.6,12.0,28.0,,230.0,6.8,1021.7
2021-06-09,21.4,13.5,29.2,,311.0,6.5,1021.8
2021-06-10,22.5,16.5,29.6,,297.0,5.6,1019.5
2021-06-11,22.8,16.7,31.6,,52.0,6.0,1016.9
2021-06-12,21.6,16.5,28.5,,43.0,6.2,1019.3
2021-06-13,19.2,16.0,27.1,,64.0,5.3,1021.4
2021-06-14,21.1,13.5,29.5,,13.0,4.7,1020.6
2021-06-15,22.4,16.5,30.7,,38.0,6.2,1018.1
2021-06-16,19.1,16.1,24.6,,200.0,5.7,1013.4
2021-06-17,16.8,14.2,21.0,,224.0,7.1,1011.5
2021-06-18,15.0,12.0,18.7,,210.0,4.8,1013.3
2021-06-19,13.5,9.1,18.7,,236.0,6.2,1016.3
2021-06-20,12.2,9.7,14.8,,205.0,10.4,1011.5
2021-06-21,13.7,11.1,17.2,,226.0,7.5,1014.0
2021-06-22,15.1,9.5,21.2,,28.0,9.0,1019.2
2021-06-23,16.6,10.5,22.7,,28.0,8.1,1021.2
2021-06-24,19.3,12.0,26.5,,48.0,6.0,1021.7
