time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-19.7,-21.9,-17.4,0.0,312.0,13.8,1022.3
2021-01-02,-18.5,-22.1,-16.5,0.0,359.0,12.3,1027.8
2021-01-03,-14.8,-28.0,-12.6,0.0,3.0,7.8,1028.1
2021-01-04,-13.9,-17.2,-10.8,0.0,13.0,4.7,1029.0
2021-01-05,-16.8,-18.9,-14.7,0.0,1.0,8.6,1028.4
2021-01-06,-17.6,-19.9,-14.5,0.0,0.0,7.1,1023.5
2021-01-07,-20.8,-24.0,-17.8,0.0,337.0,18.8,1017.9
2021-01-08,-22.2,-24.2,-20.6,0.0,345.0,14.7,1019.7
2021-01-09,-18.8,-29.0,-16.6,0.0,338.0,7.1,1018.5
2021-01-10,-14.4,-19.6,-12.3,0.0,3.0,5.7,1022.6
2021-01-11,-10.4,-26.0,-8.0,,25.0,3.8,1025.3
2021-01-12,-6.6,-10.7,-5.3,5.1,2.0,3.6,1014.0
2021-01-13,-6.5,-11.9,-2.4,0.0,349.0,4.4,1008.5
2021-01-14,-10.2,-12.2,-8.2,0.0,335.0,7.5,1021.7
2021-01-15,-13.6,-16.1,-9.1,,353.0,9.6,1019.3
2021-01-16,-16.9,-20.6,-14.2,0.0,353.0,18.5,1022.1
2021-01-17,-13.8,-33.0,-12.0,0.0,12.0,3.6,1022.0
2021-01-18,-16.4,-23.2,-9.7,0.0,19.0,14.0,1016.1
2021-01-19,-18.8,-23.5,-17.0,0.0,357.0,15.8,1031.0
2021-01-20,-8.7,-28.0,-6.0,0.5,61.0,5.9,1028.9
2021-01-21,-4.1,-9.5,0.5,,337.0,6.2,1021.0
2021-01-22,-10.9,-13.1,-8.3,,326.0,14.6,1024.3
2021-01-23,-6.6,-14.3,-2.9,0.0,346.0,3.3,1028.6
2021-01-24,-4.2,-9.4,0.2,0.0,41.0,6.5,1027.2
2021-01-25,-5.1,-10.4,-3.0,0.3,284.0,11.6,1029.5
2021-01-26,-2.3,-6.9,0.0,9.9,124.0,11.1,1018.3
2021-01-27,-8.7,-13.6,-5.8,0.0,325.0,10.8,1019.4
2021-01-28,-15.7,-18.8,-13.0,7.1,343.0,12.2,1014.4
2021-01-29,-20.1,-24.0,-17.1,0.0,346.0,29.4,1016.5
2021-01-30,-20.4,-24.2,-16.8,0.0,321.0,9.3,1023.5
2021-01-31,-12.1,-22.7,-12.0,1.0,328.0,5.6,1029.8
2021-02-01,-11.3,-18.6,-1.8,,350.0,9.0,1011.8
2021-02-02,-17.6,-19.4,-14.7,0.0,332.0,12.2,1017.6
2021-02-03,-14.5,-17.9,-10.6,0.0,6.0,7.7,1019.3
2021-02-04,-14.8,-20.8,-11.9,0.0,354.0,6.5,1019.4
2021-02-05,-7.8,-29.0,-4.0,0.0,23.0,5.0,1014.6
2021-02-06,-10.6,-15.1,-5.6,0.0,336.0,10.4,1012.0
2021-02-07,-13.7,-17.4,-9.6,0.0,342.0,13.1,1021.0
2021-02-08,-12.6,-17.0,-8.9,0.0,319.0,12.6,1022.3
2021-02-09,-9.3,-20.0,-7.0,,295.0,7.8,1020.9
2021-02-10,-4.7,-22.0,-2.9,,5.0,6.8,1018.4
2021-02-11,-8.5,-19.0,3.0,,7.0,13.0,1022.9
2021-02-12,-1.0,-10.0,6.0,,145.0,25.8,1022.9
2021-02-13,-0.6,-1.0,5.0,,109.0,10.0,1023.5
2021-02-14,-3.5,-8.5,-0.1,,344.0,9.2,1017.6
2021-02-15,-12.2,-15.2,-8.5,5.3,345.0,22.4,1007.8
2021-02-16,-13.4,-16.0,-10.8,0.0,327.0,27.2,1004.5
2021-02-17,-11.3,-14.0,-9.6,0.0,325.0,23.1,1004.8
2021-02-18,-7.3,-13.0,-5.4,0.0,348.0,21.2,1011.8
2021-02-19,-3.3,-18.0,-1.5,,62.0,9.2,1005.7
2021-02-20,-2.0,-6.0,1.0,,287.0,18.3,1001.1
2021-02-21,-4.8,-11.0,-1.0,,346.0,17.3,1011.3
2021-02-22,-6.9,-12.0,-1.3,0.0,327.0,17.6,1013.1
2021-02-23,-10.6,-14.5,-6.8,0.0,334.0,19.8,1021.6
2021-02-24,-9.5,-15.0,-6.8,0.0,326.0,13.0,1026.8
2021-02-25,-6.1,-10.2,0.2,0.0,4.0,7.5,1023.3
2021-02-26,-9.1,-13.3,-5.1,0.0,340.0,12.3,1029.5
2021-02-27,-4.0,-18.0,-1.0,0.0,212.0,13.1,1033.0
2021-02-28,-0.9,-6.3,0.9,0.0,164.0,15.6,1024.6
2021-03-01,-10.4,-15.2,-6.3,0.0,12.0,21.8,1027.3
2021-03-02,-12.1,-16.3,-9.1,0.0,349.0,18.3,1026.8
2021-03-03,-2.8,-18.0,1.0,2.8,148.0,13.8,1027.1
2021-03-04,0.9,-0.3,2.7,0.0,148.0,13.1,1018.3
2021-03-05,-5.3,-15.3,5.9,0.0,46.0,14.3,1018.0
2021-03-06,-10.5,-15.6,-8.1,0.0,4.0,22.2,1034.7
2021-03-07,-4.0,-11.2,-1.9,0.0,84.0,9.6,1029.7
2021-03-08,-0.6,-2.1,2.1,0.0,129.0,8.3,1027.4
2021-03-09,0.3,-2.3,2.3,0.0,166.0,17.0,1018.2
2021-03-10,0.4,-2.7,4.5,,325.0,16.7,1026.1
2021-03-11,1.7,-0.1,4.4,0.0,61.0,8.5,1023.9
2021-03-12,1.8,-1.8,6.9,0.0,345.0,10.4,1027.0
2021-03-13,4.1,-1.8,7.9,0.0,295.0,6.9,1021.2
2021-03-14,6.1,2.1,9.8,0.0,349.0,7.8,1016.5
2021-03-15,2.7,0.8,4.7,4.1,127.0,15.5,1012.2
2021-03-16,-0.8,-4.2,2.9,0.0,321.0,19.8,1008.9
2021-03-17,-0.1,-2.7,3.9,0.0,338.0,14.4,1019.4
2021-03-18,1.9,-3.2,6.5,0.0,328.0,10.8,1022.7
2021-03-19,3.2,0.5,7.4,0.3,295.0,7.6,1023.8
2021-03-20,-0.9,-1.7,2.0,9.9,125.0,12.8,1019.4
2021-03-21,-0.4,-0.9,3.0,6.1,239.0,9.3,1006.4
2021-03-22,3.5,0.0,7.0,,313.0,16.4,1008.1
2021-03-23,3.4,-0.3,8.0,0.0,90.0,11.0,1009.6
2021-03-24,2.9,-1.5,8.7,0.0,255.0,9.5,1014.4
2021-03-25,2.6,-1.8,11.1,0.0,284.0,13.8,1017.0
2021-03-26,3.6,0.2,9.7,0.5,273.0,9.3,1020.8
2021-03-27,5.8,2.0,9.0,,163.0,18.2,1015.9
2021-03-28,6.1,5.0,8.5,33.0,81.0,11.7,1002.1
2021-03-29,7.6,4.6,10.4,1.0,263.0,8.3,997.1
2021-03-30,7.6,4.6,10.4,0.0,289.0,9.0,1005.9
2021-03-31,7.8,3.7,12.4,0.0,308.0,9.0,1016.1
