time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.3,-5.0,-1.6,,94.0,22.4,1024.9
2021-01-02,-0.6,-3.0,1.0,,168.0,12.8,1025.4
2021-01-03,0.4,-0.2,1.2,,310.0,8.0,1034.2
2021-01-04,-0.7,-2.1,0.2,,149.0,20.9,1036.7
2021-01-05,-3.8,-5.7,-0.7,,121.0,26.9,1033.1
2021-01-06,-4.9,-9.0,-2.0,,121.0,21.3,1028.7
2021-01-07,-0.1,-3.3,1.7,,164.0,14.0,1025.0
2021-01-08,2.0,-0.8,4.3,,173.0,21.2,1018.0
2021-01-09,2.9,1.5,6.0,,163.0,21.8,1012.5
2021-01-10,-0.6,-2.0,2.0,,270.0,24.0,1015.6
2021-01-11,-2.7,-4.1,-0.8,,289.0,21.5,1018.7
2021-01-12,-5.3,-7.0,-4.7,,285.0,9.3,1024.1
2021-01-13,-2.4,-7.1,-0.7,,111.0,33.0,1015.2
2021-01-14,-1.7,-2.1,0.0,,133.0,11.6,1006.0
2021-01-15,-6.0,-9.0,-1.9,,51.0,14.7,1005.0
2021-01-16,-9.9,-14.0,-3.8,,246.0,29.0,1010.2
2021-01-17,-13.5,-18.6,-10.7,,335.0,12.8,1013.8
2021-01-18,-11.4,-12.4,-11.0,,69.0,19.8,1013.1
2021-01-19,-12.2,-14.0,-9.0,,245.0,11.4,1016.8
2021-01-20,-20.2,-23.1,-13.0,,268.0,15.2,1021.2
2021-01-21,-17.6,-23.9,-14.9,,261.0,16.1,1027.6
2021-01-22,-2.8,-18.8,1.1,,248.0,26.0,1022.7
2021-01-23,1.3,-2.5,3.0,,221.0,18.0,1024.1
2021-01-24,0.6,-1.0,2.3,,144.0,17.6,1024.5
2021-01-25,0.1,-2.1,1.1,,130.0,20.0,1022.0
2021-01-26,0.7,0.0,1.0,,144.0,22.2,1020.0
2021-01-27,0.3,-0.3,1.1,,135.0,23.6,1017.3
2021-01-28,-1.9,-2.4,0.1,,103.0,17.3,1008.9
2021-01-29,-0.1,-2.4,1.0,,235.0,16.1,1009.7
2021-01-30,0.9,-1.7,3.0,,179.0,22.8,1010.3
2021-01-31,-0.2,-2.2,2.0,,159.0,24.8,1008.9
2021-02-01,1.8,-0.5,3.3,,158.0,15.5,1017.3
2021-02-02,3.0,1.0,5.0,,176.0,26.0,1016.3
2021-02-03,5.2,3.4,6.2,,222.0,12.3,1016.5
2021-02-04,7.1,4.1,9.5,,202.0,17.3,1012.4
2021-02-05,3.8,-2.0,7.5,,231.0,29.1,1002.8
2021-02-06,-5.8,-7.5,-3.0,,291.0,34.5,1010.7
2021-02-07,-10.3,-12.4,-5.9,,299.0,26.4,1013.7
2021-02-08,-10.4,-13.1,-7.5,,301.0,17.1,1021.2
2021-02-09,-9.9,-14.0,-7.0,,103.0,30.8,1019.7
2021-02-10,-0.8,-9.6,0.5,,202.0,17.0,1012.9
2021-02-11,2.1,-1.1,5.0,,192.0,17.5,1014.0
2021-02-12,2.5,0.9,4.0,,126.0,21.5,1011.8
2021-02-13,-4.6,-6.0,-0.9,,236.0,35.1,1011.8
2021-02-14,-8.8,-10.1,-5.8,,249.0,38.4,1017.2
2021-02-15,-9.5,-13.4,-6.0,,297.0,17.3,1022.4
2021-02-16,-11.3,-12.4,-9.3,,85.0,15.6,1025.3
2021-02-17,-11.9,-14.1,-8.6,,67.0,15.3,1022.7
2021-02-18,-9.8,-18.0,-4.6,,218.0,8.0,1020.2
2021-02-19,-8.4,-12.4,-4.0,,266.0,13.5,1024.2
2021-02-20,-7.3,-12.0,-3.5,,280.0,15.0,1028.8
2021-02-21,-2.7,-8.0,-1.0,,258.0,16.6,1026.5
2021-02-22,-3.8,-9.0,1.0,,300.0,24.6,1018.0
2021-02-23,-19.3,-22.0,-11.0,,2.0,25.2,1030.8
2021-02-24,-19.0,-25.1,-14.6,,333.0,18.0,1039.1
