time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-32.2,-33.6,-30.6,0.0,,,
2021-01-02,-28.4,-33.0,-27.0,0.0,95.0,10.3,1045.0
2021-01-03,-21.3,-28.3,-18.8,0.0,151.0,14.7,1043.0
2021-01-04,-16.6,-27.4,-12.4,0.0,199.0,11.3,1042.4
2021-01-05,-21.6,-24.9,-18.3,0.0,200.0,13.9,1043.6
2021-01-06,-13.5,-21.3,-11.4,0.3,207.0,19.9,1041.0
2021-01-07,-11.9,-19.7,-7.7,0.5,211.0,17.3,1036.8
2021-01-08,-16.8,-21.5,-19.5,0.3,216.0,8.1,1031.9
2021-01-09,-18.4,-22.5,-12.0,0.5,41.0,12.9,1032.4
2021-01-10,-26.4,-27.4,-23.0,0.0,70.0,10.9,1036.5
2021-01-11,-25.0,-30.0,-24.7,0.0,242.0,4.7,1036.4
2021-01-12,-18.5,-26.5,-15.0,0.8,224.0,13.6,1033.7
2021-01-13,-18.9,-23.1,-14.2,2.5,242.0,26.4,1029.5
2021-01-14,-25.7,-29.7,-23.3,1.0,215.0,25.0,1029.3
2021-01-15,-25.9,-30.0,-25.3,0.0,97.0,8.1,1020.6
2021-01-16,-27.0,-30.7,-25.0,0.0,225.0,8.2,1014.4
2021-01-17,-30.3,-33.4,-27.6,0.3,48.0,17.7,1004.6
2021-01-18,-25.4,-28.6,-25.9,1.5,352.0,23.6,1006.6
2021-01-19,-25.8,-35.1,-26.5,0.8,108.0,12.1,1016.1
2021-01-20,-21.8,-32.5,-21.1,0.5,88.0,22.0,1017.2
2021-01-21,-23.6,-31.0,-20.2,0.5,84.0,25.5,1020.5
2021-01-22,-33.8,-37.1,-31.5,0.0,68.0,13.3,1027.1
2021-01-23,-36.6,-37.7,-35.9,0.0,83.0,11.4,1033.1
2021-01-24,-27.4,-37.6,-22.4,0.0,135.0,23.2,1029.6
2021-01-25,-23.2,-27.3,-21.2,3.0,143.0,28.2,1021.2
2021-01-26,-30.5,-33.8,-24.1,0.0,39.0,20.5,1016.7
2021-01-27,-33.3,-38.6,-29.0,0.0,44.0,15.2,1024.4
2021-01-28,-24.6,-32.9,-21.4,1.3,90.0,21.0,1014.8
