time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,2.3,-1.2,5.6,,338.0,8.6,1013.8
2021-01-02,0.6,-1.5,3.6,0.0,352.0,8.6,1018.1
2021-01-03,3.2,0.6,5.7,0.0,22.0,11.9,1022.8
2021-01-04,3.0,0.1,4.7,0.1,24.0,13.6,1027.2
2021-01-05,2.1,0.0,4.5,0.0,7.0,10.7,1027.0
2021-01-06,0.9,-1.9,4.6,0.0,30.0,7.3,1023.6
2021-01-07,-0.4,-2.7,1.2,1.0,76.0,9.5,1017.7
2021-01-08,1.9,1.0,3.1,0.9,9.0,9.7,1020.5
2021-01-09,2.7,-0.2,5.6,0.0,236.0,12.5,1025.5
2021-01-10,6.4,5.7,7.0,0.3,261.0,18.7,1022.3
2021-01-11,7.6,7.0,8.5,7.4,255.0,31.7,1011.1
2021-01-12,3.0,0.0,7.5,1.4,355.0,9.3,1014.1
2021-01-13,2.3,1.2,3.7,15.6,79.0,10.2,1016.7
2021-01-14,2.4,1.5,3.5,16.5,56.0,13.3,1018.4
2021-01-15,0.5,-0.9,1.5,0.1,116.0,16.9,1027.9
2021-01-16,5.9,1.7,8.2,11.6,235.0,30.3,1013.8
2021-01-17,6.5,5.7,7.0,1.2,271.0,22.5,1021.3
2021-01-18,6.7,5.7,7.2,3.3,232.0,23.1,1014.8
2021-01-19,8.0,7.5,8.7,26.2,215.0,20.3,994.8
2021-01-20,5.5,3.1,8.6,19.1,285.0,20.3,978.8
2021-01-21,5.1,2.9,6.7,6.0,276.0,35.8,977.4
2021-01-22,4.6,1.7,6.2,1.3,283.0,22.4,988.5
2021-01-23,0.8,-1.5,2.5,1.8,355.0,7.4,994.1
2021-01-24,-0.3,-2.7,2.8,0.0,51.0,9.7,997.9
2021-01-25,4.0,-1.0,6.0,0.5,283.0,19.4,1008.1
2021-01-26,3.4,3.0,4.0,6.1,138.0,14.9,1010.9
2021-01-27,6.1,3.7,8.2,1.0,70.0,9.5,1008.9
2021-01-28,5.5,4.0,7.7,20.9,93.0,16.9,997.6
