time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.7,-14.3,-5.1,0.0,223.0,6.3,1012.5
2021-01-02,-6.7,-9.8,-3.6,0.0,156.0,7.3,999.2
2021-01-03,-3.3,-8.2,1.6,0.0,254.0,8.6,993.2
2021-01-04,-5.0,-10.7,0.7,0.0,248.0,6.9,1006.7
2021-01-05,-7.6,-9.8,-5.5,1.2,105.0,7.5,1010.9
2021-01-06,-5.8,-7.6,-3.9,0.0,188.0,6.7,1014.5
2021-01-07,-3.2,-9.0,2.5,0.0,265.0,4.9,1024.0
2021-01-08,-4.9,-12.1,2.3,0.0,205.0,3.9,1029.9
2021-01-09,-6.2,-14.1,1.8,0.0,237.0,5.9,1027.3
2021-01-10,-8.3,-12.6,-3.9,0.0,334.0,2.3,1018.6
2021-01-11,-5.1,-13.8,3.6,0.0,231.0,5.0,1011.4
2021-01-12,-0.4,-6.2,5.4,0.0,252.0,7.9,1004.4
2021-01-13,-4.2,-8.1,-0.3,16.4,132.0,7.8,994.9
2021-01-14,-4.9,-7.9,-1.9,0.0,335.0,15.8,1016.0
2021-01-15,-11.1,-14.2,-7.9,0.0,190.0,7.7,1023.0
2021-01-16,-5.2,-10.9,0.4,0.0,331.0,11.6,1012.9
2021-01-17,-10.6,-12.5,-8.7,0.0,104.0,5.2,1015.5
2021-01-18,-9.3,-12.4,-6.2,0.9,349.0,6.9,1020.7
2021-01-19,-4.1,-11.1,2.8,0.0,235.0,9.9,1013.3
2021-01-20,-4.3,-11.6,2.9,2.2,308.0,18.9,997.3
2021-01-21,-13.1,-16.6,-9.5,0.0,318.0,9.7,1021.4
2021-01-22,-13.5,-16.7,-10.4,0.7,256.0,6.1,1019.0
2021-01-23,-23.2,-33.7,-12.7,0.2,329.0,8.8,1025.3
2021-01-24,-29.7,-37.5,-21.9,0.0,48.0,1.5,1032.3
2021-01-25,-29.9,-37.3,-22.4,0.0,351.0,0.7,1037.0
2021-01-26,-27.9,-35.5,-20.4,0.0,117.0,5.3,1035.2
2021-01-27,-20.2,-24.0,-16.5,0.0,136.0,12.5,1031.2
