time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.1,-4.5,4.3,0.0,287.0,11.3,1027.4
2021-01-02,1.6,-2.7,5.8,33.4,39.0,21.9,1010.1
2021-01-03,-0.2,-1.4,1.1,0.5,0.0,14.3,1017.5
2021-01-04,1.1,-1.3,3.6,6.8,28.0,19.0,1014.1
2021-01-05,1.7,-0.1,3.5,16.7,26.0,19.7,1007.5
2021-01-06,1.8,0.1,3.4,5.1,347.0,19.5,1000.7
2021-01-07,1.6,0.0,3.3,0.2,329.0,15.9,1004.2
2021-01-08,-1.9,-4.0,0.2,0.2,295.0,13.5,1005.8
2021-01-09,-0.8,-4.3,2.6,0.0,333.0,10.4,1006.2
2021-01-10,-1.4,-6.7,3.9,0.0,333.0,15.1,1012.0
2021-01-11,-0.5,-7.2,6.2,0.2,270.0,9.9,1022.3
2021-01-12,2.7,-0.3,5.8,0.0,262.0,10.5,1015.7
2021-01-13,0.1,-4.1,4.3,0.0,129.0,8.9,1015.1
2021-01-14,3.7,1.1,6.3,0.9,193.0,13.3,1012.1
2021-01-15,0.8,-3.9,5.6,1.0,349.0,8.7,1016.1
2021-01-16,2.0,-3.7,7.7,22.5,65.0,27.3,1012.7
2021-01-17,4.8,3.3,6.4,0.0,216.0,31.0,990.1
2021-01-18,3.1,-1.5,7.7,0.7,242.0,20.3,999.2
2021-01-19,-4.4,-9.6,0.8,0.0,279.0,16.0,1008.0
2021-01-20,-4.8,-10.9,1.2,0.3,298.0,7.2,1009.7
2021-01-21,-5.4,-10.3,-0.4,0.0,299.0,9.2,1007.4
2021-01-22,0.2,-3.4,3.8,13.2,43.0,20.9,1002.0
2021-01-23,-3.6,-7.4,0.3,2.6,313.0,9.9,1002.7
2021-01-24,-5.6,-8.6,-2.5,0.0,281.0,19.0,997.7
2021-01-25,-3.5,-7.0,0.1,0.0,297.0,16.5,1005.6
2021-01-26,-0.5,-5.5,4.5,0.0,315.0,11.2,1013.0
2021-01-27,-1.4,-5.3,2.6,0.0,358.0,9.6,1014.5
2021-01-28,-1.8,-7.0,3.4,0.0,345.0,6.8,1012.5
2021-01-29,-3.2,-5.8,-0.6,0.0,15.0,17.5,1004.2
2021-01-30,-5.8,-10.5,-1.0,0.0,322.0,14.8,1013.9
2021-01-31,-4.6,-10.8,1.6,0.0,319.0,11.8,1021.9
2021-02-01,-0.9,-3.5,1.7,2.2,28.0,16.7,1025.9
2021-02-02,4.7,0.4,9.1,76.0,76.0,38.0,1003.6
2021-02-03,4.7,2.0,7.5,3.0,188.0,15.2,991.2
2021-02-04,2.3,0.0,4.6,0.0,242.0,8.8,1001.9
2021-02-05,2.9,-1.1,7.0,14.2,225.0,15.8,1008.9
2021-02-06,4.2,-0.1,8.5,2.7,229.0,26.2,1007.7
2021-02-07,-1.3,-3.5,1.0,20.5,10.0,16.8,1017.2
2021-02-08,-4.3,-8.2,-0.4,15.1,306.0,24.5,1009.9
2021-02-09,-6.8,-11.3,-2.3,1.0,292.0,13.0,1025.0
2021-02-10,-7.0,-11.0,-3.0,0.0,308.0,13.0,1019.1
2021-02-11,-8.1,-11.8,-4.3,0.0,268.0,15.0,1018.3
2021-02-12,-7.0,-12.3,-1.8,0.2,290.0,13.6,1018.8
2021-02-13,-5.5,-8.9,-2.1,0.0,286.0,12.0,1023.4
2021-02-14,-3.2,-7.7,1.4,0.2,1.0,8.0,1023.9
2021-02-15,-1.3,-3.8,1.2,0.2,20.0,7.0,1023.6
2021-02-16,3.3,-0.7,7.3,11.6,84.0,18.0,1010.9
2021-02-17,-0.3,-6.3,6.9,0.0,276.0,21.3,1012.8
2021-02-18,-4.5,-8.7,-0.2,0.0,301.0,12.0,1028.7
2021-02-19,-2.9,-5.3,-0.6,0.0,30.0,11.4,1023.5
2021-02-20,-5.1,-7.9,-2.4,7.7,352.0,15.7,1010.8
2021-02-21,-4.2,-9.0,0.6,0.0,313.0,14.2,1020.9
2021-02-22,-2.3,-7.7,3.1,1.7,231.0,16.4,1022.4
2021-02-23,3.0,-0.5,6.5,6.6,239.0,24.8,997.9
2021-02-24,4.3,-0.6,9.1,0.0,260.0,14.4,1006.4
