time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.1,0.0,3.9,4.6,335.0,18.7,1014.5
2021-01-02,4.9,1.1,13.3,0.0,213.0,11.2,1019.5
2021-01-03,4.4,-1.6,12.8,0.0,248.0,10.8,1014.3
2021-01-04,6.9,-2.1,17.8,0.0,8.0,9.0,1019.2
2021-01-05,8.4,-1.0,18.3,0.0,160.0,14.8,1018.0
2021-01-06,9.1,3.9,10.6,0.0,344.0,22.3,1014.0
2021-01-07,5.9,1.1,10.0,0.0,340.0,19.8,1021.4
2021-01-08,5.1,-1.0,8.9,0.0,349.0,13.3,1027.3
2021-01-09,1.7,-4.3,8.3,0.0,45.0,8.6,1027.5
2021-01-10,2.0,0.0,3.3,4.1,351.0,11.2,1029.1
2021-01-11,2.4,-1.6,8.9,0.3,295.0,7.9,1029.9
2021-01-12,2.2,-3.8,11.1,0.0,220.0,13.7,1026.4
2021-01-13,5.1,-4.9,17.8,0.0,213.0,18.4,1016.3
2021-01-14,8.6,1.7,15.0,0.0,313.0,28.8,1013.6
2021-01-15,6.6,2.8,11.1,0.0,306.0,30.6,1018.9
2021-01-16,4.8,-2.7,12.8,0.0,284.0,14.0,1018.3
2021-01-17,7.6,1.7,13.9,0.0,277.0,15.5,1019.0
2021-01-18,6.7,-1.6,17.2,0.0,234.0,16.9,1014.7
2021-01-19,9.0,4.4,11.7,0.0,21.0,23.0,1027.7
2021-01-20,5.7,3.9,7.2,0.0,213.0,14.4,1025.3
2021-01-21,9.1,4.4,15.0,0.0,237.0,12.6,1013.3
2021-01-22,8.3,3.9,12.2,0.0,11.0,11.5,1016.4
2021-01-23,7.3,4.4,11.7,0.3,154.0,12.2,1016.0
2021-01-24,12.3,8.3,17.8,4.1,109.0,14.4,1010.6
2021-01-25,9.7,1.7,18.3,5.3,272.0,22.0,1004.9
2021-01-26,4.4,-2.1,9.4,0.0,17.0,15.1,1014.8
2021-01-27,1.8,-3.8,7.2,0.0,5.0,15.1,1027.7
2021-01-28,0.3,-6.6,10.0,0.0,119.0,11.9,1033.2
2021-01-29,6.3,0.0,15.6,0.0,175.0,19.8,1020.6
2021-01-30,14.6,6.1,22.2,0.3,232.0,32.4,1006.3
2021-01-31,7.8,1.1,13.3,0.0,335.0,20.2,1025.0
2021-02-01,5.8,-3.2,15.0,0.0,325.0,9.4,1029.4
2021-02-02,9.3,2.2,19.4,0.0,148.0,16.9,1020.6
2021-02-03,10.3,2.2,23.9,0.0,149.0,19.8,1010.3
2021-02-04,14.8,1.7,17.2,0.0,346.0,26.3,1009.5
2021-02-05,6.3,0.0,15.0,0.0,116.0,11.2,1013.6
2021-02-06,6.7,-0.5,12.8,0.0,57.0,19.1,1012.2
2021-02-07,4.8,0.0,13.3,0.0,106.0,17.3,1014.3
2021-02-08,4.1,-3.8,9.4,0.0,34.0,19.8,1014.2
2021-02-09,-3.6,-5.5,-0.5,0.3,13.0,19.4,1023.2
2021-02-10,-4.3,-5.5,-3.2,0.0,10.0,22.7,1023.8
2021-02-11,-5.3,-6.6,-2.1,0.3,10.0,26.3,1025.8
2021-02-12,-6.1,-8.2,-4.3,0.0,16.0,28.4,1027.4
2021-02-13,-7.2,-9.9,-2.1,0.0,21.0,27.7,1026.7
2021-02-14,-10.1,-14.9,-7.1,3.3,15.0,34.2,1029.3
