time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,29.8,24.5,36.5,,,,
2021-01-02,28.3,22.0,36.0,,,,
2021-01-03,27.3,19.0,35.9,,,,
2021-01-04,28.4,21.3,36.2,,,,
2021-01-05,29.8,23.8,37.5,,,,
2021-01-06,29.2,22.7,37.7,,,,
2021-01-07,30.4,23.9,,,,,
2021-01-08,31.5,21.6,40.5,,,,
2021-01-09,30.2,21.5,38.9,,,,
2021-01-10,27.5,24.0,32.5,,,,
2021-01-11,25.1,19.6,31.5,,,,
2021-01-12,25.5,20.5,33.2,,,,
2021-01-13,28.4,23.2,36.5,,,,
2021-01-14,27.9,21.4,35.0,,,,
2021-01-15,26.9,22.0,33.7,,,,
2021-01-16,24.7,,31.0,,,,
2021-01-17,24.7,19.0,32.5,,,,
2021-01-18,26.2,19.7,32.9,,,,
2021-01-19,25.5,19.7,33.5,,,,
2021-01-20,27.8,19.5,37.5,,,,
2021-01-21,29.5,23.5,37.1,,,,
2021-01-22,28.3,23.3,34.5,,,,
2021-01-23,26.9,21.5,34.5,,,,
2021-01-24,27.3,20.5,35.1,,,,
2021-01-25,27.9,19.8,36.5,,,,
2021-01-26,28.8,23.4,36.5,,,,
2021-01-27,28.8,21.7,36.8,,,,
2021-01-28,28.9,23.3,36.2,,,,
2021-01-29,29.2,23.5,38.0,,,,
2021-01-30,28.3,18.7,37.7,,,,
2021-01-31,28.6,24.5,35.0,,,,
2021-02-01,28.9,22.3,36.5,,,,
2021-02-02,29.8,23.0,37.5,,,,
2021-02-03,29.1,20.5,38.4,,,,
2021-02-04,29.1,20.6,38.8,,,,
2021-02-05,28.6,21.2,38.0,,,,
2021-02-06,27.6,21.6,33.0,,,,
2021-02-07,26.1,21.7,31.3,,,,
2021-02-08,25.6,20.3,32.5,,,,
2021-02-09,28.0,22.5,34.6,,,,
2021-02-10,25.4,23.6,,,,,
2021-02-11,,,,,,,
2021-02-12,,,,,,,
2021-02-13,35.7,,39.5,,,,
2021-02-14,31.7,24.5,39.0,,,,
2021-02-15,32.2,25.4,38.7,,,,
2021-02-16,30.3,25.6,36.0,,,,
2021-02-17,29.1,26.3,34.3,,,,
2021-02-18,28.8,25.0,35.0,0.0,,,
2021-02-19,28.1,26.3,,,,,
2021-02-20,,,,,,,
2021-02-21,,,,,,,
2021-02-22,31.9,26.0,39.5,,,,
2021-02-23,32.0,26.2,38.5,,,,
2021-02-24,31.2,26.5,38.3,,,,
2021-02-25,30.5,25.0,36.4,,,,
2021-02-26,27.6,22.4,33.0,,,,
2021-02-27,26.9,21.7,33.6,,,,
2021-02-28,28.9,,35.4,,,,
2021-03-01,30.0,21.8,37.5,,,,
2021-03-02,31.6,26.5,39.8,,,,
2021-03-03,32.6,26.0,41.0,,,,
2021-03-04,34.4,29.2,40.0,,,,
2021-03-05,32.2,26.5,39.5,,,,
2021-03-06,34.7,28.5,42.0,,,,
2021-03-07,33.3,28.8,39.0,,,,
2021-03-08,30.3,26.0,38.1,,,,
2021-03-09,30.2,25.6,36.3,,,,
2021-03-10,28.5,24.0,34.6,,,,
2021-03-11,29.0,21.7,36.0,,,,
2021-03-12,29.2,25.0,34.9,,,,
2021-03-13,29.0,24.1,35.6,,,,
2021-03-14,29.8,24.0,37.5,,,,
2021-03-15,30.8,24.0,38.0,,,,
2021-03-16,30.8,23.7,38.5,,,,
2021-03-17,31.8,25.5,38.8,,,,
2021-03-18,33.3,26.5,40.4,,,,
2021-03-19,34.0,27.0,41.5,,,,
2021-03-20,32.3,24.0,40.9,,,,
2021-03-21,33.4,27.6,40.7,,,,
2021-03-22,33.3,28.0,40.5,,,,
2021-03-23,35.2,29.8,42.0,,,,
2021-03-24,35.1,28.8,41.8,,,,
2021-03-25,34.7,28.6,41.5,,,,
2021-03-26,34.0,28.3,41.2,,,,
2021-03-27,33.6,27.0,42.0,,,,
2021-03-28,35.4,25.0,44.7,,,,
2021-03-29,36.3,29.0,43.0,,,,
2021-03-30,36.7,31.5,42.5,,,,
2021-03-31,36.4,30.5,43.7,,,,
2021-04-01,36.8,29.8,43.3,,,,
2021-04-02,37.1,31.2,44.0,,,,
2021-04-03,36.9,31.0,43.8,,,,
2021-04-04,36.5,29.5,44.4,,,,
2021-04-05,37.1,31.5,44.5,,,,
2021-04-06,36.8,32.5,43.4,,,,
2021-04-07,37.6,31.8,44.5,,,,
