time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-35.2,-39.7,,0.3,,,
2021-01-02,-34.8,-41.0,,,,,
2021-01-03,-28.2,-36.0,-30.0,1.5,352.0,12.4,1022.3
2021-01-04,-26.1,-29.9,-27.3,1.0,336.0,10.3,1025.6
2021-01-05,-25.9,-27.7,-25.3,0.3,29.0,5.4,1026.6
2021-01-06,-35.0,-41.2,-27.5,0.0,165.0,7.7,1021.0
2021-01-07,-40.2,-41.8,-37.8,0.0,185.0,10.5,1009.3
2021-01-08,-39.3,-42.5,-30.5,1.0,200.0,6.7,1005.4
2021-01-09,-37.1,-39.7,-35.4,0.3,167.0,2.6,1010.5
2021-01-10,-39.0,-42.2,-34.7,0.0,155.0,6.5,1018.3
2021-01-11,-44.0,-45.6,-40.9,0.0,126.0,3.4,1020.7
2021-01-12,-45.9,-47.9,-43.9,0.0,124.0,5.8,1019.4
2021-01-13,-45.8,-47.1,-40.4,0.0,36.0,3.7,1022.2
2021-01-14,-37.2,-43.5,-34.8,1.8,22.0,7.6,1023.8
2021-01-15,-34.8,-36.3,-33.9,1.3,122.0,4.3,1020.2
2021-01-16,-41.9,-45.3,-35.3,0.3,150.0,5.5,1023.7
2021-01-17,-45.2,-48.3,-41.6,0.3,178.0,5.9,1029.8
2021-01-18,-46.3,-48.1,-43.9,0.0,113.0,4.7,1031.9
2021-01-19,-45.1,-46.1,-42.3,0.0,27.0,5.5,1029.0
2021-01-20,-47.7,-49.7,-44.2,0.0,88.0,4.7,1024.4
2021-01-21,-47.9,-49.8,-46.5,0.0,110.0,4.8,1021.7
2021-01-22,-49.3,-51.6,-46.8,0.0,9.0,3.1,1022.5
2021-01-23,-39.3,-49.3,-39.7,1.0,22.0,7.6,1026.6
2021-01-24,-35.7,-37.9,-34.2,1.0,15.0,7.5,1030.4
2021-01-25,-43.8,-48.1,-36.9,0.0,17.0,5.3,1038.6
2021-01-26,-38.2,-43.2,-38.5,0.0,347.0,8.6,1045.8
2021-01-27,-35.8,-38.8,-33.7,1.3,357.0,10.2,1037.3
2021-01-28,-34.9,-38.5,-30.9,0.3,355.0,4.6,1028.6
2021-01-29,-30.6,-32.0,-29.6,1.0,343.0,9.0,1030.6
2021-01-30,-33.1,-35.2,-30.5,0.5,340.0,8.8,1035.7
2021-01-31,-32.4,-36.1,-31.3,0.0,341.0,12.8,1034.6
2021-02-01,-31.9,-34.9,-33.4,3.0,333.0,17.6,1026.6
2021-02-02,-30.8,-33.8,-28.7,2.3,313.0,12.7,1008.0
2021-02-03,-29.6,-32.3,-30.0,0.5,356.0,7.4,1007.1
